LP.;RODZAJ PODMIOTU;NAZWA;ADRES;MIEJSCOWOŚĆ;KOD POCZTOWY;WOJEWÓDZTWO;POWIAT;RON95;RON98;ON;BIOES;B20;E10;BIO2;BIO3;BIO4;LPG;CNG
1;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 538;ASNYKA 25;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;;
2;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;WESOŁA 23A;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
3;STACJA PALIW;"LOTOS PALIWA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;CIESZKOWSKIEGO 13B;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
4;STACJA PALIW;STACJA PALIW VIP;KOŚCIUSZKI 12;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;;
5;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 125;1000-LECIA 32;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
6;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 168;ZGORZELECKA 24;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
7;STACJA PALIW;"PIEPRZYK FAMILY" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;MODŁOWA 8B;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
8;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (STACJA NR 5023);SPÓŁDZIELCZA 15;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
9;STACJA PALIW;"LOTOS PALIWA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ZGORZELECKA 16;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
10;STACJA PALIW;TESCO (POLSKA) SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIA;AL TYSIĄCLECIA 49;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
11;STACJA PALIW;AMIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KOŚCIUSZKI 60;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
12;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU (PART. CIRCLE);KOŚCIUSZKI 1;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
13;STACJA PALIW;FIRMA TRANSPORTOWA MIRKO S.C. - MARKA CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ŁĄKA BOELSŁAWICKA 29 B;BOLESŁAWIEC;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
14;STACJA PALIW;PHU AGRO-MASZ - BRZEŹNIK S.J. MAŁGORZATA KAROL, GRZEGORZ DŁUGOSZ;BRZEŹNIK 129;BRZEŹNIK (BOLESŁAWIEC);59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
15;STACJA PALIW;STACJA PALIW PREEM NR 125;11-GO LISTOPADA 39A;GROMADKA;59-706;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;;
16;STACJA PALIW;SOMBIN SP. J. STANISŁAW TYRAŁA;;IWINY;59-900;DOLNOŚLĄSKIE;BOLESŁAWIECKI;;;X;;;;;;;;
17;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4388);AUTOSTRADA A4;KRAŚNIK DOLNY;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
18;STACJA PALIW;AMIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;GŁÓWNA 1A;KRUSZYN (BOLESŁAWIEC);59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
19;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU (PART. CIRCLE);KRZYWA 69A;KRZYWA;59-227;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
20;STACJA PALIW;DAN-POL DANIEL DWORAK;LIPIANY;LIPIANY;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
21;STACJA PALIW;"COŁOKIDZI I WSPÓLNICY - LIPIANY POŁUDNIE" SPÓŁKA JAWNA (PART. CIRCLE);LIPIANY AUTOSTRADA;LIPIANY;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
22;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4375);ŁĄKA 28A;ŁĄKA;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
23;STACJA PALIW;MIROSŁAW SENYSZYN, LUCYNA SENYSZYN - WSPÓLNICY SPÓŁKI CYWILNEJ (PART. CIRCLE);ŁĄKA 29B;ŁĄKA;59-700;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
24;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 1104;LUBAŃSKA 24;NOWOGRODZIEC;59-730;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
