operator,addr:housenumber,addr:street,addr:city,addr:place,addr:postcode,fuel:octane_95,fuel:octane_98,fuel:diesel,fuel:lpg,fuel:CNG
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 538,25,Asnyka,Bolesławiec,,59-700,yes,,yes,,
Bp Europa Se Spółka Europejska Oddział W Polsce,23A,Wesoła,Bolesławiec,,59-700,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,13B,Cieszkowskiego,Bolesławiec,,59-700,yes,yes,yes,yes,
Stacja Paliw Vip,12,Kościuszki,Bolesławiec,,59-700,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 125,32,1000-Lecia,Bolesławiec,,59-700,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 168,24,Zgorzelecka,Bolesławiec,,59-700,yes,yes,yes,yes,
Pieprzyk Family Spółka Z Ograniczoną Odpowiedzialnością,8B,Modłowa,Bolesławiec,,59-700,yes,,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 5023),15,Spółdzielcza,Bolesławiec,,59-700,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,16,Zgorzelecka,Bolesławiec,,59-700,yes,yes,yes,yes,
Tesco (Polska) Spółka Z Ograniczoną Odpowiedzialnościa,49,Al Tysiąclecia,Bolesławiec,,59-700,yes,,yes,yes,
Amic Polska Spółka Z Ograniczoną Odpowiedzialnością,60,Kościuszki,Bolesławiec,,59-700,yes,,yes,yes,
Spółdzielnia Stw W Bolesławcu (Part. Circle),1,Kościuszki,Bolesławiec,,59-700,yes,,yes,yes,
Firma Transportowa Mirko S.C. - Marka Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,,Łąka Boelsławicka 29,Bolesławiec,,59-700,yes,yes,yes,yes,
"Phu Agro-Masz - Brzeźnik S.J. Małgorzata Karol, Grzegorz Długosz",129,Brzeźnik,Brzeźnik (Bolesławiec),,59-700,yes,yes,yes,yes,
Stacja Paliw Preem Nr 125,39A,11-Go Listopada,Gromadka,,59-706,yes,,yes,,
Sombin Sp. J. Stanisław Tyrała,,,,IWINY,59-900,,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4388),,Autostrada,Kraśnik Dolny,,59-700,yes,yes,yes,yes,
Amic Polska Spółka Z Ograniczoną Odpowiedzialnością,1A,Główna,Kruszyn (Bolesławiec),,59-700,yes,yes,yes,yes,
Spółdzielnia Stw W Bolesławcu (Part. Circle),69A,,,KRZYWA,59-227,yes,,yes,yes,
Dan-Pol Daniel Dworak,,,,LIPIANY,59-700,yes,,yes,yes,
Cołokidzi I Wspólnicy - Lipiany Południe Spółka Jawna (Part. Circle),,,,LIPIANY,59-700,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4375),28A,,,ŁĄKA,59-700,yes,,yes,yes,
"Mirosław Senyszyn, Lucyna Senyszyn - Wspólnicy Spółki Cywilnej (Part. Circle)",29B,,,ŁĄKA,59-700,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1104,24,Lubańska,Nowogrodziec,,59-730,yes,yes,yes,yes,
Jan Matejewicz Stacja Paliw Cetan,14,Lubańska,Osiecznica,,59-724,yes,,yes,yes,
Spółdzielnia Stw W Bolesławcu - Marka Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,1F,,,OSŁA,59-706,yes,yes,yes,yes,
Soley - Areca Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa (Fr. Orlen),,Autostrada,Osła,,59-706,yes,yes,yes,yes,
Spółdzielnia Stw W Bolesławcu (Stacja Franczyzowa Pkn Orlen S.A. Nr 7082),56,Bolesławicka,Trzebień,,59-707,yes,yes,yes,yes,
Dan-Pol Daniel Dworak,1,,,WILCZY LAS,59-720,yes,,yes,yes,
Dan-Pol Daniel Dworak,1,,,WILCZY LAS,59-720,yes,,yes,yes,
Stacja Paliw As-24,,,,WYKROTY,59-730,,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4135),21,Sikorskiego,Bielawa,,58-260,yes,yes,yes,yes,
Reco Spółka Z Ograniczoną Odpowiedzialnością,5,Żeromskiego,Bielawa,,58-260,yes,yes,yes,yes,
Drum Spółka Z Ograniczoną Odpowiedzialności (Intermarche),,Andersa 44,Bielawa,,58-260,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 1110),57,Wrocławska,Dzierżoniów,,58-200,yes,yes,yes,yes,
Zakład Gazowniczy W Wałbrzychu Oddział W Dzierżoniowie,18,Kilińskiego,Dzierżoniów,,58-203,,,,,yes
"Przedsiębiorstwo Wielobranżowe ""Alicja"" Spółka Z Ograniczoną Odpowiedzialnością",95A,Batalionów Chłopskich,Dzierżoniów,,58-200,yes,,yes,yes,
Dedal Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa,4,Cicha,Dzierżoniów,,58-200,,,yes,,
Przedsiębiorstwo Komunikacji Samochodowej W Dzierżoniowie S.A. W Upadłości Likwidacyjnej,47A,Kilinskiego,Dzierżoniów,,58-200,,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 636,108,Batalionów Chłopskich,Dzierżoniów,,58-200,yes,yes,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 5503),69,Świdnicka,Dzierżoniów,,58-200,yes,yes,yes,yes,
Eko-Bis - Wojciech Szkarłat S.C,10A,Kłodzka,Łagiewniki,,58-210,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 736),25,Wrocławska,Łagiewniki,,58-210,yes,yes,yes,yes,
Tank - Spółka Z Ograniczoną Odpowiedzialnością (Part. Bp),1A,Osiedle Podmiejskie,Niemcza,,58-230,yes,yes,yes,yes,
Moc Jakość Zysk Spółka Z Ograniczoną Odpowiedzialnością,1,Świdnicka,Nowizna,,58-203,yes,yes,yes,yes,
Tank - Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),3,Piskorzowska,Pieszyce,,58-250,yes,yes,yes,yes,
Ph Cygan Stanisław,,Piława,Piława Górna,,58-240,,,,yes,
"Przedsiębiorstwo Wielobranżowe  ""Alicja"" Spółka Z Ograniczoną Odpowiedzialnością",56,Piastowska,Piława Górna,,58-240,yes,,yes,,
Bp Europa Se Spółka Europejska Oddział W Polsce,2,Kossaka,Głogów,,67-200,yes,yes,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,16,Legnicka,Głogów,,67-200,yes,yes,yes,yes,
