Lp.;Miejscowość;Adres;Nr nieruchomości;Szerokość geograficzna punktu;Długość geograficzna punktu;Rodzaj odbieranych odpadów komunalnych
1;Inowrocław;Arctowskiego/Wojska Polskiego;brak;52.77486626692414;18.241068274789107;bioodpady
2;Inowrocław;Armii Krajowej 6;6;52.80099304261455;18.244516104380278;bioodpady
3;Inowrocław;Bluszczowa;brak;52.7782334837909;18.234163251693;bioodpady
4;Inowrocław;Jana Brzechwy;brak;52.77806464010518;18.26969061689857;bioodpady
5;Inowrocław;Cegielna 45;45;52.79256376083197;18.266682859362884;bioodpady
6;Inowrocław;Józefa Chociszewskiego 26;26;52.800970650971244;18.268885109777862;bioodpady
7;Inowrocław;Ignacego Daszyńskiego 17;17;52.79674284486897;18.24439459261942;bioodpady
8;Inowrocław;Dyngusowa;brak;52.76497003734;18.261222570603202;bioodpady
9;Inowrocław;Aleksandra Fredry;brak;52.777102597814626;18.266541054645707;bioodpady
10;Inowrocław;Grochowa/Żytnia;brak;52.78254882918103;18.236762767317877;bioodpady
11;Inowrocław;Gwarków (za Bodziem);brak;52.78278154591944;18.255803028005786;bioodpady
12;Inowrocław;Jaśminowa;brak;52.78555245380538;18.276000265860475;bioodpady
13;Inowrocław;Prez. A. Jankowskiego;brak;52.77880046767047;18.251392566213923;bioodpady
14;Inowrocław;Kątna ;brak;52.78787798166228;18.278641052660944;bioodpady
15;Inowrocław;Kątna 20;20;52.78886555933819;18.279183023351607;bioodpady
16;Inowrocław;Stanisława Kiełbasiewicza 7;7;52.778691358725084;18.24532043828872;bioodpady
17;Inowrocław;Stanisława Kiełbasiewicza 10;10;52.77820272491456;18.243758528775803;bioodpady
18;Inowrocław;Konwaliowa;brak;52.786725414613414;18.275730957345015;bioodpady
19;Inowrocław;Józefa Krzymińskiego 4;4;52.78897681000173;18.248435941232756;bioodpady
20;Inowrocław;Zygmunta Kurka;brak;52.79819103339238;18.27878989435793;bioodpady
21;Inowrocław;Władysława Łokietka 33;33;52.79493848972264;18.27371828783217;bioodpady
22;Inowrocław;Władysława Łokietka 41;41;52.793499628079445;18.274300336807283;bioodpady
23;Inowrocław;Mątewska ;brak;52.75239051016633;18.26188116042818;bioodpady
24;Inowrocław;Adama Mickiewicza (przy ZEC);brak;52.7785114794751;18.255711529734366;bioodpady
25;Inowrocław;Miechowicka;brak;52.77883700830103;18.263795271858836;bioodpady
26;Inowrocław;Młyńska 61;61;52.80390525679508;18.25966797070549;bioodpady
