NAZWA, KOD, MIASTO, ULICA, NUMER
Bajka, 76-150, Darłowo, ul. Morska, 56
Centrum, 78-200, Białogard, ul. 1-go Maja, 15
Gryf, 74-100, Gryfino, Szczecińska, 17
Kryterium, 75-001, Koszalin, ul. Zwycięstwa, 105
Eva, 72-500, Międzyzdroje, ul. Bohaterów Warszawy, 19
Goplana, 78-320, Połczyn-Zdrój, ul. Wojska Polskiego, 54
Pyrzycki Dom Kultury, 74-200, Pyrzyce, plac Wolności, 3
Mewa, 78-520, Złocieniec, ul. Połczyńska, 6
Stargardzkie Centrum Kultury, 73-110, Stargard, ul. Piłsudskiego, 105
Zorza, 76- 004, Sianów, Plac pod Lipami, 9
Kino Sławieńskiego Domu Kultury, 76-100, Sławno, Cieszkowskiego, 2
Kino Wolność, 78-400, Szczecinek, ul. Wyszyńskiego, 65
Kultura, 19-500, Gołdap, ul. Krótka, 2
Planet Cinema, 19-300, Ełk, Plac Miejski, 1
Kino-Teatr Pasja, 14-200, Iława, ul. Niepodległości, 13
Gwiazda, 11-400, Kętrzyn, ul. Sikorskiego, 24a
Ignacy, 11-100, Lidzbark Warmiński, ul. Słowackiego, 4
Kino GOK w Łukcie, 14-105, Łukta, ul. Kościelna, 2B
Zamkowe w Pasłęckim Ośrodku Kultury, 14-400, Pasłęk, Pl. Św. Wojciecha, 5
Zodiak, 11-700, Mrągowo, ul. Warszawska, 26
Narie, 14-300, Morąg, ul. Mickiewicza, 19
Cinema Lumiere, 12-100, Szczytno, Odrodzenia, 11
Mewa, 64-840, Budzyń, ul. Łokietka, 31
Noteć, 64-800, Chodzież, ul.Strzelecka, 15
Światowid, 64-700, Czarnków, ul. Kościuszki, 60
Pod Kopułą, 63-800, Gostyń, ul. Hutnika, 4
Echo, 63-200, Jarocin, ul. Gołębia, 1
Centrum, 62-800, Kalisz, ul. Łazienna, 6
Oskard, 62-510, Konin, al.1-go maja, 7a
Rialto, 60-842, Poznań, ul. Dąbrowskiego, 38
Piast, 63-500, Ostrzeszów, ul. Gorgolewskiego, 12
Promień, 63-900, Rawicz, ul. Adama Olbrachta Przyjmy-Przyjemskiego, 35
Halszka, 64-500, Szamotuły, ul. Dworcowa, 7
Tur, 62-700, Turek, ul. Tadeusza Kościuszki, 13
Miejski Dom Kultury, 62-100, Wągrowiec, ul. Kościuszki, 55
Panorama, 74-320, Barlinek, Podwale, 9
Kino Kawiarnia, 72-100, Goleniów, ul. Konstytucji 3 Maja, 16
Iskra, 16-300, Augustów, ul. 3 Maja, 38
Sokół, 16-100, Sokółka, Plac Kościuszki, 24
Cinema Lumiere, 16-400, Suwałki, ul. Dwernickiego, 15
Albatros, 77-100, Bytów, ul. Wojska Polskiego, 12
Chojnickie Centrum Kultury, 89-600, Chojnice, ul. Swarożyca, 1
Kino Kameralne Cafe, 80-831, Gdańsk, ul. Lektykarska, 4
Remus, 83-400, Kościerzyna, 3 Maja, 9
Kwidzyńskie Centrum Kultury, 82-500, Kwidzyń, ul.Katedralna, 18
Fregata, 84-300, Lębork, ul. Gdańska, 12-13
Kino Powiśle, 82-400, Sztum, ul. Reja, 13
Centrum, 44-335, Jastrzębie-Zdrój, al. Piłsudzkiego, 27
Kosmos, 40-087, Katowice, ul. Sokolska, 66
Rialto, 40-001, Katowice, ul. św. Jana, 24
Światowid, 40-959, Katowice, ul. 3 Maja, 7
Bałtyk, 47-400, Racibórz, ul. ks. Józefa Londzina, 13
Rydułtowskie Centrum Kultury, 44-280, Rydułtowy, Ul. Strzelców Bytomskich, 9a
Planet Cinema, 41-800, Zabrze, Plac Teatralny, 12
Na Starówce, 44-240, Żory, ul. Kościuszki, 3
Janosik, 34-300, Żywiec, ul. Sobieskiego, 1
Centrum, 26-110, Skarżysko-Kamienna, ul. Słowackiego, 25
Moskwa, 25-008, Kielce, ul. Staszica, 5
Kultura, 27-200, Starachowice, ul. Radomska, 21
Szkatułka, 28-133, Pacanów, ul. Kornela Makuszyńskiego, 1
Światowid, 82-300, Elbląg, Plac Jagiellończyka, 1
Ełckie Centrum Kultury, 19-300, Ełk, ul. Wojska Polskiego, 47
Ale! Kino, 32-590, Libiąż, Górnicza, 1
Klaps, 34-600, Limanowa, ul. Bronisława Czecha, 4
Sokół, 33-300, Nowy Sącz, ul. Długosza, 3
Zacisze, 41-940, Piekary Śląskie, ul. Bytomska, 73
Tatry, 34-400, Nowy Targ, ul. Jana Kazimierza, 17
Planet Cinema, 32-600, Oświęcim, ul. Powstańców Śląskich, 1
Śnieżka, 34-700, Rabka Zdrój, Nowy Świat, 8
Centrum, 34-100, Wadowice, ul. Teatralna, 1
Radość, 32-340, Wolbrom, Leśna, 2
Giewont, 34-500, Zakopane, ul. Kościuszki, 4
Bajka, 46-200, Kluczbork, ul. Pułaskiego, 3
Chemik, 47-220, Kędzierzyn-Koźle, Al. Jana Pawła II, 27
Cinema N 3D, 48-300, Nysa, Aleja Lompy, 3
Meduza, 46-052, Opole, ul. Oleska, 45
Kino Na Biegunach, 37-500, Jarosław, ul. gen. Władysława Eugeniusza Sikorskiego, 2a
Ikar, 37-500, Jarosław, Pl. Mickiewicza, 6
artKino, 38-400, Krosno, ul. Bieszczadzka, 1
Miejskie Centrum Kultury, 37-300, Leżajsk, Mickiewicza, 65
Galaktyka, 39-300, Mielec, al. Niepodległości, 7
Metalowiec, 39-460, Nowa Dęba, ul. Żeromskiego, 2
Centrum Kultury, 37-700, Przemyśl, ul. Stanisława Konarskiego, 9
Zorza, 35-030, Rzeszów, ul.3-go Maja, 28
Jedność, 39-120, Sędziszów Małopolski, ul. 3 Maja, 36
Wrzos, 37-450, Stalowa Wola, ul. 1-go Sierpnia, 9
Wisła, 39-400, Tarnobrzeg, ul. Słowackiego, 2
Pionier, 68-200, Żary, ul. Podchorążych, 30
Kultura, 97-400, Bełchatów, Pl. Narutowicza, 1a
