Lp.,Nazwa ulicy / rejon,Numer,Nazwa przystanku,NOWY Numer,NOWA Nazwa przystanku,Dostępność
1,1 Maja ,01, Andersa,01,1 Maja,ogólnodostępny
2,1 Maja ,02, Bank,02,1 Maja,ogólnodostępny
3,4 Marca,05, Gnieźnieńska ,01,Gnieźnieńska,ogólnodostępny
4,4 Marca ,01,Jednostka Wojskowa,01,Jednostka Wojskowa,ogólnodostępny
5,4 Marca ,02, Reymonta ,02,Jednostka Wojskowa,ogólnodostępny
6,4 Marca ,04,Wojska Polskiego,02,Wojska Polskiego,ogólnodostępny
7,4 Marca ,03,Wojska Polskiego,01,Wojska Polskiego,ogólnodostępny
8,Armii Krajowej,03, Dworzec PKP pętla,03, Dworzec PKP pętla,ogólnodostępny
9,Armii Krajowej,05, Dworzec PKP pętla,05, Dworzec PKP pętla,ogólnodostępny
10,Armii Krajowej,07, Dworzec PKP pętla,07, Dworzec PKP pętla,ogólnodostępny
11,Armii Krajowej,09, Dworzec PKP pętla,09, Dworzec PKP pętla,ogólnodostępny
12,Armii Krajowej,01, Dworzec PKP ,01,Dworzec PKP,operator publicznego  transportu zbiorowego
13,Armii Krajowej,04, Kolejowa ,02, Kolejowa ,ogólnodostępny
14,Armii Krajowej,06,Kolejowa,04,Kolejowa,ogólnodostępny
15,Armii Krajowej,08,Kolejowa,06,Kolejowa,ogólnodostępny
16,Armii Krajowej,10,Kolejowa,08,Kolejowa,ogólnodostępny
17,Armii Krajowej,12,Kolejowa,10,Kolejowa,ogólnodostępny
18,Armii Krajowej,14,Kolejowa,12,Kolejowa,ogólnodostępny
19,Armii Krajowej,16,Kolejowa,14,Kolejowa,ogólnodostępny
20,Armii Krajowej,,NOWY PRZYSTANEK,01,Centrum przesiadkowe,ogólnodostępny
21,Armii Krajowej,,NOWY PRZYSTANEK,02,Centrum przesiadkowe,ogólnodostępny
22,Armii Krajowej,,NOWY PRZYSTANEK,03,Centrum przesiadkowe,ogólnodostępny
23,Armii Krajowej,,NOWY PRZYSTANEK,04,Centrum przesiadkowe,ogólnodostępny
24,Armii Krajowej,,NOWY PRZYSTANEK,05,Centrum przesiadkowe,ogólnodostępny
25,Armii Krajowej ,02, Kosmos,05,LIKWIDACJA,LIKWIDACJA
26,Armii Krajowej ,04, Bank,02,Dworzec PKP,operator publicznego transportu zbiorowego
27,Armii Krajowej ,06, Niepodległości,02,Szpital Gruźliczy,operator publicznego transportu zbiorowego
28,Armii Krajowej ,11, Kościół,01,Szpital Gruźliczy,operator publicznego transportu zbiorowego
29,Bohaterów Warszawy,01, Morska,01,Bohaterów Warszawy,ogólnodostępny
30,Bohaterów Warszawy,07,Syrenki,01,Syrenki,ogólnodostępny
31,Bohaterów Warszawy,06,GIPO,02,Syrenki,ogólnodostępny
32,Bohaterów Warszawy ,03,Mieszka I,01,Mieszka I,ogólnodostępny
33,Bohaterów Warszawy ,02,Mieszka I,02,Mieszka I,ogólnodostępny
34,Bohaterów Warszawy ,04,Brzozowa,02,Brzozowa,ogólnodostępny
35,Bohaterów Warszawy ,05,Brzozowa,01,Brzozowa,ogólnodostępny
36,Bowid,06, Przemysłówka,02,BoWiD Zakłady,ogólnodostępny
37,Bowid,05, Kospel pętla,01,BoWiD,ogólnodostępny
38,Bowid,02, Przemysłowa,02,BoWiD Mieszkalny,ogólnodostępny
39,Bowid,01, Mieszka I,01,BoWiD Mieszkalny,ogólnodostępny
40,Bowid,04, ZORD,04,ZORD,ogólnodostępny
41,Bowid,03,Royal Greenland ,01,BoWiD Zakłady,ogólnodostępny
42,Bowid,08, Kospel ,02,BoWiD,ogólnodostępny
43,Bowid,01,Morska,03,Kresowian,ogólnodostępny
44,Bukowa,02, Tradycji,02,Lelewela,operator publicznego transportu zbiorowego
45,Bukowa,01, Staszica,01,Lelewela,operator publicznego transportu zbiorowego
46,Bukowa,04, Staszica,02,Os. Bukowe,ogólnodostępny
47,Bukowa,03, Oskara Lange pętla,01,Os. Bukowe,ogólnodostępny
48,Duńska,02,Duńska,02,Os. Unii Europejskiej,ogólnodostępny
49,Dzierżęcińska,01,Zagórzyno,01,Zagórzyno,ogólnodostępny
50,Dzierżęcińska,02,Limbowa,02,Limbowa,ogólnodostępny
51,Dzierżęcińska,03,Limbowa,01,Limbowa,ogólnodostępny
52,Dzierżęcińska,04,Ptasia,02,Ptasia,ogólnodostępny
53,Dzierżęcińska,05,Ptasia,01,Ptasia,ogólnodostępny
54,Dzierżęcińska,06,Żurawia,02,Żurawia,ogólnodostępny
55,Dzierżęcińska,07,Żurawia,01,Żurawia,ogólnodostępny
56,Edmunda Dobrzyckiego,01,Połczyńska,01,Dobrzyckiego,ogólnodostępny
57,Edmunda Dobrzyckiego,02,Gnieźnieńska,02,Gnieźnieńska,ogólnodostępny
58,Energetyków ,02, Morska,04,Energetyków,ogólnodostępny
59,Franciszkańska ,01, Energetyków ,01,Franciszkańska,ogólnodostępny
60,Franciszkańska ,02, Energetyków,02,Franciszkańska,ogólnodostępny
61,Franciszkańska ,04, Bosmańska,02,Os. Morskie,operator publicznego transportu zbiorowego
62,Francuska ,02, Grecka,01,Francuska,ogólnodostępny
63,Francuska ,04,Fińska,01,Fińska,ogólnodostępny
64,Francuska ,01,Francuska,02,Francuska,ogólnodostępny
65,Francuska ,03,Fińska,03,Fińska,ogólnodostępny
