name,new_name
Andersa,1 Maja
Bank,1 Maja
Gnieźnieńska,Gnieźnieńska
Jednostka Wojskowa,Jednostka Wojskowa
Reymonta,Jednostka Wojskowa
Wojska Polskiego,Wojska Polskiego
Wojska Polskiego,Wojska Polskiego
Dworzec PKP pętla,Dworzec PKP pętla
Dworzec PKP pętla,Dworzec PKP pętla
Dworzec PKP pętla,Dworzec PKP pętla
Dworzec PKP pętla,Dworzec PKP pętla
Dworzec PKP,Dworzec PKP
Kolejowa,Kolejowa
Kolejowa,Kolejowa
Kolejowa,Kolejowa
Kolejowa,Kolejowa
Kolejowa,Kolejowa
Kolejowa,Kolejowa
Kolejowa,Kolejowa
NOWY PRZYSTANEK,Centrum przesiadkowe
NOWY PRZYSTANEK,Centrum przesiadkowe
NOWY PRZYSTANEK,Centrum przesiadkowe
NOWY PRZYSTANEK,Centrum przesiadkowe
NOWY PRZYSTANEK,Centrum przesiadkowe
Bank,Dworzec PKP
Niepodległości,Szpital Gruźliczy
Kościół,Szpital Gruźliczy
Morska,Bohaterów Warszawy
Syrenki,Syrenki
GIPO,Syrenki
Mieszka I,Mieszka I
Mieszka I,Mieszka I
Brzozowa,Brzozowa
Brzozowa,Brzozowa
Przemysłówka,BoWiD Zakłady
Kospel pętla,BoWiD
Przemysłowa,BoWiD Mieszkalny
Mieszka I,BoWiD Mieszkalny
ZORD,ZORD
Royal Greenland,BoWiD Zakłady
Kospel,BoWiD
Morska,Kresowian
Tradycji,Lelewela
Staszica,Lelewela
Staszica,Os. Bukowe
Oskara Lange pętla,Os. Bukowe
Duńska,Os. Unii Europejskiej
Zagórzyno,Zagórzyno
Limbowa,Limbowa
Limbowa,Limbowa
Ptasia,Ptasia
Ptasia,Ptasia
Żurawia,Żurawia
Żurawia,Żurawia
Połczyńska,Dobrzyckiego
Gnieźnieńska,Gnieźnieńska
Morska,Energetyków
Energetyków,Franciszkańska
Energetyków,Franciszkańska
Bosmańska,Os. Morskie
Grecka,Francuska
Fińska,Fińska
Francuska,Francuska
Fińska,Fińska
Orląt Lwowskich,Politechnika
Oskara Lange,Gdańska
Stacja Paliw,Park Wodny
Kędzierzyn,Kędzierzyn
Kędzierzyn,Kędzierzyn
Rolna,Park Wodny
Gorzebądź,Gorzebądź
Gorzebądź,Gorzebądź
Szkoła,Samochodówka
Paderewskiego,Cmentarz
Cmentarz nowy,Cmentarz Nowy
Diamentowa,Wilkowo
Połczyńska,Rondo Solidarności
Modrzejewskiej,Samochodówka
4 Marca,Zajezdnia MZK
Strażacka,Gnieźnieńska
Kamieniarska pętla,Cmentarz
Cmentarz,Cmentarz Stary
Cmentarz,Cmentarz Stary
Kościół,Cmentarz Nowy
Okrężna,Wilkowo
Grecka,Grecka
Grecka,Grecka
Orlik,Holenderska Orlik
KTBS,Holenderska KTBS
Brytyjska,Holenderska KTBS
Maltańska,Holenderska Orlik
Romex,Łukasiewicza
Romex,Łukasiewicza
Nord Glass,Strefa Ekonomiczna
Sybiraków,Wodna Dolina
Północna,Jamno
Północna,Jamno
Szkoła pętla,Zagroda Jamneńska
Szkoła pętla,Zagroda Jamneńska
Wichrowa,Wichrowa
Wichrowa,Wichrowa
Filtrowa,Oczyszczalnia
Władysława IV,Jana Pawła II
Politechnika,Politechnika
Fałata,Politechnika
Jagoszewskiego,Staszica
Staszica,Staszica
Połczyńska,Rondo Solidarności
Racławicka,Plastyk
Politechnika,Plastyk
Andersa,Urząd Pracy
Basen,Basen
Jana Pawła II,Politechnika
Szkoła,ZUS
Wańkowicza,ZUS
Ariadna,Ariadna
Ariadna,Ariadna
Żyzna,Żyzna
Żyzna,Żyzna
Kwiatowa,Kwiatowa
Kwiatowa,Kwiatowa
Piłsudskiego,Kościuszki
NOWY PRZYSTANEK,Kościuszki
Lechicka,Krakusa i Wandy
Drzymały,Drzymały
Połczyńska,Rondo Solidarności
Zwycięstwa,Dworzec PKS
Franciszkańska,Krańcowa
Morska,Kresowian
Franciszkańska,DPS
Kolejowa,Łużycka
Działki,Lechicka Działki
Łużycka,Łużycka
Bumar,Lechicka
Bumar,Lechicka
Ogrodnictwo,Ogrodnictwo
Ogrodnictwo,Ogrodnictwo
Łąkowa,Dzierżęcino
Żurawinowa,Żurawinowa
Zielone Wzgórze,Zielone Wzgórze
Jeziorna,Jeziorna
Chełmoniewo,Lubiatowska
Chełmoniewo,Lubiatowska
Krawiecka,Krawiecka
Łąkowa,Dzierżęcino
Żurawinowa,Żurawinowa
Zielone Wzgórze,Zielone Wzgórze
Wioska Indiańska,Wioska Indiańska
NOWY PRZYSTANEK,Wioska Indiańska
Jeziorna,Jeziorna
Jeziorna pętla,Lubiatowo
Matejki,Sąd Okręgowy
Szymanowskiego,Sąd Okręgowy
Lechicka,Lutyków
Skargi,Lutyków
Starowiejska pętla,Łabusz
Waryńskiego,Radio
Moniuszki,Biblioteka Pedagogiczna
Orląt Lwowskich,Orląt Lwowskich
Traugutta,Orląt Lwowskich
Zubrzyckiego,Piłsudskiego
Szczecińska,Żwirki i Wigury
ZORD,ZORD
ZORD,ZORD
Bohaterów Warszawy,Żwirki i Wigury
Miła,Miła
Zacisze,Miła
BoWiD,Mieszka I Wiadukt
BoWiD,Mieszka I Wiadukt
Asnyka,Urząd Miejski
Urząd Miejski,Urząd Miejski
Plac Kilińskiego,Plac Kilińskiego
Monte Cassino,Bilbioteka
Młyńska,Bilbioteka
Fałata,Bilbioteka
Podgórna,Podgórna
Bałtycka,Podgórna
Bohaterów Warszawy,Energetyka
Energetyków,Energetyków
Kazel,Energetyków
Przemysłowa,Urząd Skarbowy
Sienkiewicza,Urząd Skarbowy
Krańcowa,Kresowian
Krańcowa,Kresowian
Leśniczówka,Leśniczówka
Leśniczówka,Leśniczówka
NOWY PRZYSTANEK,Na Skwierzynkę
NOWY PRZYSTANEK,Na Skwierzynkę
Hanki Sawickiej,Budowlanka
Łubinów,Goździków
Goździków,Goździków
Kaczeńców,Słoneczników
Słoneczników,Słoneczników
Bratków,Bratków
Nasturcji,Bratków
Szkoła,Połczyńska Szkoła
NOWY PRZYSTANEK,Żytnia
NOWY PRZYSTANEK,Żytnia
NOWY PRZYSTANEK,Seminaryjna
Poprzeczna,Gazownia
Gazownia,Gazownia
4 Marca,Połczyńska
Słowiańska,Połczyńska
Działkowa,Połczyńska Szkoła
Sarzyno,Sarzyno
Sarzyno,Sarzyno
Seminaryjna,Seminaryjna
Szkoła,Powstańców Wielkopolskich
Torfowa,Torfowa
Torfowa,Torfowa
Starowiejska,Starowiejska
Starowiejska,Starowiejska
NOWY PRZYSTANEK,Promowa
NOWY PRZYSTANEK,Promowa
NOWY PRZYSTANEK,Kogucia
NOWY PRZYSTANEK,Kogucia
NOWY PRZYSTANEK,Ruszczyca
NOWY PRZYSTANEK,Ruszczyca
Morska,Urząd Skarbowy
Urząd Skarbowy,Przemysłowa
Urząd Celny,Urząd Celny
Janex,Urząd Celny
Giełda,Park Wodny
Piłsudskiego,Orląt Lwowskich
Zgody,Traugutta
Nowowiejskiego,Traugutta
Piłsudskiego,Pileckiego
Połczyńska,Seminaryjna
Seminarium,Seminarium
Zdobywców Wału Pomorskiego,Sianowska
Lechicka,Słowiańska
Lechicka,Słowiańska
MEC,MEC
Połczyńska,Dobrzyckiego
Sanktuarium,Sanktuarium
Franciszkańska,Spokojna
Farmerska,Farmerska
Farmerska,Farmerska
Wilków Morskich,Wilków Morskich
Wilków Morskich,Wilków Morskich
Elfa,Strefowa
Elfa,Strefowa
Zakład Karny,Zakład Karny
Zakład Karny,Zakład Karny
Paderewskiego,Wodna Dolina
Działki,Sybiraków
4 Marca,4 Marca
Bohaterów Warszawy,Syrenki
Szczecińska,Szczecińska Rondo
Syrenki,Szczecińska Rondo
Szczecińska pętla,Szczecińska
Mieszka I,Jasna
Jasna,Jasna
Brzozowa,ZZDW
ZDW,ZZDW
Sklep meblowy,Szczecińska Usługi
Zakłady Usługowe,Szczecińska Usługi
Stare Bielice,Szczecińska
Stare Bielice,Szczecińska
Oskara Lange,Śniadeckich
Politechnika,Śniadeckich Politechnika
Jana Pawła II,Śniadeckich Politechnika
Kołłątaja,Śniadeckich Hala
Oskara Lange,Śniadeckich
Ogrodnictwo,Gerberowa
Wojska Polskiego,Gerberowa
Kościół,Św. Wojciecha
Jabłoniowa,Jabłoniowa
Cedrowa,Jabłoniowa
Franciszkańska,DPS
Władysława IV,Rondo Gen. Maczka
NOWY PRZYSTANEK,Chałubińskiego
NOWY PRZYSTANEK,Chałubińskiego
Szpital,Szpital
Szpital,Szpital
Leśna,PWSZ
Centrum Edukacji,Chałubińskiego
Osiedle,Wenedów
Słowiańska,Wenedów
Wrześniowa,Wrześniowa
Kwiatkowskiego,Kwiatkowskiego
RING,Rondo Gen. Maczka
Holenderska,Holenderska
Francuska,Francuska Działki
Duńska,Duńska Działki
Działki,Władysława IV Ogrody
NOWY PRZYSTANEK,Wąwozowa
Wańkowicza,Wańkowicza
Kutrzeby,Wańkowicza
Sikorskiego,Sikorskiego
Akademicka,Kwiatkowskiego
Wiadukt,Wiadukt
Holenderska,Rondo Gen. Maczka
Francuska,Francuska Działki
Duńska,Duńska Działki
