"Kod";"Nazwa";"ogolem"
"0000000";"POLSKA";"38036118"
"0200000";"DOLNOŚLĄSKIE";"2904894"
"0201000";"Powiat bolesławiecki";"88435"
"0201011";"Bolesławiec (1)";"37559"
"0201022";"Bolesławiec (2)";"15030"
"0201032";"Gromadka (2)";"5156"
"0201043";"Nowogrodziec (3)";"14843"
"0201044";"Nowogrodziec - miasto (4)";"4157"
"0201045";"Nowogrodziec - obszar wiejski (5)";"10686"
"0201052";"Osiecznica (2)";"7339"
"0201062";"Warta Bolesławiecka (2)";"8508"
"0202000";"Powiat dzierżoniowski";"97721"
"0202011";"Bielawa (1)";"28896"
"0202021";"Dzierżoniów (1)";"31866"
"0202033";"Pieszyce (3)";"9108"
"0202034";"Pieszyce - miasto (4)";"6959"
"0202035";"Pieszyce - obszar wiejski (5)";"2149"
"0202041";"Piława Górna (1)";"6126"
"0202052";"Dzierżoniów (2)";"9228"
"0202062";"Łagiewniki (2)";"7268"
"0202073";"Niemcza (3)";"5229"
"0202074";"Niemcza - miasto (4)";"2801"
"0202075";"Niemcza - obszar wiejski (5)";"2428"
"0203000";"Powiat głogowski";"86668"
"0203011";"Głogów (1)";"64261"
"0203022";"Głogów (2)";"6949"
"0203032";"Jerzmanowa (2)";"5495"
"0203042";"Kotla (2)";"4389"
"0203052";"Pęcław (2)";"2139"
"0203062";"Żukowice (2)";"3435"
"0204000";"Powiat górowski";"33317"
"0204013";"Góra (3)";"18966"
"0204014";"Góra - miasto (4)";"11173"
"0204015";"Góra - obszar wiejski (5)";"7793"
"0204022";"Jemielno (2)";"2824"
"0204032";"Niechlów (2)";"4640"
"0204043";"Wąsosz (3)";"6887"
"0204044";"Wąsosz - miasto (4)";"2603"
"0204045";"Wąsosz - obszar wiejski (5)";"4284"
"0205000";"Powiat jaworski";"48503"
"0205011";"Jawor (1)";"21494"
"0205023";"Bolków (3)";"9895"
"0205024";"Bolków - miasto (4)";"4748"
"0205025";"Bolków - obszar wiejski (5)";"5147"
"0205032";"Męcinka (2)";"5089"
"0205042";"Mściwojów (2)";"4054"
"0205052";"Paszowice (2)";"4120"
"0205062";"Wądroże Wielkie (2)";"3851"
"0206000";"Powiat karkonoski";"61745"
"0206011";"Karpacz (1)";"4457"
"0206021";"Kowary (1)";"10217"
"0206031";"Piechowice (1)";"5952"
"0206041";"Szklarska Poręba (1)";"5933"
"0206052";"Janowice Wielkie (2)";"4122"
"0206062";"Jeżów Sudecki (2)";"7707"
"0206072";"Mysłakowice (2)";"9870"
"0206082";"Podgórzyn (2)";"8213"
"0206092";"Stara Kamienica (2)";"5274"
"0207000";"Powiat kamiennogórski";"41660"
"0207011";"Kamienna Góra (1)";"17998"
"0207022";"Kamienna Góra (2)";"8867"
"0207033";"Lubawka (3)";"10426"
"0207034";"Lubawka - miasto (4)";"5722"
"0207035";"Lubawka - obszar wiejski (5)";"4704"
"0207042";"Marciszów (2)";"4369"
"0208000";"Powiat kłodzki";"151962"
"0208011";"Duszniki-Zdrój (1)";"4240"
"0208021";"Kłodzko (1)";"25717"
"0208031";"Kudowa-Zdrój (1)";"9627"
"0208041";"Nowa Ruda (1)";"21264"
"0208051";"Polanica-Zdrój (1)";"6230"
"0208063";"Bystrzyca Kłodzka (3)";"17892"
"0208064";"Bystrzyca Kłodzka - miasto (4)";"9414"
"0208065";"Bystrzyca Kłodzka - obszar wiejski (5)";"8478"
"0208072";"Kłodzko (2)";"16774"
"0208083";"Lądek-Zdrój (3)";"7767"
"0208084";"Lądek-Zdrój - miasto (4)";"5195"
"0208085";"Lądek-Zdrój - obszar wiejski (5)";"2572"
"0208092";"Lewin Kłodzki (2)";"1968"
"0208103";"Międzylesie (3)";"6925"
"0208104";"Międzylesie - miasto (4)";"2481"
"0208105";"Międzylesie - obszar wiejski (5)";"4444"
"0208112";"Nowa Ruda (2)";"10915"
"0208123";"Radków (3)";"8647"
"0208124";"Radków - miasto (4)";"2310"
"0208125";"Radków - obszar wiejski (5)";"6337"
"0208133";"Stronie Śląskie (3)";"6997"
"0208134";"Stronie Śląskie - miasto (4)";"5178"
"0208135";"Stronie Śląskie - obszar wiejski (5)";"1819"
"0208143";"Szczytna (3)";"6999"
"0208144";"Szczytna - miasto (4)";"4886"
"0208145";"Szczytna - obszar wiejski (5)";"2113"
"0209000";"Powiat legnicki";"55005"
"0209011";"Chojnów (1)";"12769"
"0209022";"Chojnów (2)";"9547"
"0209032";"Krotoszyce (2)";"3296"
"0209042";"Kunice (2)";"7344"
"0209052";"Legnickie Pole (2)";"5214"
"0209062";"Miłkowice (2)";"7078"
"0209073";"Prochowice (3)";"7302"
"0209074";"Prochowice - miasto (4)";"3572"
"0209075";"Prochowice - obszar wiejski (5)";"3730"
"0209082";"Ruja (2)";"2455"
"0210000";"Powiat lubański";"52768"
"0210011";"Lubań (1)";"20096"
"0210021";"Świeradów-Zdrój (1)";"4094"
"0210033";"Leśna (3)";"9604"
"0210034";"Leśna - miasto (4)";"4203"
"0210035";"Leśna - obszar wiejski (5)";"5401"
"0210042";"Lubań (2)";"6516"
"0210053";"Olszyna (3)";"6432"
"0210054";"Olszyna - miasto (4)";"4366"
"0210055";"Olszyna - obszar wiejski (5)";"2066"
"0210062";"Platerówka (2)";"1557"
"0210072";"Siekierczyn (2)";"4469"
"0211000";"Powiat lubiński";"104442"
"0211011";"Lubin (1)";"70016"
"0211022";"Lubin (2)";"17430"
"0211032";"Rudna (2)";"7477"
"0211043";"Ścinawa (3)";"9519"
"0211044";"Ścinawa - miasto (4)";"5356"
"0211045";"Ścinawa - obszar wiejski (5)";"4163"
"0212000";"Powiat lwówecki";"43904"
"0212013";"Gryfów Śląski (3)";"9403"
"0212014";"Gryfów Śląski - miasto (4)";"6386"
"0212015";"Gryfów Śląski - obszar wiejski (5)";"3017"
"0212023";"Lubomierz (3)";"5737"
"0212024";"Lubomierz - miasto (4)";"1792"
"0212025";"Lubomierz - obszar wiejski (5)";"3945"
"0212033";"Lwówek Śląski (3)";"16555"
"0212034";"Lwówek Śląski - miasto (4)";"8490"
"0212035";"Lwówek Śląski - obszar wiejski (5)";"8065"
"0212043";"Mirsk (3)";"8218"
"0212044";"Mirsk - miasto (4)";"3706"
"0212045";"Mirsk - obszar wiejski (5)";"4512"
"0212053";"Wleń (3)";"3991"
"0212054";"Wleń - miasto (4)";"1630"
"0212055";"Wleń - obszar wiejski (5)";"2361"
"0213000";"Powiat milicki";"36110"
"0213012";"Cieszków (2)";"4596"
"0213022";"Krośnice (2)";"7978"
"0213033";"Milicz (3)";"23536"
"0213034";"Milicz - miasto (4)";"11025"
"0213035";"Milicz - obszar wiejski (5)";"12511"
"0214000";"Powiat oleśnicki";"106673"
"0214011";"Oleśnica (1)";"35856"
"0214023";"Bierutów (3)";"9583"
"0214024";"Bierutów - miasto (4)";"4631"
"0214025";"Bierutów - obszar wiejski (5)";"4952"
"0214032";"Dobroszyce (2)";"7058"
"0214042";"Dziadowa Kłoda (2)";"4579"
"0214053";"Międzybórz (3)";"5087"
