teryt:terc,name,population,teryt:simc
0201011,Bolesławiec,37559,0935989
0201044,Nowogrodziec,4157,0936262
0202011,Bielawa,28896,0983818
0202021,Dzierżoniów,31866,0983988
0202034,Pieszyce,6959,0984396
0202041,Piława Górna,6126,0984491
0202074,Niemcza,2801,0984232
0203011,Głogów,64261,0954082
0204014,Góra,11173,0954449
0204044,Wąsosz,2603,0954662
0205011,Jawor,21494,0954120
0205024,Bolków,4748,0935995
0206011,Karpacz,4457,0936032
0206021,Kowary,10217,0936078
0206031,Piechowice,5952,0936285
0206041,Szklarska Poręba,5933,0936368
0207011,Kamienna Góra,17998,0936026
0207034,Lubawka,5722,0936180
0208011,Duszniki-Zdrój,4240,0983913
0208021,Kłodzko,25717,0984077
0208031,Kudowa-Zdrój,9627,0984120
0208041,Nowa Ruda,21264,0984278
0208051,Polanica-Zdrój,6230,0984522
0208064,Bystrzyca Kłodzka,9414,0983899
0208084,Lądek-Zdrój,5195,0984203
0208104,Międzylesie,2481,0984226
0208124,Radków,2310,0984539
0208134,Stronie Śląskie,5178,0984545
0208144,Szczytna,4886,0984597
0209011,Chojnów,12769,0954076
0209074,Prochowice,3572,0954171
0210011,Lubań,20096,0936150
0210021,Świeradów-Zdrój,4094,0936457
0210034,Leśna,4203,0936121
0210054,Olszyna,4366,0191684
0211011,Lubin,70016,0954142
0211044,Ścinawa,5356,0954202
0212014,Gryfów Śląski,6386,0936003
0212024,Lubomierz,1792,0936210
0212034,Lwówek Śląski,8490,0936227
0212044,Mirsk,3706,0936233
0212054,Wleń,1630,0936500
0213034,Milicz,11025,0987130
0214011,Oleśnica,35856,0987213
0214024,Bierutów,4631,0987035
0214054,Międzybórz,2373,0937037
0214074,Syców,10102,0937379
0214084,Twardogóra,6381,0987390
0215011,Oława,33268,0987259
0215034,Jelcz-Laskowice,15380,0987118
0216014,Chocianów,7576,0954060
0216044,Polkowice,21786,0954165
0216054,Przemków,5841,0954194
0217044,Strzelin,12131,0987331
0217054,Wiązów,2311,0987437
0218044,Środa Śląska,9525,0987348
0219011,Świdnica,54792,0984657
0219021,Świebodzice,22219,0984663
0219044,Jaworzyna Śląska,5086,0984019
0219064,Strzegom,15371,0984551
0219084,Żarów,6603,0984746
0220014,Oborniki Śląskie,9101,0987182
0220024,Prusice,2222,0879914
0220034,Trzebnica,13631,0987383
0220064,Żmigród,6339,0987503
0221011,Boguszów-Gorce,14648,0983824
0221021,Jedlina-Zdrój,4792,0984025
0221031,Szczawno-Zdrój,5362,0984574
0221054,Głuszyca,6095,0984002
0221064,Mieroszów,3871,0984210
0222014,Brzeg Dolny,12765,0987064
0222034,Wołów,12275,0987466
0223044,Kąty Wrocławskie,7176,0987124
0223074,Sobótka,7025,0987294
0223084,Siechnice,9957,0881160
0224014,Bardo,2451,0983801
0224034,Kamieniec Ząbkowicki,4429,0852631
0224054,Ząbkowice Śląskie,14578,0984692
0224064,Ziębice,8195,0984700
0224074,Złoty Stok,2556,0984723
0225011,Zawidów,3938,0936523
0225021,Zgorzelec,29966,0936546
0225034,Bogatynia,16647,0935908
0225044,Pieńsk,5645,0936351
0225064,Węgliniec,2704,0936492
0226011,Wojcieszów,3486,0936517
0226021,Złotoryja,14656,0954219
0226044,Świerzawa,2111,0936486
0261011,Jelenia Góra,77305,0935802
0262011,Legnica,94878,0954047
0264011,Wrocław,672929,0986283
0265011,Wałbrzych od 2013,104401,0983681
0401011,Aleksandrów Kujawski,11719,0985384
0401021,Ciechocinek,10415,0985616
0401031,Nieszawa,1770,0985987
0402011,Brodnica,28865,0982954
0402054,Górzno,1405,0983244
0402074,Jabłonowo Pomorskie,3693,0983474
0403044,Koronowo,10974,0929285
0403084,Solec Kujawski,15458,0929552
0404011,Chełmno,18837,0983066
0405011,Golub-Dobrzyń,11722,0983155
0405044,Kowalewo Pomorskie,4109,0983540
0406034,Łasin,3145,0983557
0406044,Radzyń Chełmiński,1825,0983630
0407011,Inowrocław,69576,0928989
0407034,Gniewkowo,6879,0928937
0407054,Janikowo,8354,0929109
0407064,Kruszwica,9288,0929380
0407074,Pakość,5329,0929517
0408011,Lipno,13752,0985830
0408044,Dobrzyń nad Wisłą,2043,0985651
0408074,Skępe,3473,0869583
0409034,Mogilno,11453,0929428
0409044,Strzelno,5389,0929598
0410014,Kcynia,4355,0929233
0410024,Mrocza,4168,0929440
0410034,Nakło nad Notecią,17620,0929463
0410054,Szubin,9563,0929612
0411011,Radziejów,5253,0986060
0411054,Piotrków Kujawski,4290,0867510
0412011,Rypin,15832,0986136
0413014,Kamień Krajeński,2358,0929210
0413024,Sępólno Krajeńskie,8914,0929546
0413044,Więcbork,5799,0929820
0414064,Nowe,5579,0929492
0414094,Świecie,24796,0929664
0415011,Chełmża,14045,0983126
0416064,Tuchola,13408,0929724
0417011,Wąbrzeźno,13317,0983652
0418011,Kowal,3386,0985786
0418044,Brześć Kujawski,4562,0985444
0418064,Chodecz,1796,0985562
0418084,Izbica Kujawska,2526,0985734
0418114,Lubień Kujawski,1360,0985898
0418124,Lubraniec,2825,0985929
0419014,Barcin,7179,0928825
