Lp. , Nazwa Muzeum , Kod pocztowy , Miejscowość , ul/plac/aleja, Ulica , nr budynku, nr lokalu, adres dodatkowy , Nazwa Organizatora , Data wpisu do Państwowego Rejestru Muzeów, Data wykreślenia z Państwowego Rejestru Muzeów, , , , , Uwagi
1. , Zamek Królewski w Warszawie – Muzeum. Rezydencja Królów Rzeczypospolitej , 00-277 , "Warszawa" , Plac , Plac Zamkowy , 4 , , , "Minister Kultury i Dziedzictwa Narodowego" , "18.05.1998" , , , , , , 
2. , Muzeum Narodowe w Krakowie , 30-062 , Kraków , ul. , 3 Maja , "1" , , , "Minister Kultury i Dziedzictwa Narodowego" , "18.05.1998" , , , , , , 
3. , Muzeum Zamoyskich w Kozłówce , 21-132 , Kamionka , , Kozłówka , 3 , , , Województwo Lubelskie , "18.05.1998" , , , , , , 
4. , Muzeum Żup Krakowskich Wieliczka w Wieliczce , 32-020 , Wieliczka , ul. , Zamkowa , 8 , , , Minister Kultury i Dziedzictwa Narodowego , 18.05.1998 , , , , , , 
5. , Muzeum Historii Polskiego Ruchu Ludowego w Warszawie , 02-730 , Warszawa , Aleja , Wilanowska , 204 , , , Samorząd Województwa Mazowieckiego , "18.05.1998" , , , , , , 
7. , Muzeum Niepodległości w Warszawie , 00-240 , Warszawa , al. , Solidarności , 62 , , , Województwo Mazowieckie , 18.05.1998 , , , , , , 
8. , Muzeum Oręża Polskiego w Kołobrzegu , 78-100 , Kołobrzeg , ul. , Armii Krajowej , 13 , , , Powiat Kołobrzeski , 18.05.1998 , , , , , , 
9. , Muzeum Ziemi Lubuskiej w Zielonej Górze , 65-048 , Zielona Góra , al. , Niepodległości , 15 , , , Województwo Lubuskie , 18.05.1998 , , , , , , 
10. , Państwowe Muzeum Archeologiczne w Warszawie , 00-241 , Warszawa , ul. , Długa , 52 , , , Województwo Mazowieckie , 18.05.1998 , , , , , , 
11. , Muzeum Okręgowe w Rzeszowie , 35-030 , Rzeszów , ul. , 3 Maja , 19 , , , Województwo Podkarpackie , 18.05.1998 , , , , , , 
12. , Muzeum Narodowe w Warszawie , 00-495 , Warszawa , Al. , Jerozolimskie , 3 , , , Minister Kultury i Dziedzictwa Narodowego , 06.07.1998 , , , , , , 
13. , Państwowe Muzeum Etnograficzne w Warszawie , 00-056 , Warszawa , ul. , Kredytowa , 1 , , , Województwo Mazowieckie , 06.07.1998 , , , , , , 
14. , Państwowe Muzeum na Majdanku w Lublinie , 20-325 , Lublin , ul. , Droga Męczenników Majdanka , 67 , , , Minister Kultury i Dziedzictwa Narodowego , 06.07.1998 , , , , , , 
15. , Muzeum Gross-Rosen w Rogoźnicy. Niemiecki nazistowski obóz koncentracyjny i zagłady (1940-1945) , 58-152 , Goczałków Rogoźnica, ul. , Ofiar Gross Rosen , 26 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Dolnośląskie" , 06.07.1998 , , , , , , 
16. , Zamek Królewski na Wawelu - Państwowe Zbiory Sztuki w Krakowie , 31-001 , Kraków , ul. , Wawel , 5 , , , Minister Kultury i Dziedzictwa Narodowego , 06.07.1998 , , , , , , 
17. , Muzeum Zamkowe w Malborku , 82-200 , Malbork , ul. , Starościńska , 1 , , , Minister Kultury i Dziedzictwa Narodowego , 06.07.1998 , , , , , , 
19. , Muzeum Zamkowe w Pszczynie , 43-200 , Pszczyna , ul. , Brama Wybrańców , 1 , , , Województwo Śląskie , 06.07.1998 , , , , , , 
20. , Muzeum Archeologiczne Środkowego Nadodrza w Zielonej Górze z siedzibą w Świdnicy , 66-008 , Świdnica , ul. , Długa , 27 , , , Powiat Zielonogórski , 06.07.1998 , , , , , , 
21. , Muzeum Etnograficzne w Zielonej Górze - Ochli , 66-006 , Ochla , ul. , Muzealna , 5 , , , Województwo Lubuskie , 06.07.1998 , , , , , , 
22. , Lubuskie Muzeum Wojskowe w Zielonej Górze z siedzibą w Drzonowie , 66-008 Drzonów 54 , Świdnica , , Drzonów , 54 , , , Powiat Zielonogórski , 06.07.1998 , , , , , , 
23. , Muzeum Pomorza Środkowego w Słupsku , 76-200 ul. Dominikańska 5-9 , Słupsk , ul. , Dominikańska , 5 , 9, , Województwo Pomorskie , 06.07.1998 , , , , , , 
24. , Centralne Muzeum Jeńców Wojennych , 45-017 ul. Minorytów 3 48-316 Łambinowice ul. Muzealna 4, Opole , ul. , Minorytów , 3 , , 48-316 Łambinowice ul. Muzealna 4, "Minister Kultury i Dziedzictwa Narodowego, Województwo Opolskie" , 06.07.1998 , , , , , , 
25. , Państwowe Muzeum Auschwitz-Birkenau w Oświęcimiu , 32-603 ul. Więźniów Oświęcimia 20 , Oświęcim , ul. , Więźniów Oświęcimia , 20 , , , Minister Kultury i Dziedzictwa Narodowego , 06.07.1998 , , , , , , 
26. , Muzeum Początków Państwa Polskiego w Gnieźnie , 62-200 ul. Kostrzewskiego 1 , Gniezno , ul. , Kostrzewskiego , 1 , , , Województwo Wielkopolskie , 06.07.1998 , , , , , , 
27. , Muzeum - Zamek Górków w Szamotułach , 64-500 ul. Wroniecka 30 , Szamotuły , ul. , Wroniecka , 30 , , , Powiat Szamotulski , 06.07.1998 , , , , , , 
28. , Muzeum Ziemi Kujawskiej i Dobrzyńskiej we Włocławku , 87-800 ul. Słowackiego 1a , Włocławek , ul. , Słowackiego , 1a , , , Województwo Kujawsko-Pomorskie , 06.07.1998 , , , , , , 
29. , Muzeum Pałacu Króla Jana III w Wilanowie , 02-958 Stanisława Kostki Potockiego 10/16 , Warszawa , ul. , Stanisława Kostki Potockiego, 10 , 16, , Minister Kultury i Dziedzictwa Narodowego , 28.12.1998 , , , , , , 
30. , Muzeum Stutthof w Sztutowie. Niemiecki nazistowski obóz koncentracyjny i zagłady (1939-1945) , 82-110 ul. Muzealna 6 , Sztutowo , ul. , Muzealna , 6 , , , Minister Kultury i Dziedzictwa Narodowego , 28.12.1998 , , , , , , 
31. , Muzeum Narodowe Rolnictwa i Przemysłu Rolno-Spożywczego w Szreniawie , 62-052 ul. Dworcowa 5 , Komorniki , ul. , Dworcowa , 5 , , , "Województwo Wielkopolskie, Minister Rolnictwa i Rozwoju Wsi" , 28.12.1998 , , , , , , 
33. , Muzeum Sportu i Turystyki w Warszawie , 01-531 ul. Wybrzeże Gdyńskie 4 , Warszawa , ul. , Wybrzeże Gdyńskie , 4 , , , Województwo Mazowieckie , 28.12.1998 , , , , , , 
34. , Muzeum Okręgowe w Toruniu , 87-100 ul. Rynek Staromiejski 1 , Toruń , ul. , Rynek Staromiejski , 1 , , , Gmina Miasta Toruń , 28.12.1998 , , , , , , 
35. , Muzeum Południowego Podlasia w Białej Podlaskiej , 21-500 ul. Warszawska 12 , Biała Podlaska , ul. , Warszawska , 12 , , , Gmina Miejska Biała Podlaska , 28.12.1998 , , , , , , 
36. , Muzeum Karkonoskie w Jeleniej Górze , 58-500 ul. J. Matejki 28 , Jelenia Góra , ul. , J. Matejki , 28 , , , Województwo Dolnośląskie , 28.12.1998 , , , , , , 
37. , Muzeum Nadwiślańskie w Kazimierzu Dolnym , 24-120 ul. Podzamcze 20 , Kazimierz Dolny , ul. , Podzamcze , 20 , , , "Województwo Lubelskie, Miasto Puławy" , 28.12.1998 , , , , , , 
38. , Muzeum Okręgowe Ziemi Kaliskiej w Kaliszu , 62-800 ul. T. Kościuszki 12 , Kalisz , ul. , T. Kościuszki , 12 , , , Województwo Wielkopolskie , 28.12.1998 , , , , , , 
39. , Muzeum Ziemi Chełmskiej im. Wiktora Ambroziewicza w Chełmie , 22-100 ul. Lubelska 55 , Chełm , ul. , Lubelska , 55 , , , Miasto Chełm , 28.12.1998 , , , , , , 
40. , Muzeum Ziemi Międzyrzeckiej im. Alfa Kowalskiego , 66-300 ul. Podzamcze 2 , Międzyrzec , ul. , Podzamcze , 2 , , , Powiat Międzyrzecki , 28.12.1998 , , , , , , 
41. , Muzeum Lubuskie im. Jana Dekerta w Gorzowie Wielkopolskim , 66-400 ul. Warszawska 35 , Gorzów Wielkopolski, ul. , Warszawska , 35 , , , Województwo Lubuskie , 28.12.1998 , , , , , , 
42. , Muzeum Szlachty Mazowieckiej w Ciechanowie , 06-400 ul. Warszawska 61 , Ciechanów , ul. , Warszawska , 61 , , , Województwo Mazowieckie , 28.12.1998 , , , , , , 
43. , Muzeum Rolnictwa im. Ks. Krzysztofa Kluka w Ciechanowcu , 18-230 ul. Pałacowa 5 , Ciechanowiec , ul. , Pałacowa , 5 , , , Samorząd Województwa Podlaskiego , 28.12.1998 , , , , , , 
44. , Muzeum Archeologiczne i Etnograficzne w Łodzi , 91-415 pl. Wolności 14 , Łódź , pl. , Wolności , 14 , , , Województwo Łódzkie , 28.12.1998 , , , , , , 
45. , Muzeum Historii Przemysłu w Opatówku , 62-860 ul. Kościelna 1 , Opatówek , ul. , Kościelna , 1 , , , Powiat Kaliski , 28.12.1998 , , , , , , 
46. , Muzeum Okręgowe im. Stanisława Staszica w Pile , 64-920 ul. Browarna 5 , Piła , ul. , Browarna , 5 , , , Województwo Wielkopolskie , 28.12.1998 , , , , , , 
47. , Muzeum Archeologiczne w Poznaniu , 61-781 ul. Wodna 27 , Poznań , ul. , Wodna , 27 , , , Województwo Wielkopolskie , 28.12.1998 , , , , , , 
48. , Muzeum - Zamek w Łańcucie , 37-100 ul. Zamkowa 1 , Łańcut , ul. , Zamkowa , 1 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Podkarpackie" , 28.12.1998 , , , , , , 
49. , Muzeum Narodowe w Lublinie , 20-117 ul. Zamkowa 9 , Lublin , ul. , Zamkowa , 9 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Lubelskie" , 28.12.1998 , , , , , , 
