L.p.;NAZWA URZĘDU;WOJEWÓDZTWO;POWIAT;MIEJSCOWOŚĆ;ULICA;NR DOMU;KOD POCZTOWY;NR TELEFONU wraz z nr kierunkowym;NR TELEFONU 2 wraz z nr kierunkowym;NR FAXU        wraz z nr kierunkowym;NR FAXU 2       wraz z nr kierunkowym;ADRES E-MAIL URZĘDU;ADRES 2 E-MAIL URZĘDU;ADRES WWW URZĘDU;SZEROKOŚĆ GEOGRAFICZNA;DŁUGOŚĆ GEOGRAFICZNA
1.;Dolnośląski Urząd Wojewódzki we Wrocławiu;dolnośląskie;;Wrocław;pl. Powstańców Warszawy  ;1;50-153 ;71 340 60 00 ;22 250 01 24; 71 340 68 95 ;71 340 62 14;info@duw.pl ;;http://www.duw.pl/;51.11;17.0496
2.;Komenda Wojewódzka Państwowej Straży Pożarnej we Wrocławiu;dolnośląskie;;Wrocław;Borowska;138;50-552 ; 71 368 22 00;; 71 367 33 74 ;;kw@kwpsp.wroc.pl ;;https://www.gov.pl/web/kwpsp-wroclaw;51.0824;17.0351
3.;Komenda Wojewódzka Policji we Wrocławiu;dolnośląskie;;Wrocław;Podwale ;31-33;50-040;478 713 400;; 71 340 47 73 ;;kontaktkwp@wr.policja.gov.pl ;;http://www.dolnoslaska.policja.gov.pl/;51.105;17.028
4.;Kuratorium Oświaty we Wrocławiu;dolnośląskie;;Wrocław;pl. Powstańców Warszawy  ;1;50-153 ; 71 340 63 36;; 71 340 63 22;;poczta@kuratorium.wroclaw.pl ;;http://www.kuratorium.wroclaw.pl/;51.11;17.0496
5.;Wojewódzka Inspekcja Geodezyjna i Kartograficzna we Wrocławiu;dolnośląskie;;Wrocław;pl. Powstańców Warszawy  ;1;50-153 ;71 340 65 83;;71 340 68 68;;gk@duw.pl;;www.dwingik.duw.pl;51.11;17.0496
6.;Wojewódzka Stacja Sanitarno - Epidemiologiczna we Wrocławiu ;dolnośląskie;;Wrocław;Marii Curie-Skłodowskiej ;73/77;50-950; 71 328 30 41; 71 328 30 49 ; 71 328 35 92 ;;wsse.wroclaw@pis.gov.pl;;https://www.gov.pl/web/wsse-wroclaw;51.1092;17.0663
7.;Wojewódzki Inspektorat Farmaceutyczny we Wrocławiu ;dolnośląskie;;Wrocław;pl. Powstańców Warszawy  ;1;50-153 ; 71 340 69 75 ;71 340 69 80; 71 340 64 96 ;;nfsekr@duw.pl ;;www.wif.wroclaw.pl;51.1106;17.0491
8.;Wojewódzki Inspektorat Inspekcji Handlowej we Wrocławiu ;dolnośląskie;;Wrocław;Ofiar Oświęcimskich;15a;50-069 ; 71 344 20 30 ; 72 344 20 38; 71 344 20 38 ;;sekretariat@wiih.wroclaw.pl ;;http://wiih.ibip.wroc.pl;51.1085;17.0313
9.;Wojewódzki Inspektorat Jakości Handlowej Artykułów Rolno-Spożywczych we Wrocławiu;dolnośląskie;;Wrocław;Ofiar Oświęcimskich;12;50-069; 71 346 08 84 ;71 344 22 73; 71 343 75 28 ;;wiwroclaw@ijhars.gov.pl;;http://bip.wijhars.pl/;51.1087;17.0314
10.;Wojewódzki Inspektorat Nadzoru Budowlanego we Wrocławiu;dolnośląskie;;Wrocław; J. E. Purkyniego;1;50-155 ; 71 346 32 40 ;71 346 32 41; 71 343 01 58 ;;winb@winb.wroc.pl;;http://www.winb.wroc.pl/;51.1105;17.0398
11.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa we Wrocławiu ;dolnośląskie;;Wrocław;Piłsudskiego;15-17;50-044 ; 71 371 84 35 ;; 71 371 84 32 ;;wi-wroclaw@piorin.gov.pl ;;http://www.piorin.gov.pl/wroclaw;51.1032;17.0234
12.;Wojewódzki Inspektorat Ochrony Środowiska we Wrocławiu ;dolnośląskie;;Wrocław;Chełmońskiego;14;51-630; 71 327 30 00 ;71 372 30 10; 71 327 30 09 ;;wios@wroclaw.pios.gov.pl ;;www.wroclaw.pios.gov.pl;51.1014;17.0900
13.;Wojewódzki Inspektorat Transportu Drogowego we Wrocławiu;dolnośląskie;;Wrocław;Bolesława Krzywoustego;28;51-165 ; 71 326 51 60 ;; 71 326 51 61 ;;sekretariat@dolnyslask.witd.gov.pl ;;http://dolnyslask.witd.gov.pl/;51.1381;17.0727
14.;Wojewódzki Inspektorat Weterynarii we Wrocławiu ;dolnośląskie;;Wrocław;Januszowicka;48;53-135; 71 367 70 16; 72 367 70 17; 71 367 70 16;;sekretariat@wroc.wiw.gov.pl ;;www.wroc.wiw.gov.pl;51.0794;17.0113
15.;Wojewódzki Urząd Ochrony Zabytków we Wrocławiu ;dolnośląskie;;Wrocław;Łokietka;11;50-243 ; 71 343 65 01;71 344 38 92;;;dwkz@dwkz.pl ;;http://wosoz.ibip.wroc.pl/public/;51.1186;17.0357
16.;Komenda Miejska Państwowej Straży Pożarnej w Jeleniej Górze ;dolnośląskie;miasto Jelenia Góra;Jelenia Góra;Sudecka;2;58-500; 75 764 74 50;; 75 764 74 18 ;;kmjeleniagora@kwpsp.wroc.pl ;;https://www.gov.pl/web/kmpsp-jeleniagora;50.9012;15.7368
17.;Komenda Miejska Państwowej Straży Pożarnej w Legnicy ;dolnośląskie;miasto Legnica;Legnica;Witelona;2;59-220 ; 76 752 21 12;; 76 856 74 75;;sekretariat@strazlegnica.pl;;https://www.gov.pl/web/kmpsp-legnica;51.2067;16.1636
18.;Komenda Miejska Państwowej Straży Pożarnej w Wałbrzychu ;dolnośląskie;miasto Wałbrzych;Wałbrzych;Ogrodowa;20;58-306; 74 887 72 00 ;; 74 887 72 91 ;; sekretariat@straz.walbrzych.pl;;https://www.gov.pl/web/kmpsp-walbrzych;50.8188;16.2856
19.;Komenda Miejska Państwowej Straży Pożarnej we Wrocławiu;dolnośląskie;miasto Wrocław;Wrocław;Kręta;28;50-233; 71 320 70 04 ;; 71 320 70 05 ;;wroclaw@kmpsp.wroclaw.pl ;;https://www.gov.pl/web/kmpsp-wroclaw;51.1242;17.038
20.;Komenda Miejska Policji w Jeleniej Górze ;dolnośląskie;miasto Jelenia Góra ;Jelenia Góra;Nowowiejska ;43;58-500 ;478731240;;478731108;;komendant@jelenia-gora.wr.policja.gov.pl;oficer.prasowy@jelenia-gora.wr.policja.gov.pl;http://www.jelenia-gora.policja.gov.pl/;50.8962;15.7542
