government,official_name,name,addr:postcode,addr:city,addr:place,addr:street,addr:housenumber,phone,fax,email,website
tax,Izba Administracji Skarbowej we Wrocławiu,Izba Administracji Skarbowej,53-333,Wrocław,,Powstańców Śląskich,24.26,+48 71 365 24 00,+48 71 365 27 80,ias.wroclaw@mf.gov.pl,www.dolnoslaskie.kas.gov.pl
tax,Urząd Skarbowy w Bolesławcu,Urząd Skarbowy,59-700,Bolesławiec,,Garncarska,10,+48 75 646 52 00,+48 75 646 52 01,us.boleslawiec@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-boleslawcu
tax,Urząd Skarbowy w Bystrzycy Kłodzkiej,Urząd Skarbowy,57-500,Bystrzyca Kłodzka,,Adama Mickiewicza,5,+48 74 811 79 50,+48 74 811 11 27,us.bystrzyca_klodzka@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-bystrzycy-klodzkiej
tax,Urząd Skarbowy w  Dzierżoniowie,Urząd Skarbowy,58-200,Dzierżoniów,,Pocztowa,14,+48 74 831 63 16,,us.dzierzoniow@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-dzierzoniowie
tax,Urząd Skarbowy w Głogowie,Urząd Skarbowy,67-200,Głogów,,Adama Mickiewicza,53,+48 76 727 24 00,+48 76 727 24 01,us.glogow@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-glogowie
tax,Urząd Skarbowy w Jaworze,Urząd Skarbowy,59-400,Jawor,,Jurija Gagarina,5,+48 76 871 72 00,+48 76 870 62 24,us.jawor@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jaworze
tax,Urząd Skarbowy w Jeleniej Górze,Urząd Skarbowy,58-506,Jelenia Góra,,Adama Thebesiusa,1,+48 75 647 35 00,+48 75 647 35 37,us.jelenia_gora@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jeleniej-gorze
tax,Urząd Skarbowy w Kamiennej Górze,Urząd Skarbowy,58-400,Kamienna Góra,,Papieża Jana Pawła II,18,+48 75 744 93 60,+48 75 744 93 92,us.kamienna_gora@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-kamiennej-gorze
tax,Urząd Skarbowy w Kłodzku,Urząd Skarbowy,57-300,Kłodzko,,Stanisławy Walasiewiczówny,1,+48 74 647 43 00,+48 74 647 43 70,us.klodzko@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-klodzku
tax,Urząd Skarbowy w Legnicy,Urząd Skarbowy,59-220,Legnica,,Wrocławska,37,+48 76 851 15 11,+48 76 851 15 01,us.legnica@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-legnicy
tax,Urząd Skarbowy w Lubaniu,Urząd Skarbowy,59-800,Lubań,,Stara,1,+48 75 722 91 00,+48 75 722 91 01,us.luban@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lubaniu
