LP.  ,NAZWA                                                                                                                                                            ,ADRES                                                                    ,EMAIL                                                  ,TELEFON                           ,GODZINY SOBOTA ,                                                         ,WOJEWÓDZTWO
   1 ,Speed Car Jelenia Góra                                                                                                                                           ,"Al. Jana Pawła II 47, 58-500 Jelenia Góra"                              ,centrala@speedcar.pl                                   ,757 694 254                       ,8:00-15:00     ,                                                         ,dolnośląskie
   2 ,PHU Przemysław Grochowski PSKP                                                                                                                                   ,"Biała 193, 59-225 Chojnów"                                              ,pmgrochowski@wp.pl                                     ,792 263 321                       ,8:00-16:00     ,                                                         ,dolnośląskie
   3 ,PUH AUTO-SERVICE Sp. z o.o                                                                                                                                       ,"Lisowice 94, 59-230 Prochowice"                                         ,stacja@oskp-lisowice.pl                                ,697 902 443                       ,7:00-14:00     ,                                                         ,dolnośląskie
   4 ,Stacja Kontroli Pojazdów „Opony EXPRESS”                                                                                                                         ,"ul. Boczna 8a, 59-300 Lubin"                                            ,                                                       ,768 460 950                       ,9:00-14:00     ,                                                         ,dolnośląskie
   5 ,"SKP Dominik Machtylski, Piotr Matijczak S.C."                                                                                                                   ,"ul. Bracka 1a, 59-100 Polkowice"                                        ,biuro@skp.polkowice.pl                                 ,711 022 028                       ,8:00-15:00     ,                                                         ,dolnośląskie
   6 ,"""SKP AUTOKOMPLEKS"" S.C."                                                                                                                                      ,"ul. Brzegowa 105A, 58-200 Dzierżoniów"                                  ,ddz020@wp.pl                                           ,517 665 586                       ,8:00-14:00     ,                                                         ,dolnośląskie
   7 ,OSKP                                                                                                                                                             ,"ul. Bystrzycka 14, 58-100 Świdnica"                                     ,                                                       ,74 852 25 84                      ,7:00-13:00     ,                                                         ,dolnośląskie
   8 ,Stacja Kontroli Pojazdów „Chłopaki z Peronu”                                                                                                                     ,"ul. Chocianowska 15A, 59-300 Lubin"                                     ,                                                       ,735 267 478                       ,9:00-14:00     ,                                                         ,dolnośląskie
   9 ,SKP AUTO KOMPLEKS s.c.                                                                                                                                           ,"ul. Dworcowa Górna 1C, 58-250 Pieszyce"                                 ,ddz013@wp.pl                                           ,512 307 880                       ,8:00-14:00     ,                                                         ,dolnośląskie
  10 ,Speed Car Wrocław Hubska                                                                                                                                         ,"ul. Hubska 112, 50-505 Wrocław"                                         ,centrala@speedcar.pl                                   ,517 256 455                       ,8:00-18:00     ,                                                         ,dolnośląskie
  11 ,"UNI-TRUCK Sp. z o.o. Podstawowa Stacja Kontroli Pojazdów"                                                                                                       ,"ul. Jaworzyńska 264, 59-220 Legnica"                                    ,skp.legnica@uni-truck.eu                               ,"602478471, 767464307"            ,8:00-14:00     ,                                                         ,dolnośląskie
  12 ,Rojak E.S. Okręgowa Stacja kontroli pojazdów                                                                                                                     ,"ul. Kardynała Stefana Wyszyńskiego 14, 59-400 Jawor"                    ,                                                       ,76 870 65 67                      ,7:00-12:00     ,                                                         ,dolnośląskie
  13 ,AUTO-KURIATA S.C.                                                                                                                                                ,"ul. Kilińskiego 5, 55-200 Oława"                                        ,biuro@autokuriata.pl                                   ,71 313 94 44                      ,8:00-15:00     ,                                                         ,dolnośląskie
  14 ,OSKP ASO Filus                                                                                                                                                   ,"ul. Kolejowa 28, 55-300 Środa Ślaska"                                   ,skp@filus.pl                                           ,713 172 800                       ,8:00-14:00     ,                                                         ,dolnośląskie
  15 ,PSKP Auto Centrum                                                                                                                                                ,"ul. Kolejowa 28a, 55-300 Środa Śląska"                                  ,autocentrum.palaszewscy@gmail.com                      ,503 139 985                       ,8:00-13:00     ,                                                         ,dolnośląskie
  16 ,Horyzont                                                                                                                                                         ,"ul. Kolejowa 2B, 55-110 Prusice"                                        ,skp.prusice@op.pl                                      ,786 865 898                       ,8:00-14:00     ,                                                         ,dolnośląskie
  17 ,Okręgowa Stacja kontroli Pojazdów                                                                                                                                ,"ul. Kopernika 30, 59-800 Lubań"                                         ,                                                       ,75 722 25 45                      ,8:00-12:00     ,                                                         ,dolnośląskie
  18 ,Polmozbyt                                                                                                                                                        ,"ul. Kossaka 2, 67-200 Głogów"                                           ,                                                       ,768 332 361                       ,10:00-14:00    ,                                                         ,dolnośląskie
  19 ,Stacja Kontroli Pojazdów                                                                                                                                         ,"ul. Krótka 3, 57-240 Kamieniec Ząbkowicki"                              ,skpotmuchow@gmail.com                                  ,789 389 585                       ,8:00-13:00     ,                                                         ,dolnośląskie
  20 ,SKP Matkowscy                                                                                                                                                    ,"ul. Legnicka 4, 59-100 Polkowice"                                       ,                                                       ,734 440 023                       ,8:00-14:00     ,                                                         ,dolnośląskie
  21 ,Podstawowa Stacja Kontroli Pojazdów  DZL/003/P                                                                                                                   ,ul. Legnicka 54 59-500 Złotoryja                                         ,skr.skp@poczta.onet.pl                                 ,784 047 161                       ,8:00-14:00     ,                                                         ,dolnośląskie
  22 ,"Huta Szkła Okręgowa Stacja Kontroli Pojazdów Popławscy sp Jawna"                                                                                                ,"ul. Lipowa 31, 56-200 Góra"                                             ,monpop@poczta.onet.pl                                  ,609 479 913                       ,8:00-14:00     ,                                                         ,dolnośląskie
  23 ,Stacja kontroli pojazdów DW/086/P                                                                                                                                ,"ul. Lubuska 54a, 53-514 Wrocław"                                        ,autoservislubuska@gmail.com                            ,713 326 761                       ,8:00-14:00     ,                                                         ,dolnośląskie
