Nazwa,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Kod pocztowy,Adres,Centrala,FAX,Służbowa strona WWW,Służbowy adres e-mail
KG PSP Warszawa,KG,mazowieckie,Warszawa,Warszawa,Warszawa,00-463,ul. Podchorążych 38,225233510,226286575,,
KM PSP Biała Podlaska,KM/KP,lubelskie,Biała Podlaska,Biała Podlaska,Biała Podlaska,21-500,Sidorska 93,833447251,833447227,https://strazbiala.pl/,km_bialapodlaska@straz.lublin.pl
KM PSP Białystok,KM/KP,podlaskie,Białystok,Białystok,Białystok,15-062,Warszawska 3,,856769989,www.bialystok.straz.bialystok.pl,kmpspbk.sk@straz.bialystok.pl
KM PSP Bielsko Biała,KM/KP,śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko Biała,43-300,Leszczyńska 43,338122233,338228310,www.gov.pl/web/kmpsp-bielsko-biala,pspbielsko@katowice.kwpsp.gov.pl
KM PSP Bydgoszcz,KM/KP,kujawsko-pomorskie,Bydgoszcz,Bydgoszcz,Bydgoszcz,85-158,Dąbrowskiego 4,525848800,525848863,kmpspbydgoszcz.pl,kmpsp_bydgoszcz@kujawy.psp.gov.pl
KM PSP Bytom,KM/KP,śląskie,Bytom,Bytom,Bytom,41-902,Łużycka 21,323887600,323887618,https://www.gov.pl/web/kmpsp-bytom,pspbytom@katowice.kwpsp.gov.pl
KM PSP Chełm,KM/KP,lubelskie,Chełm,Chełm,Chełm,22-100,Prym. S. Wyszyńskiego 2b,825653428,825655550,www.strazchelm.pl,km_chelm@straz.lublin.pl
KM PSP Chorzów,KM/KP,śląskie,Chorzów,Chorzów,Chorzów,41-500,Katowicka 123,322410977,322411009,https://www.gov.pl/web/kmpsp-chorzow,sekretariat@straz-chorzow.pl
KM PSP Częstochowa,KM/KP,śląskie,Częstochowa,Częstochowa,Częstochowa,42-202,ul. Gen. Wł.Sikorskiego 82/94,,343614993,www.straz.czestochowa.pl,skkm@straz.czestochowa.pl
KM PSP Dąbrowa Górnicza,KM/KP,śląskie,Dąbrowa Górnicza,Dąbrowa Górnicza,Dąbrowa Górnicza,41-303,Podlesie 2,322647694,322642825,www.gov.pl/web/kmpsp-dabrowa-gornicza,pspdabrowa@katowice.kwpsp.gov.pl
KM PSP Elbląg,KM/KP,warmińsko-mazurskie,Elbląg,Elbląg,Elbląg,82-300,Gen. J. Bema 17,556413000,552333622,www.gov.pl/web/kmpsp-elblag,km.elblag@kwpsp.olsztyn.pl
KM PSP Gdańsk,KM/KP,pomorskie,Gdańsk,Gdańsk,Gdańsk,80-382,Beniowskiego 7,587690501,585111351,www.kmpsp.gda.pl,sekretariat@kmpsp.gda.pl
KM PSP Gdynia,KM/KP,pomorskie,Gdynia,Gdynia,Gdynia,81-353,Władysława IV 12/14,586602300,586602207,psp.seveo.pl,sekretariat@kmpsp.gdynia.pl
KM PSP Gliwice,KM/KP,śląskie,Gliwice,Gliwice,Gliwice,44-100,Wrocławska 1,322311885,323019716,https://www.gov.pl/web/kmpsp-gliwice,kmpsp@kmpsp.gliwice.pl
KM PSP Gorzów Wielkopolski,KM/KP,lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,66-400,Dąbrowskiego 3,957338400,957338460,https://www.gov.pl/web/kmpsp-gorzow-wielkopolski,kmpspgorzow@straz.gorzow.pl
KM PSP Grudziądz,KM/KP,kujawsko-pomorskie,grudziądzki,Grudziądz,Grudziądz,86-300,Piłsudskiego 25/27,564506632,564506630,http://www.pspgrudziadz.pl,kmpsp_grudziadz@kujawy.psp.gov.pl
KM PSP Jastrzębie Zdrój,KM/KP,śląskie,Jastrzębie-Zdrój,Jastrzębie-Zdrój,Jastrzębie Zdrój,44-330,Jagiełły 4,,324759509,www.gov.pl/kmpsp-jastrzebie-zdroj,pspjastrzebie@katowice.kwpsp.gov.pl
KM PSP Jaworzno,KM/KP,śląskie,Jaworzno,Jaworzno,Jaworzno,43-600,Krakowska 22,327518710,327518710,https://www.gov.pl/web/kmpsp-jaworzno,pspjaworzno@katowice.kwpsp.gov.pl
KM PSP Jelenia Góra,KM/KP,dolnośląskie,Jelenia Góra,Jelenia Góra,Jelenia Góra,58-500,Sudecka 2,757647460,757647496,www.straz.jgora.pl,jeleniagora@kwpsp.wroc.pl
KM PSP Kalisz,KM/KP,wielkopolskie,Kalisz,Kalisz,Kalisz,62-800,Nowy Swiat 40/42,477717600 wew.: 7600,627654223,www.kalisz.psp.wlkp.pl,km-kalisz@psp.wlkp.pl
KM PSP Katowice,KM/KP,śląskie,Katowice,Katowice,Katowice,40-026,Wojewódzka 11,323583700,323583708,www.gov.pl/web/kmpsp-katowice/,skkm@strazpozarna.katowice.pl
KM PSP Kielce,KM/KP,świętokrzyskie,Kielce,Kielce,Kielce,25-324,Sandomierska 81/83,413693010,413600615,www.gov.pl/web/kmpsp-kielce,km@straz.kielce.pl
KM PSP Konin,KM/KP,wielkopolskie,Konin,Konin,Konin,62-510,Przemysłowa 7,477717900,632499813,www.konin.psp.wlkp.pl,kmpspkonin@psp.wlkp.pl
KM PSP Koszalin,KM/KP,zachodniopomorskie,Koszalin,Koszalin,Koszalin,75-738,Strażacka 8,943455230 wew.: 230,943455250 wew.: 250,www.kmpsp.koszalin.pl,km.koszalin@szczecin.kwpsp.gov.pl
KM PSP Kraków,KM/KP,małopolskie,Kraków,Kraków,Kraków,31-033,Westerplatte 19,126168300,126165909,https://www.gov.pl/web/kmpsp-krakow/,sekretariat1@psp.krakow.pl
KM PSP Krosno,KM/KP,podkarpackie,Krosno,Krosno,Krosno,38-402,Niepodległości 6,134366308,134367110,kmkrosno.itl.pl,kmkrosno@podkarpacie.straz.pl
KM PSP Legnica,KM/KP,dolnośląskie,Legnica,Legnica,Legnica,59-220,Witelona 2,767522112 wew.: 103,768567475,www.gov.pl/web/kmpsp-legnica,legnica@kwpsp.wroc.pl
KM PSP Leszno,KM/KP,wielkopolskie,Leszno,Leszno,Leszno,64-100,Okrężna 19,477718200 wew.: 8200,477718209 wew.: 8209,https://www.gov.pl/web/kmpsp-leszno,kmpspleszno@psp.wlkp.pl
KM PSP Lublin,KM/KP,lubelskie,Lublin,Lublin,Lublin,20-012,Antoniego Szczerbowskiego 6,815351320,815351302,kmpsp.lublin.pl,msk_lublin@straz.lublin.pl
KM PSP Łomża,KM/KP,podlaskie,Łomża,Łomża,Łomża,18-400,gen. Władysława Sikorskiego 48/94,862150220,477117403,https://www.gov.pl/web/kmpsp-lomza/,kmpsplo@straz.lomza.pl
KM PSP Łódź,KM/KP,łódzkie,Łódź,Łódź,Łódź,91-446,Zgierska 47,426163000,426163063,https://www.gov.pl/web/kmpsp-lodz,kmpsp07@straz.lodz.pl
KM PSP m. st. Warszawa,KM/KP,mazowieckie,Warszawa,Warszawa,Warszawa,00-622,Polna 1,225967300,225967900,https://www.gov.pl/web/kmpsp-warszawa/,kmwarszawa@mazowsze.straz.pl
KM PSP Mysłowice,KM/KP,śląskie,Mysłowice,Mysłowice,Mysłowice,41-400,Mikołowska 50 M,,323160039,http://myslowice.kmpsp.gov.pl,skkm@myslowice.kmpsp.gov.pl
KM PSP Nowy Sącz,KM/KP,małopolskie,Nowy Sącz,Nowy Sącz,Nowy Sącz,33-300,Wincentego Witosa 69,478314900,478314919,www.gov.pl/web/kmpsp-nowy-sacz,kppspnowysacz@straz.krakow.pl
KM PSP Olsztyn,KM/KP,warmińsko-mazurskie,Olsztyn,Olsztyn,Olsztyn,10-045,Niepodległości 16,895229200,895229209,www.gov.pl/web/kmpsp-olsztyn,sekretariat@straz.olsztyn.pl
KM PSP Opole,KM/KP,opolskie,Opole,Opole,Opole,45-315,Głogowska 24,774002000,774002031,www.kmpsp.opole.pl,opolersk@kmpsp.opole.pl
KM PSP Ostrołęka,KM/KP,mazowieckie,Ostrołęka,Ostrołęka,Ostrołęka,07-412,Celna 11,297694400,297605906,www.gov.pl/kmpsp-ostroleka,ostroleka@mazowsze.straz.pl
KM PSP Piekary Śląskie,KM/KP,śląskie,Piekary Śląskie,Piekary Śląskie,Piekary Śląskie,41-940,Karola Miarki 14,,322872124,https://www.gov.pl/web/kmpsp-piekary-slaskie,sekretariat@kmpsppiekary.pl
KM PSP Piotrków Trybunalski,KM/KP,łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Piotrków Trybunalski,97-300,Jagiellońska 11,446473919,446473488,https://www.gov.pl/web/kmpsp-piotrkow-trybunalski,kmpsp12@straz.lodz.pl
KM PSP Płock,KM/KP,mazowieckie,Płock,Płock,Płock,09-402,Wyszogrodzka 1 A,243667813,243667850,,plock@mazowsze.straz.pl
KM PSP Poznań,KM/KP,wielkopolskie,Poznań,Poznań,Poznań,61-248,Bobrzańska 6a,477716300 wew.: 6300,477716315 wew.: 6315,www.gov.pl/web/kmpsp-poznan,km-poznan@psp.wlkp.pl
KM PSP Przemyśl,KM/KP,podkarpackie,przemyski,Przemyśl,Przemyśl,37-700,Pl. Św. Floriana 1,,166764602,www.przemysl.kmpsp.gov.pl,kmprzemysl@podkarpacie.straz.pl
KM PSP Radom,KM/KP,mazowieckie,Radom,Radom,Radom,26-600,Romualda Traugutta 57,483688998,483688912,https://www.gov.pl/web/kmpsp-radom,radom@mazowsze.straz.pl
KM PSP Ruda Śląska,KM/KP,śląskie,Ruda Śląska,Ruda Śląska,Ruda Śląska,41-710,Strażacka 10,322447060,322447077,https://www.gov.pl/web/kmpsp-ruda-slaska,pspruda@katowice.kwpsp.gov.pl
KM PSP Rybnik,KM/KP,śląskie,Rybnik,Rybnik,Rybnik,44-200,Św. Józefa 4,324395800,324395810,www.gov.pl/web/kmpsp-rybnik,psprybnik@katowice.kwpsp.gov.pl
KM PSP Rzeszów,KM/KP,podkarpackie,Rzeszów,Rzeszów,Rzeszów,35-016,Maurycego Mochnackiego 4,178523303,178523540,www.gov.pl/web/kmpsp-rzeszow,kmrzeszow@podkarpacie.straz.pl
KM PSP Siedlce,KM/KP,mazowieckie,Siedlce,Siedlce,Siedlce,08-110,Czerwonego Krzyża 45,256445978,256443288,www.gov.pl/web/kmpsp-siedlce,siedlce@mazowsze.straz.pl
KM PSP Siemianowice Śląskie,KM/KP,śląskie,Siemianowice Śląskie,Siemianowice Śląskie,Siemianowice Śląskie,41-100,Pułaskiego 2,327668030,322203231,https://www.gov.pl/web/kmpsp-siemianowice-slaskie,pspsiemianowice@siemianowice.kmpsp.gov.pl
KM PSP Skierniewice,KM/KP,łódzkie,Skierniewice,Skierniewice,Skierniewice,96-100,Aleja Macieja Rataja 4,468333611,468325762,https://www.gov.pl/web/kmpsp-skierniewice,kmpsp17@straz.lodz.pl
KM PSP Słupsk,KM/KP,pomorskie,Słupsk,Słupsk,Słupsk,76-200,Młyńska 2,598424001,598417192,https://www.gov.pl/web/kmpsp-slupsk,msk.slupsk@straz.gda.pl
KM PSP Sopot,KM/KP,pomorskie,Sopot,Sopot,SOPOT,81-824,Armii Krajowej 105,585558173 wew.: 173,585558174,https://www.gov.pl/web/kmpsp-sopot,msk.sopot@straz.gda.pl
KM PSP Sosnowiec,KM/KP,śląskie,Sosnowiec,Sosnowiec,Sosnowiec,41-200,Klimontowska 21,323631840,323631842,www.sosnowiec.kmpsp.gov.pl,straz@sosnowiec.kmpsp.gov.pl
KM PSP Suwałki,KM/KP,podlaskie,Suwałki,Suwałki,Suwałki,16-400,Witosa Wincentego 10,477117510,477117503,www.straz.suwalki.pl,msk@kmpsp.suwalki.pl
KM PSP Szczecin,KM/KP,zachodniopomorskie,Szczecin,Szczecin,Szczecin,70-560,Grodzka 1/5,914348400,914348500,http://www.straz.szczecin.pl/index.htm,km.szczecin@szczecin.kwpsp.gov.pl
KM PSP Świętochłowice,KM/KP,śląskie,Świętochłowice,Świętochłowice,Świętochłowice,41-600,Harcerska 16,323462020,323462021,https://www.gov.pl/web/kmpsp-swietochlowice/,pspswietochlowice@katowice.kwpsp.gov.pl
KM PSP Świnoujście,KM/KP,zachodniopomorskie,Świnoujście,Świnoujście,Świnoujście,72-602,Norberta Barlickiego 18,913275210,913275214,kmpspswinoujscie.binp.info/kmpspswinoujscie/,km.swinoujscie@szczecin.kwpsp.gov.pl
KM PSP Tarnobrzeg,KM/KP,podkarpackie,Tarnobrzeg,Tarnobrzeg,Tarnobrzeg,39-400,Targowa 3,158233507,158233507 wew.: 204,https://www.gov.pl/web/kmpsp-tarnobrzeg,kmtarnobrzeg@podkarpacie.straz.pl
KM PSP Tarnów,KM/KP,małopolskie,Tarnów,Tarnów,Tarnów,33-100,Klikowska 39,146317000,146317007,www.straz.tarnow.pl,kmpsp@straz.tarnow.pl
KM PSP Toruń ,KM/KP,kujawsko-pomorskie,Toruń,Toruń,Toruń,87-100,Legionów 70/76,566119200,566597113,http://www.straz.torun.pl,msk@straz.torun.pl
KM PSP Tychy,KM/KP,śląskie,Tychy,Tychy,Tychy,43-100,aleja Niepodległości 230,322273871,323232458,https://www.gov.pl/web/kmpsp-tychy,psptychy@katowice.kwpsp.gov.pl
KM PSP Wałbrzych,KM/KP,dolnośląskie,Wałbrzych,Wałbrzych,Wałbrzych,58-306,Ogrodowa 20,748877200,748423137,www.straz.walbrzych.pl,walbrzych@kwpsp.wroc.pl
KM PSP Włocławek,KM/KP,kujawsko-pomorskie,Włocławek,Włocławek,Włocławek,87-800,Rolna 1,477512810,542306513,www.gov.pl/kmpsp-wloclawek,wloclawek@kujawy.psp.gov.pl
KM PSP Wrocław,KM/KP,dolnośląskie,Wrocław,Wrocław,Wrocław,50-233,Kręta 28,713563431,717702396,https://www.gov.pl/web/kmpsp-wroclaw,wroclaw@kwpsp.wroc.pl
