__lon,__lat,addr:city,addr:housenumber,addr:postcode,addr:street,email,fax,name,official_name,phone,short_name,website
,,Warszawa,38,00-463,ul. Podchorążych,,+48 22 628 65 75,Komenda Główna Państwowej Straży Pożarnej,Komenda Główna Państwowej Straży Pożarnej w Warszawie,+48 22 523 35 10,KG PSP Warszawa,
,,Biała Podlaska,93,21-500,Sidorska,km_bialapodlaska@straz.lublin.pl,+48 83 344 72 27,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Białej Podlaskiej,+48 83 344 72 51,KM PSP Biała Podlaska,https://strazbiala.pl/
,,Białystok,3,15-062,Warszawska,kmpspbk.sk@straz.bialystok.pl,+48 85 676 99 89,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Białymstoku,,KM PSP Białystok,www.bialystok.straz.bialystok.pl
,,Bielsko Biała,43,43-300,Leszczyńska,pspbielsko@katowice.kwpsp.gov.pl,+48 33 822 83 10,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w False,+48 33 812 22 33,KM PSP Bielsko Biała,www.gov.pl/web/kmpsp-bielsko-biala
,,Bydgoszcz,4,85-158,Dąbrowskiego,kmpsp_bydgoszcz@kujawy.psp.gov.pl,+48 52 584 88 63,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Bydgoszczy,+48 52 584 88 00,KM PSP Bydgoszcz,kmpspbydgoszcz.pl
,,Bytom,21,41-902,Łużycka,pspbytom@katowice.kwpsp.gov.pl,+48 32 388 76 18,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Bytomiu,+48 32 388 76 00,KM PSP Bytom,https://www.gov.pl/web/kmpsp-bytom
,,Chełm,2b,22-100,Prym. S. Wyszyńskiego,km_chelm@straz.lublin.pl,+48 82 565 55 50,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Chełmie,+48 82 565 34 28,KM PSP Chełm,www.strazchelm.pl
,,Chorzów,123,41-500,Katowicka,sekretariat@straz-chorzow.pl,+48 32 241 10 09,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Chorzowie,+48 32 241 09 77,KM PSP Chorzów,https://www.gov.pl/web/kmpsp-chorzow
,,Częstochowa,82,42-202,ul. Gen. Wł.Sikorskiego/94,skkm@straz.czestochowa.pl,+48 34 361 49 93,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Częstochowie,,KM PSP Częstochowa,www.straz.czestochowa.pl
,,Dąbrowa Górnicza,2,41-303,Podlesie,pspdabrowa@katowice.kwpsp.gov.pl,+48 32 264 28 25,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Dąbrowie Górniczej,+48 32 264 76 94,KM PSP Dąbrowa Górnicza,www.gov.pl/web/kmpsp-dabrowa-gornicza
,,Elbląg,17,82-300,Gen. J. Bema,km.elblag@kwpsp.olsztyn.pl,+48 55 233 36 22,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Elblągu,+48 55 641 30 00,KM PSP Elbląg,www.gov.pl/web/kmpsp-elblag
,,Gdańsk,7,80-382,Beniowskiego,sekretariat@kmpsp.gda.pl,+48 58 511 13 51,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Gdańsku,+48 58 769 05 01,KM PSP Gdańsk,www.kmpsp.gda.pl
,,Gdynia,12,81-353,Władysława IV/14,sekretariat@kmpsp.gdynia.pl,+48 58 660 22 07,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Gdyni,+48 58 660 23 00,KM PSP Gdynia,psp.seveo.pl
,,Gliwice,1,44-100,Wrocławska,kmpsp@kmpsp.gliwice.pl,+48 32 301 97 16,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Gliwicach,+48 32 231 18 85,KM PSP Gliwice,https://www.gov.pl/web/kmpsp-gliwice
,,Gorzów Wielkopolski,3,66-400,Dąbrowskiego,kmpspgorzow@straz.gorzow.pl,+48 95 733 84 60,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Gorzowie Wielkopolskim,+48 95 733 84 00,KM PSP Gorzów Wielkopolski,https://www.gov.pl/web/kmpsp-gorzow-wielkopolski
,,Grudziądz,25,86-300,Piłsudskiego/27,kmpsp_grudziadz@kujawy.psp.gov.pl,+48 56 450 66 30,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Grudziądzu,+48 56 450 66 32,KM PSP Grudziądz,http://www.pspgrudziadz.pl
,,Jastrzębie Zdrój,4,44-330,Jagiełły,pspjastrzebie@katowice.kwpsp.gov.pl,+48 32 475 95 09,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w False,,KM PSP Jastrzębie Zdrój,www.gov.pl/kmpsp-jastrzebie-zdroj
,,Jaworzno,22,43-600,Krakowska,pspjaworzno@katowice.kwpsp.gov.pl,+48 32 751 87 10,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Jaworznie,+48 32 751 87 10,KM PSP Jaworzno,https://www.gov.pl/web/kmpsp-jaworzno
,,Jelenia Góra,2,58-500,Sudecka,jeleniagora@kwpsp.wroc.pl,+48 75 764 74 96,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Jeleniej Górze,+48 75 764 74 60,KM PSP Jelenia Góra,www.straz.jgora.pl
,,Kalisz,40,62-800,Nowy Swiat/42,km-kalisz@psp.wlkp.pl,+48 62 765 42 23,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Kaliszu,,KM PSP Kalisz,www.kalisz.psp.wlkp.pl
,,Katowice,11,40-026,Wojewódzka,skkm@strazpozarna.katowice.pl,+48 32 358 37 08,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Katowicach,+48 32 358 37 00,KM PSP Katowice,www.gov.pl/web/kmpsp-katowice/
,,Kielce,81,25-324,Sandomierska/83,km@straz.kielce.pl,+48 41 360 06 15,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Kielcach,+48 41 369 30 10,KM PSP Kielce,www.gov.pl/web/kmpsp-kielce
,,Konin,7,62-510,Przemysłowa,kmpspkonin@psp.wlkp.pl,+48 63 249 98 13,Komenda Miejska Państwowej Straży Pożarnej,Komenda Miejska Państwowej Straży Pożarnej w Koninie,+48 47 771 79 00,KM PSP Konin,www.konin.psp.wlkp.pl
