WOJEWÓDZTWO,TYP,NAZWA URZĘDU,KOD,MIASTO,ULICA,NR BUDYNKU / LOKALU,POCZTA,NR TELEFONU   wraz z nr kierunkowym,NR FAXU,ADRES E-MAIL URZĘDU,kod jednostki,ADRESY STRON BIP JEDNOSTEK KAS
dolnośląskie,IAS,Izba Administracji Skarbowej we Wrocławiu,53-333,Wrocław,Powstańców Śląskich ,24.26,Wrocław,(71) 365-24-00,(71) 365-27-80,ias.wroclaw@mf.gov.pl ,0201,www.dolnoslaskie.kas.gov.pl
dolnośląskie,US,Urząd Skarbowy w Bolesławcu,59-700,Bolesławiec,Garncarska ,10,Bolesławiec,(75) 646-52-00,(75) 646-52-01,us.boleslawiec@mf.gov.pl,0202,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-boleslawcu
dolnośląskie,US,Urząd Skarbowy w Bystrzycy Kłodzkiej,57-500,Bystrzyca Kłodzka,Adama Mickiewicza ,5,Bystrzyca Kłodzka,(74) 811-79-50,(74) 811-11-27,us.bystrzyca_klodzka@mf.gov.pl,0203,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-bystrzycy-klodzkiej
dolnośląskie,US,Urząd Skarbowy w  Dzierżoniowie,58-200,Dzierżoniów,Pocztowa ,14,Dzierżoniów,(74) 831-63-16,-,us.dzierzoniow@mf.gov.pl,0204,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-dzierzoniowie
dolnośląskie,US,Urząd Skarbowy w Głogowie,67-200,Głogów,Adama Mickiewicza ,53,Głogów,(76) 727-24-00,(76) 727-24-01,us.glogow@mf.gov.pl,0205,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-glogowie
dolnośląskie,US,Urząd Skarbowy w Jaworze,59-400,Jawor,Jurija Gagarina ,5,Jawor,(76) 871-72-00,(76) 870-62-24,us.jawor@mf.gov.pl,0206,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jaworze
dolnośląskie,US,Urząd Skarbowy w Jeleniej Górze,58-506,Jelenia Góra,Adama Thebesiusa,1,Jelenia Góra,(75) 647-35-00,(75) 647-35-37,us.jelenia_gora@mf.gov.pl,0207,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jeleniej-gorze
dolnośląskie,US,Urząd Skarbowy w Kamiennej Górze,58-400,Kamienna Góra,Papieża Jana Pawła II ,18,Kamienna Góra,(75) 744-93-60,(75) 744-93-92,us.kamienna_gora@mf.gov.pl,0208,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-kamiennej-gorze
dolnośląskie,US,Urząd Skarbowy w Kłodzku,57-300,Kłodzko,Stanisławy Walasiewiczówny,1,Kłodzko,(74) 647-43-00,(74) 647-43-70,us.klodzko@mf.gov.pl,0209,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-klodzku
dolnośląskie,US,Urząd Skarbowy w Legnicy,59-220,Legnica,Wrocławska ,37,Legnica,(76) 851-15-11,(76) 851-15-01,us.legnica@mf.gov.pl,0210,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-legnicy
dolnośląskie,US,Urząd Skarbowy w Lubaniu,59-800,Lubań,Stara ,1,Lubań,(75) 722-91-00,(75) 722-91-01,us.luban@mf.gov.pl,0211,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lubaniu
dolnośląskie,US,Urząd Skarbowy w Lubinie ,59-300,Lubin,Marii Skłodowskiej-Curie,94,Lubin,(76) 746-11-00,(76) 847-84-70,us.lubin@mf.gov.pl,0212,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lubinie
dolnośląskie,US,Urząd Skarbowy w Lwówku Śląskim,59-600,Lwówek Śląski,Budowlanych ,1,Lwówek Śląski,(75) 782-03-00,(75) 782-02-99,us.lwowek_slaski@mf.gov.pl,0213,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lwowku-slaskim
dolnośląskie,US,Urząd Skarbowy w Miliczu,56-300,Milicz,Składowa ,2,Milicz,(71) 380-51-00,(71) 380-51-10,us.milicz@mf.gov.pl,0214,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-miliczu
dolnośląskie,US,Urząd Skarbowy w  Nowej Rudzie,57-400,Nowa Ruda,Kolejowa ,23,Nowa Ruda,(74) 872-02-00,(74) 872-25-06,us.nowa_ruda@mf.gov.pl,0215,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-nowej-rudzie
dolnośląskie,US,Urząd Skarbowy w Oleśnicy,56-400,Oleśnica,Lwowska,34-38,Oleśnica,(71) 314-90-05,(71) 314-97-73,us.olesnica@mf.gov.pl,0216,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-olesnicy
dolnośląskie,US,Urząd Skarbowy w Oławie ,55-200,Oława,Lwowska ,1,Oława,(71) 303-94 -39,(71) 313-47-90,us.olawa@mf.gov.pl,0217,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-olawie
dolnośląskie,US,Urząd Skarbowy w Strzelinie,57-100,Strzelin,Bolka I Świdnickiego ,14,Strzelin,(71) 392-72-86,(71) 392-72-88,us.strzelin@mf.gov.pl,0218,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-strzelinie
dolnośląskie,US,Urząd Skarbowy w Środzie Śląskiej,55-300,Środa Śląska,Oławska  ,5A,Środa Śląska,(71) 757-25-00,(71) 757-25-04,us.sroda_slaska@mf.gov.pl,0219,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-srodzie-slaskiej
dolnośląskie,US,Urząd Skarbowy w Świdnicy,58-100,Świdnica,Marii Skłodowskiej-Curie,1-3,Świdnica,(74) 856-14-00,(74) 856-14-90,us.swidnica@mf.gov.pl,0220,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-swidnicy
dolnośląskie,US,Urząd Skarbowy w Trzebnicy,55-100,Trzebnica,Prusicka ,2,Trzebnica,(71) 388-72-00,(71) 387-10-35,us.trzebnica@mf.gov.pl,0221,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-trzebnicy
dolnośląskie,US,Urząd Skarbowy w  Wałbrzychu,58-306,Wałbrzych,Uczniowska ,21,Wałbrzych,(74) 664-33-00,(74) 841-13-01,us.walbrzych@mf.gov.pl,0222,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-walbrzychu
dolnośląskie,US,Urząd Skarbowy w Wołowie,56-100,Wołów,Tadeusza Kościuszki ,17,Wołów,(71)757-25-60,(71) 757-25-99,us.wolow@mf.gov.pl,0223,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-wolowie
dolnośląskie,US,Urząd Skarbowy Wrocław - Fabryczna,53-238,Wrocław ,Aleksandra Ostrowskiego,5,Wrocław ,(71) 797-73-00,(71) 797-56-03,us.wroclaw.fabryczna@mf.gov.pl,0224,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-fabryczna
dolnośląskie,US,Urząd Skarbowy Wrocław - Krzyki,53-310,Wrocław,Sztabowa ,100,Wrocław,(71) 79 85 201,(71) 373-22-17,us.wroclaw.krzyki@mf.gov.pl ,0225,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-krzyki
dolnośląskie,US,Urząd Skarbowy Wrocław - Psie Pole,50-231,Wrocław,Trzebnicka ,33,Wrocław,(71) 326-52-00,(71) 329-17-86,us.wroclaw.psie_pole@mf.gov.pl,0226,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-psie-pole
dolnośląskie,US,Urząd Skarbowy Wrocław - Stare Miasto,53-654,Wrocław,Inowrocławska ,4,Wrocław,(71) 786-67-00,(71) 786-67-50,us.wroclaw.stare_miasto@mf.gov.pl,0227,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-stare-miasto
dolnośląskie,US,Urząd Skarbowy Wrocław - Śródmieście,50-044,Wrocław,marsz. Józefa Piłsudskiego,27-29,Wrocław,(71) 371-41-70,(71) 344-55-56,us.wroclaw.srodmiescie@mf.gov.pl,0228,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-srodmiescie
dolnośląskie,US,Pierwszy Urząd Skarbowy we Wrocławiu ,50-515,Wrocław,Ks. Czesława Klimasa ,34,Wrocław,(71) 795-05-00,(71) 795-05-02,1.us.wroclaw@mf.gov.pl,0229,www.dolnoslaskie.kas.gov.pl/pierwszy-urzad-skarbowy-we-wroclawiu
dolnośląskie,US,Urząd Skarbowy w Ząbkowicach Śląskich,57-200,Ząbkowice Śląskie,Ludwika Waryńskiego ,2A,Ząbkowice Śląskie,(74) 815-13-82,(74) 815-52-94,us.zabkowice_slaskie@mf.gov.pl,0230,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zabkowicach-slaskich
dolnośląskie,US,Urząd Skarbowy w Zgorzelcu,59-900,Zgorzelec,Bohaterów II Armii Wojska Polskiego ,8B,Zgorzelec,(75) 649-48-00,(75) 649-48-90,us.zgorzelec@mf.gov.pl,0231,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zgorzelcu
dolnośląskie,US,Urząd Skarbowy w Złotoryi,59-500,Złotoryja,Rynek ,42,Złotoryja,(76) 878-35-09,(76) 878-32-28,us.zlotoryja@mf.gov.pl,0232,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zlotoryi
dolnośląskie,US,Urząd skarbowy w Górze,56-200,Góra,Poznańska ,4,Góra,(65) 544-18-71,(65) 544-18-76,us.gora@mf.gov.pl,0233,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-gorze
dolnośląskie,US,Urząd Skarbowy w Polkowicach,59-100,Polkowice,Zachodnia ,10,Polkowice,(76) 746-13-01,(76) 746-13-05,us.polkowice@mf.gov.pl,0234,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-polkowicach
dolnośląskie,WUS,Dolnośląski Urząd Skarbowy we Wrocławiu,51-130,Wrocław,Żmigrodzka,141,Wrocław,(71) 32-36- 800,(71) 32 36 805,dolnoslaski.us@mf.gov.pl,0271,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-skarbowy-we-wroclawiu
dolnośląskie,UCS,Dolnośląski Urząd Celno-Skarbowy we Wrocławiu,53-613,Wrocław,Stacyjna,10,Wrocław,71 355 75 00,71 355 33 06,wroclaw.ucs@mf.gov.pl ,458000,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,DUCS,Delegatura UCS we Wrocławiu,54-530,Wrocław,Cichociemnych,11,Wrocław,71 355 75 00,71 355 33 06,UCS.451000@mf.gov.pl,451000,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,OC,Oddział Celny I we Wrocławiu,52-437,Wrocław,Karmelkowa,31,Wrocław,71 798 61 60,71 798 61 69,OC451010@mf.gov.pl,451010,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,OC,Oddział Celny Towarowy Port Lotniczy Wrocław-Strachowice,54-530,Wrocław,Zarembowicza,40,Wrocław,71 725 41 40,71 373 68 58,OC451030@mf.gov.pl,451030,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,OC,Oddział Celny Osobowy Port Lotniczy Wrocław-Strachowice,54-530,Wrocław,Graniczna,190,Wrocław,71 725 50 22,71 725 34 34,OC451040@mf.gov.pl,451040,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,DUCS,Delegatura UCS w Legnicy,59-220,Legnica,Pątnowska,50,Legnica,76 723 41 00,76 862 83 37,UCS.452000@mf.gov.pl ,452000,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,OC,Oddział Celny w Legnicy,59-220,Legnica,Pątnowska,50,Legnica,76 723 41 20; 76 723 41 21,76 862 83 37,UCS.452000@mf.gov.pl ,452010,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,OC,Oddział Celny w Polkowicach,59-101,Polkowice,Krzywa,3,Polkowice,76 724 96 58,76 724 96 39,OC452020@mf.gov.pl ,452020,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,OC,Oddział Celny w Żarskiej Wsi,59-903,Żarska Wieś,,5,Zgorzelec,"75 771 34 09, 75 775 58 93, 75 775 14 37",75 775 58 93,OC452030@mf.gov.pl,452030,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,DUCS,Delegatura UCS w Wałbrzychu,58-306,Wałbrzych,Ogrodowa,15,Wałbrzych,74 846 86 61,74 846 62 06,UCS.454000@mf.gov.pl ,454000,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
dolnośląskie,OC,Oddział Celny w Wałbrzychu,58-304,Wałbrzych,Ludowa,63,Wałbrzych,74 648 84 60; 74 648 84 45,"74 648 84 50,",OC454010@mf.gov.pl,454010,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
kujawsko-pomorskie,IAS,Izba Administracji Skarbowej w Bydgoszczy,85-950,Bydgoszcz,Dr. Emila Warmińskiego ,18,Bydgoszcz,(52) 585-61-00,(52) 585-61-14,ias.bydgoszcz@mf.gov.pl,0401,www.kujawsko-pomorskie.kas.gov.pl
kujawsko-pomorskie,US,Urząd Skarbowy w Aleksandrowie Kujawskim ,87-700,Aleksandrów Kujawski ,Kościelna ,18,Aleksandrów Kujawski ,(54) 252-33-00,(54) 252-33-21,us.aleksandrow-kujawski@mf.gov.pl,0402,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-aleksandrowie-kujawskim
kujawsko-pomorskie,US,Urząd Skarbowy w Brodnicy,87-300,Brodnica,Gen. Władysława Sikorskiego ,19,Brodnica,(56) 495-47-11,(56) 495-47-29,us.brodnica@mf.gov.pl,0403,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-brodnicy
kujawsko-pomorskie,US,Pierwszy Urząd Skarbowy w Bydgoszczy,85-950,Bydgoszcz,Fordońska ,77,Bydgoszcz,(52) 561-70-00,(52) 561-78-64 ,1us.bydgoszcz@mf.gov.pl,0404,www.kujawsko-pomorskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-bydgoszczy
kujawsko-pomorskie,US,Drugi Urząd Skarbowy w Bydgoszczy,85-822,Bydgoszcz,Wojska Polskiego ,20B,Bydgoszcz,(52) 568 21 00,(52) 372-79-52 ,2us.bydgoszcz@mf.gov.pl,0405,www.kujawsko-pomorskie.kas.gov.pl/drugi-urzad-skarbowy-w-bydgoszczy
kujawsko-pomorskie,US,Trzeci Urząd Skarbowy w Bydgoszczy,85-032,Bydgoszcz,Tadeusza Rejtana ,5,Bydgoszcz,(52) 339-74-00,(52) 339-75-00,3us.bydgoszcz@mf.gov.pl,0406,www.kujawsko-pomorskie.kas.gov.pl/trzeci-urzad-skarbowy-w-bydgoszczy
kujawsko-pomorskie,US,Urząd Skarbowy w Chełmnie,86-200,Chełmno,Grudziądzka ,6,Chełmno,(56) 677-05-11,(56) 677-05-10,us.chelmno@mf.gov.pl,0407,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-chelmnie
kujawsko-pomorskie,US,Urząd Skarbowy w Grudziądzu,86-300,Grudziądz,Droga Łąkowa ,23,Grudziądz,(56) 643-33-30,(56) 643-33-35,us.grudziadz@mf.gov.pl,0408,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-grudziadzu
kujawsko-pomorskie,US,Urząd Skarbowy w Inowrocławiu,88-100,Inowrocław,al. Niepodległości ,5,Inowrocław,(52) 587-60-00,(52) 587-60-01,us.inowroclaw@mf.gov.pl,0409,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-inowroclawiu
kujawsko-pomorskie,US,Urząd Skarbowy w Lipnie,87-600,Lipno,Stanisława Staszica ,4,Lipno,(54) 414-83-00,(54) 414-83-39,us.lipno@mf.gov.pl,0410,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-lipnie
kujawsko-pomorskie,US,Urząd Skarbowy w Mogilnie,88-300,Mogilno,900-lecia ,20,Mogilno,"(52) 568-27-27, (52) 568-27-20",(52) 568-27-99,us.mogilno@mf.gov.pl,0411,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-mogilnie
kujawsko-pomorskie,US,Urząd Skarbowy w Nakle nad Notecią,89-100,Nakło nad Notecią,Sądowa ,8,Nakło nad Notecią,(52) 386-92-22; (52) 386-92-10; (52) 386-92-11 Nacz.,(52) 386-92-88,us.naklo@mf.gov.pl,0412,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-nakle-nad-notecia
kujawsko-pomorskie,US,Urząd Skarbowy w Radziejowie,88-200,Radziejów,Rolnicza ,6,Radziejów,(54) 414 84  00,(54) 414 84 61,us.radziejow@mf.gov.pl,0413,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-radziejowie
kujawsko-pomorskie,US,Urząd Skarbowy w Rypinie,87-500,Rypin,Dojazdowa ,10,Rypin,(54) 280 92 00; (54) 280 92 10,(54) 280-26-38,us.rypin@mf.gov.pl,0414,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-rypinie
kujawsko-pomorskie,US,Urząd Skarbowy w Świeciu ,86-100,Świecie,10 lutego,16,Świecie,(52) 552 21 00,(52) 552 21 18,us.swiecie@mf.gov.pl,0415,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-swieciu
kujawsko-pomorskie,US,Pierwszy Urząd Skarbowy w Toruniu,87-100,Toruń,Szosa Chełmińska ,34/36,Toruń,(056) 610-91-00,(56) 610-91-11,1us.torun@mf.gov.pl,0416,www.kujawsko-pomorskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-toruniu
kujawsko-pomorskie,US,Drugi Urząd Skarbowy w Toruniu,87-100,Toruń,Mazowiecka ,63,Toruń,(56) 664-77-00; Nacz: (56) 664-77-77 ,(56) 664-78-20,2us.torun@mf.gov.pl,0417,www.kujawsko-pomorskie.kas.gov.pl/drugi-urzad-skarbowy-w-toruniu
kujawsko-pomorskie,US,Urząd Skarbowy w Tucholi,89-500,Tuchola,Pl. Zamkowy,4,Tuchola,(52) 336-33-00,(52) 336-33-27,us.tuchola@mf.gov.pl,0418,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-tucholi
kujawsko-pomorskie,US,Urząd Skarbowy w Wąbrzeźnie,87-200,Wąbrzeźno,Macieja Rataja ,2,Wąbrzeźno,(56) 689 05 00; (56) 689 05 01,(56) 689 05 26,us.wabrzezno@mf.gov.pl,0419,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-wabrzeznie
kujawsko-pomorskie,US,Urząd Skarbowy we Włocławku,87-800,Włocławek,Stefana Okrzei ,72B,Włocławek,(54) 423-21-00,(54) 423-21-50,us.wloclawek@mf.gov.pl,0420,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-we-wloclawku
kujawsko-pomorskie,US,Urząd Skarbowy w Żninie,88-400 ,Żnin,Klemensa Janickiego ,18,Żnin,(52) 303-04-00,(52) 303-13-45,us.znin@mf.gov.pl,0421,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-zninie
kujawsko-pomorskie,US,Urząd Skarbowy w Golubiu-Dobrzyniu,87-400,Golub-Dobrzyń,Dr. Jerzego Gerarda Koppa ,1A,Golub-Dobrzyń,(56) 491-80-20,(56) 491-80-49,us.golub-dobrzyn@mf.gov.pl,0422,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-golubiu-dobrzyniu
kujawsko-pomorskie,US,Urząd Skarbowy w Sępólnie Krajeńskim,89-400,Sępólno Krajeńskie,Tadeusza Kościuszki ,22,Sępólno Krajeńskie,(52) 388-83-10,(52) 388-83-23,us.sepolno-krajenskie@mf.gov.pl,0423,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-sepolnie-krajenskim
kujawsko-pomorskie,WUS,Kujawsko-Pomorski Urząd Skarbowy w Bydgoszczy,85-236,Bydgoszcz,Grunwaldzka ,50,Bydgoszcz,(52) 583-84-00,(52) 583-84-06,us.kujawsko-pomorski@mf.gov.pl,0471,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-skarbowy-w-bydgoszczy
kujawsko-pomorskie,UCS,Kujawsko-Pomorski Urząd Celno-Skarbowy w Toruniu,87-100,Toruń,Batorego ,61,Toruń,"56 619 76 02,,56 619 76 00,,56 619 77 72                                        ",56 619 77 27                                                                    ,kujawsko-pomorski.ucs@mf.gov.pl,438000,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
kujawsko-pomorskie,DUCS,Delegatura UCS w Bydgoszczy,85-039,Bydgoszcz,Hetmańska ,28,Bydgoszcz,52 347 78 00                                                                    ,52 347 78 80                                                                    ,ucsd.431000@mf.gov.pl,431000,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
kujawsko-pomorskie,OC,Oddział Celny II w Bydgoszczy,85-152,Bydgoszcz,Daleka,9,Bydgoszcz,52 320 58 00                                                                    ,52 320 58 50                                                                    ,pl431020@mf.gv.pl,431020,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
kujawsko-pomorskie,OC,Oddział Celny w Inowrocławiu,88-100,Inowrocław,Aleja Niepodległości,5,Inowrocław,52 587 61 19                                                                    ,52 587 60 45                                                                    ,pl431030@mf.gov.pl,431030,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
kujawsko-pomorskie,DUCS,Delegatura UCS w Toruniu,87-100,Toruń,Batorego ,61,Toruń,(56) 619 76 02,(56) 619 77 27,ucsd.432000@mf.gov.pl,432000,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
kujawsko-pomorskie,OC,Oddział Celny w Toruniu,87-100,Toruń,Batorego ,61,Toruń,"56 619 76 03, ,56 619 76 04                                                      ",56 619 77 30                                                                    ,pl432010@mf.gov.pl,432010,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
kujawsko-pomorskie,OC,Oddział Celny we Włocławku,87-800,Włocławek,Okrzei ,72B,Włocławek,(54) 42 32 240; (54) 42 32 236; (54) 42 32 227,(54) 42 32 150,pl432030@mf.gov.pl,432030,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
kujawsko-pomorskie,OC,Oddział Celny w Grudziądzu,86-302,"Biały Bór, Grudziądz 4",-,-,Grudziądz,"56 450 77 00, ,56 450 77 02                                                      ",56 450 77 30                                                                    ,pl432040@mf.gov.pl,432040,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
kujawsko-pomorskie,OC,Oddział Celny Port Lotniczy w Bydgoszczy,86-005,Białe Błota,Paderewskiego ,1,Białe Błota,(52) 365 48 55,-,PL431040@mf.gov.pl,431040,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
kujawsko-pomorskie,KIS,Delegatura Krajowej Informacji Skarbowej w Toruniu,87-100,Toruń,Św. Jakuba,20,Toruń,(56) 669-57-00,-,kis.torun@mf.gov.pl,0115,www.kis.gov.pl
lubelskie,IAS,Izba Administracji Skarbowej w Lublinie,20-883   ,Lublin           ,Tadeusza Szeligowskiego ,24,Lublin           ,(81) 452-23- 00 ,(81) 452-23-06,sekretariat.ias.lublin@mf.gov.pl,0601,www.lubelskie.kas.gov.pl
