X,Y,Name,adres,kod,miasto,telefon,email
22.9921467,53.8430234,Zarząd Zlewni w Augustowie,ul. 29 listopada 5 ,16-300,Augustów,+48 (87) 643 28 07,zz-augustow@wody.gov.pl
23.119253,53.1175059,Zarząd Zlewni w Białymstoku,ul. Handlowa 6 ,15-399,Białystok,+48 (85) 748 12 00,zz-bialystok@wody.gov.pl
21.7642157,54.0347491,Zarząd Zlewni w Giżycku,ul. Wodna 4 ,11-500,Giżycko,+48 (87) 428 39 92,zz-gizycko@wody.gov.pl
20.4811136,53.7818147,Zarząd Zlewni w Olsztynie,ul. Partyzantów 1/2 ,10-526,Olsztyn,+48 (89) 521 71 00,zz-olsztyn@wody.gov.pl
21.5701952,53.0752243,Zarząd Zlewni w Ostrołęce,ul. Poznańska 19 ,07-409,Ostrołęka,+48 (29) 760 32 26,zz-ostroleka@wody.gov.pl
22.9942494,53.8452007,Nadzór Wodny w Augustowie,ul. Portowa 12 ,16-300,Augustów,87 643 28 96,nw-augustow@wody.gov.pl
22.3414351,53.8325714,Nadzór Wodny w Ełku,ul. Kajki 10 ,19-300,Ełk,87 610 03 07,nw-elk@wody.gov.pl
22.455845,53.6487973,Nadzór Wodny w Grajewie,ul. Ełcka 7 ,19-200,Grajewo,86 272 26 49,nw-grajewo@wody.gov.pl
22.4965043,54.0387372,Nadzór Wodny w Olecku,ul. Wojska Polskiego 5 ,19-400,Olecko,87 523 30 11,nw-olecko@wody.gov.pl
22.9351968,54.086069,Nadzór Wodny w Suwałkach,ul. Sportowa 22 ,16-400,Suwałki,87 566 32 21,nw-suwalki@wody.gov.pl
23.1163378,53.1168692,Nadzór Wodny w Białymstoku,ul. Handlowa6 ,15-399,Białystok,85 748 12 05,nw-bialystok@wody.gov.pl
23.191203,52.774682,Nadzór Wodny w Bielsku Podlaskim,ul. Żwirki i Wigury 15 ,17-100,Bielsk Podlaski,85 655 05 93,nw-bielskpodlaski@wody.gov.pl
22.8806851,52.991749,Nadzór Wodny w Łapach,ul. Armii Krajowej 1 ,18-100,Łapy,85 733 03 51,nw-lapy@wody.gov.pl
