__lat,__lon,name,addr:postcode,phone,email,short_name
53.8430234,22.9921467,Zarząd Zlewni w Augustowie,16-300,+48 87 643 28 07,zz-augustow@wody.gov.pl,
53.1175059,23.119253,Zarząd Zlewni w Białymstoku,15-399,+48 85 748 12 00,zz-bialystok@wody.gov.pl,
54.0347491,21.7642157,Zarząd Zlewni w Giżycku,11-500,+48 87 428 39 92,zz-gizycko@wody.gov.pl,
53.7818147,20.4811136,Zarząd Zlewni w Olsztynie,10-526,+48 89 521 71 00,zz-olsztyn@wody.gov.pl,
53.0752243,21.5701952,Zarząd Zlewni w Ostrołęce,07-409,+48 29 760 32 26,zz-ostroleka@wody.gov.pl,
53.8452007,22.9942494,Nadzór Wodny w Augustowie,16-300,+48 87 643 28 96,nw-augustow@wody.gov.pl,
53.8325714,22.3414351,Nadzór Wodny w Ełku,19-300,+48 87 610 03 07,nw-elk@wody.gov.pl,
53.6487973,22.455845,Nadzór Wodny w Grajewie,19-200,+48 86 272 26 49,nw-grajewo@wody.gov.pl,
54.0387372,22.4965043,Nadzór Wodny w Olecku,19-400,+48 87 523 30 11,nw-olecko@wody.gov.pl,
54.086069,22.9351968,Nadzór Wodny w Suwałkach,16-400,+48 87 566 32 21,nw-suwalki@wody.gov.pl,
53.1168692,23.1163378,Nadzór Wodny w Białymstoku,15-399,+48 85 748 12 05,nw-bialystok@wody.gov.pl,
52.774682,23.191203,Nadzór Wodny w Bielsku Podlaskim,17-100,+48 85 655 05 93,nw-bielskpodlaski@wody.gov.pl,
52.991749,22.8806851,Nadzór Wodny w Łapach,18-100,+48 85 733 03 51,nw-lapy@wody.gov.pl,
53.4028797,22.8073969,Nadzór Wodny w Mońkach,19-100,+48 85 733 03 52,nw-monki@wody.gov.pl,
53.4028409,23.517094,Nadzór Wodny w Sokółce,16-100,+48 85 711 29 45,nw-sokolka@wody.gov.pl,
54.0346672,21.7642586,Nadzór Wodny w Giżycku,11-500,+48 87 444 06 30,nw-gizycko@wody.gov.pl,
54.3094091,22.3013872,Nadzór Wodny w Gołdapi,19-500,+48 87 615 10 46,nw-goldap@wody.gov.pl,
53.409238,21.9286514,Nadzór Wodny w Kolnie,18-500,+48 86 444 23 01,nw-kolno@wody.gov.pl,
53.8013588,21.5666234,Nadzór Wodny w Mikołajkach,11-730,+48 87 444 06 32,nw-mikolajki@wody.gov.pl,
53.6241275,21.8138977,Nadzór Wodny w Piszu,12-200,+48 87 423 31 92,nw-pisz@wody.gov.pl,
54.2118401,21.7397036,Nadzór Wodny w Węgorzewie,11-600,+48 87 444 06 31,nw-wegorzewo@wody.gov.pl,
54.2508736,20.8153653,Nadzór Wodny w Bartoszycach,11-200,+48 89 762 24 63,nw-bartoszyce@wody.gov.pl,
54.0780068,21.3729557,Nadzór Wodny w Kętrzynie,11-400,+48 89 650 05 30,nw-ketrzyn@wody.gov.pl,
54.1255347,20.588659,Nadzór Wodny w Lidzbarku Warmińskim,11-100,+48 89 650 05 31,nw-lidzbarkwarminski@wody.gov.pl,
53.8804593,21.2977566,Nadzór Wodny w Mrągowie,11-700,+48 89 741 36 12,nw-mragowo@wody.gov.pl,
53.7818313,20.481544,Nadzór Wodny w Olsztynie,10-526,+48 89 521 71 15,nw-olsztyn@wody.gov.pl,
53.1680051,22.0542191,Nadzór Wodny w Łomży,18-400,+48 86 218 54 81,nw-lomza@wody.gov.pl,
53.0825186,21.5640936,Nadzór Wodny w Ostrołęce,07-400,+48 29 764 20 96,nw-ostroleka@wody.gov.pl,
53.5542769,20.9827298,Nadzór Wodny w Szczytnie,12-100,+48 89 624 30 92,nw-szczytno@wody.gov.pl,
52.9870235,22.2428448,Nadzór Wodny w Zambrowie,18-300,+48 86 444 23 00,nw-zambrow@wody.gov.pl,
53.1279188,18.1276627,Nadzór Wodny w Bydgoszczy,85-776,+48 52 365 21 90,nw-gd-bydgoszcz@wody.gov.pl,
53.1440787,23.185635,Regionalny Zarząd Gospodarki Wodnej w Białymstoku,15-143,+48 85 733 03 20,bialystok@wody.gov.pl,RZGW w Białymstoku
53.1312722,18.0129887,Regionalny Zarząd Gospodarki Wodnej w Bydgoszczy,85-071,+48 52 339 11 00,bydgoszcz@wody.gov.pl,RZGW w Bydgoszczy
52.7963722,18.2583507,Zarząd Zlewni w Inowrocławiu,88-100,+48 52 356 57 50,zz-inowroclaw@wody.gov.pl,
53.1303509,16.7582381,Zarząd Zlewni w Pile,64-920,+48 67 212 32 44,zz-pila@wody.gov.pl,
53.1272461,17.9970451,Nadzór Wodny w Bydgoszczy,85-066,+48 60 677 41 25,nw-bydgoszcz@wody.gov.pl,
53.0280135,16.8830236,Nadzór Wodny w Chodzieży,64-800,+48 67 348 66 60,nw-chodziez@wody.gov.pl,
52.7990291,18.2609034,Nadzór Wodny w Inowrocławiu,88-100,+48 52 357 40 66,nw-inowroclaw@wody.gov.pl,
52.66162,17.9516012,Nadzór Wodny w Mogilnie,88-300,,nw-mogilno@wody.gov.pl,
53.1332338,17.5996129,Nadzór Wodny w Nakle nad Notecią,89-100,+48 52 385 22 86,nw-naklonadnotecia@wody.gov.pl,
52.6245767,18.5267105,Nadzór Wodny w Radziejowie,88-200,+48 54 230 35 76,nw-radziejow@wody.gov.pl,
53.3563018,17.4869623,Nadzór Wodny w Więcborku,89-410,+48 52 389 70 40,nw-wiecbork@wody.gov.pl,
52.8460255,17.7229213,Nadzór Wodny w Żninie,88-400,+48 60 449 23 40,nw-znin@wody.gov.pl,
53.5302471,15.7986364,Nadzór Wodny w Drawsku Pomorskim,78-500,+48 94 363 07 53,nw-drawskopomorskie@wody.gov.pl,
52.8527034,15.8437363,Nadzór Wodny w Drezdenku,66-530,+48 95 762 01 55,nw-drezdenko@wody.gov.pl,
53.1304089,16.7587852,Nadzór Wodny w Pile,64-920,+48 60 677 41 22,nw-pila@wody.gov.pl,
52.8731288,15.5226229,Nadzór Wodny w Strzelcach Krajeńskich,66-500,+48 95 763 22 59,nw-strzelcekrajenskie@wody.gov.pl,
53.7068936,16.6930979,Nadzór Wodny w Szczecinku,78-400,+48 94 374 09 71,nw-szczecinek@wody.gov.pl,
53.039447,16.4510555,Nadzór Wodny w Trzciance,64-980,+48 67 210 19 32,nw-trzcianka@wody.gov.pl,
53.1946943,16.1564144,Nadzór Wodny w Tucznie,78-640,+48 67 250 81 84,nw-tuczno@wody.gov.pl,
52.896735,16.1698751,Nadzór Wodny w Wieleniu,64-730,+48 88 206 29 04,nw-wielen@wody.gov.pl,
53.3541807,17.0509252,Nadzór Wodny w Złotowie,77-400,+48 67 263 27 48,nw-zlotow@wody.gov.pl,
51.1110965,17.0631103,Regionalny Zarząd Gospodarki Wodnej we Wrocławiu,50-950,+48 71 337 88 00,,RZGW we Wrocławiu
51.2017229,16.1512816,Zarząd Zlewni w Legnicy,59-220,+48 76 862 70 08,zz-legnica@wody.gov.pl,
51.8341238,16.5740555,Zarząd Zlewni w Lesznie,64-100,+48 65 547 61 30,zz-leszno@wody.gov.pl,
51.1057844,15.5939049,Zarząd Zlewni w Lwówku Śląskim,59-600,+48 75 782 46 02,zz-lwowekslaski@wody.gov.pl,
50.4788114,17.3357552,Zarząd Zlewni w Nysie,48-300,+48 77 431 51 72,zz-nysa@wody.gov.pl,
51.1071202,17.0653579,Zarząd Zlewni we Wrocławiu,50-370,+48 71 757 20 64,zz-wroclaw@wody.gov.pl,
51.1585657,15.0143936,Zarząd Zlewni w Zgorzelcu,59-900,+48 65 547 61 70,zz-zgorzelec@wody.gov.pl,
50.7273418,16.6532629,Nadzór Wodny w Dzierżoniowie,58-200,+48 74 810 39 41,nw-dzierzoniow@wody.gov.pl,
51.0568815,16.1999781,Nadzór Wodny w Jaworze,59-400,+48 76 818 00 68,nw-jawor@wody.gov.pl,
51.2016355,16.151067,Nadzór Wodny w Legnicy,59-220,+48 76 862 44 60,nw-legnica@wody.gov.pl,
50.8350368,16.5088578,Nadzór Wodny w Świdnicy,58-100,+48 74 852 30 58,nw-swidnica@wody.gov.pl,
50.7678259,16.2802675,Nadzór Wodny w Wałbrzychu,58-300,+48 74 842 12 77,nw-walbrzych@wody.gov.pl,
51.1247437,15.9150633,Nadzór Wodny w Złotoryi,59-500,+48 76 818 00 67,nw-zlotoryja@wody.gov.pl,
51.6637398,16.5368869,Nadzór Wodny w Górze,56-200,+48 60 552 22 44,nw-gora@wody.gov.pl,
51.6954301,17.4361952,Nadzór Wodny w Krotoszynie,63-700,+48 69 123 45 09,nw-krotoszyn@wody.gov.pl,
51.7975914,16.6552957,Nadzór Wodny w Lesznie,64-130,+48 69 123 22 14,nw-leszno@wody.gov.pl,
51.5292383,17.2746034,Nadzór Wodny w Miliczu,56-300,+48 65 547 61 37,nw-milicz@wody.gov.pl,
51.4277863,17.9284179,Nadzór Wodny w Ostrzeszowie,63-500,+48 65 547 61 48,nw-ostrzeszow@wody.gov.pl,
51.6123231,16.8667636,Nadzór Wodny w Rawiczu,63-900,+48 60 552 22 44,nw-rawicz@wody.gov.pl,
51.3148279,17.0669889,Nadzór Wodny w Trzebnicy,55-100,+48 71 312 04 01,nw-trzebnica@wody.gov.pl,
51.2620234,15.5702473,Nadzór Wodny w Bolesławcu,59-700,+48 60 397 47 98,nw-boleslawiec@wody.gov.pl,
50.8231474,15.6921502,Nadzór Wodny w Jeleniej Górze,58-562,+48 75 752 85 60,nw-jeleniagora@wody.gov.pl,
50.7818378,16.0282908,Nadzór Wodny w Kamiennej Górze,58-400,+48 60 324 83 93,nw-kamiennagora@wody.gov.pl,
51.1227768,15.3024563,Nadzór Wodny w Lubaniu,59-800,+48 50 972 51 42,nw-luban@wody.gov.pl,
51.1055756,15.5940444,Nadzór Wodny w Lwówku Śląski,59-600,+48 75 782 46 02,NadzorWodny.LwowekSlaski@wody.gov.pl,
51.5025459,16.0677178,Nadzór Wodny w Polkowicach,59-100,+48 60 542 11 70,nw-polkowice@wody.gov.pl,
51.5658611,15.5386457,Nadzór Wodny w Szprotawie,67-300,+48 68 352 47 20,nw-szprotawa@wody.gov.pl,
51.6123669,15.3213233,Nadzór Wodny w Żaganiu,68-100,+48 68 478 55 58,nw-zagan@wody.gov.pl,
50.4694299,17.2986349,Nadzór Wodny w Otmuchowie,48-304,+48 77 551 66 00,nw-otmuchow@wody.gov.pl,
50.4364481,16.648207,Nadzór Wodny w Kłodzku,57-300,+48 74 867 44 94,nw-klodzko@wody.gov.pl,
50.5888504,16.8111702,Nadzór Wodny w Ząbkowicach Śląskich,57-200,+48 74 810 39 49,nw-zabkowiceslaskie@wody.gov.pl,
50.855067,17.4719505,Nadzór Wodny w Brzegu,49-300,+48 77 402 63 41,nw-brzeg@wody.gov.pl,
51.6676781,16.0835755,Nadzór Wodny w Głogowie,67-200,+48 76 831 31 57,nw-glogow@wody.gov.pl,
51.4015368,16.2100246,Nadzór Wodny w Lubinie,59-300,+48 76 840 31 66,nw-lubin@wody.gov.pl,
51.0739326,17.7208313,Nadzór Wodny w Namysłowie,46-100,+48 77 402 63 85,nw-namyslow@wody.gov.pl,
51.2038362,17.3714017,Nadzór Wodny w Oleśnicy,56-400,+48 71 314 39 14,nw-olesnica@wody.gov.pl,
50.9456185,17.2961999,Nadzór Wodny w Oławie,55-200,+48 53 203 28 88,nw-olawa@wody.gov.pl,
50.7797592,17.0600074,Nadzór Wodny w Strzelinie,57-100,+48 71 392 07 16,nw-strzelin@wody.gov.pl,
51.1630014,16.6070581,Nadzór Wodny w Środzie Śląskiej,55-300,+48 71 317 34 62,nw-srodaslaska@wody.gov.pl,
51.3390474,16.6254031,Nadzór Wodny w Wołowie,56-100,+48 71 389 13 88,nw-wolow@wody.gov.pl,
51.1015103,17.1234238,Nadzór Wodny we Wrocławiu,51-640,+48 71 347 76 38,nw-wroclaw@wody.gov.pl,
51.7851668,14.9722451,Nadzór Wodny w Lubsku,68-300,+48 68 457 21 91,nw-lubsko@wody.gov.pl,
51.14565,15.0114609,Nadzór Wodny w Zgorzelcu,59-900,+48 75 775 20 18,nw-zgorzelec@wody.gov.pl,
52.0472503,15.0988381,Nadzór Wodny w Krosno Odrzańskie,66-600,+48 68 383 52 58,nw-krosnoodrzanskie@wody.gov.pl,
51.8025643,15.7184542,Nadzór Wodny w Nowej Soli,67-100,+48 68 352 41 55,nw-nowasol@wody.gov.pl,
51.8860711,16.0683882,Nadzór Wodny w Sławie,67-410,+48 68 352 46 14,nw-slawa@wody.gov.pl,
52.3443158,14.5836522,Nadzór Wodny w Słubicach,69-100,+48 95 758 27 22,nw-slubice@wody.gov.pl,
52.0872395,15.6109893,Nadzór Wodny w Sulechowie,66-100,+48 68 320 18 36,nw-sulechow@wody.gov.pl,
51.8071695,16.3245706,Nadzór Wodny we Wschowie,67-400,+48 65 511 45 15,nw-wschowa@wody.gov.pl,
51.9292205,15.4966051,Nadzór Wodny w Zielonej Górze,65-514,+48 68 453 72 22,nw-zielonagora@wody.gov.pl,
51.9293578,15.4968344,Zarząd Zlewni w Zielonej Górze,65-514,+48 68 452 76 00,zz-zielonagora@wody.gov.pl,
