amenity,capacity,email,name,official_name,opening_hours,operator,operator:type,operator:website,phone,website,wheelchair
kindergarten,42,boguslawadar@interia.pl,Niepubliczny Żłobek Integracyjny  Wesołe Krasnoludki,"Niepubliczny Żłobek Integracyjny "" Wesołe Krasnoludki""",Mo-Fr 6:30-17:30,Re Bud Firma Usługowa Bogusława Darowska,private,http://skrzatek.eu/,+48 602 280 814,https://www.skrzatek.eu,yes
kindergarten,25,MAGDALENA_HARWAS@WP.PL,Nursing care magdalena harwas,NURSING CARE MAGDALENA HARWAS,Mo-Sa 6:30-17:00,Magdalena Harwas,,,+48 608 163 976,https://WWW.NURSINGCARE.PL,yes
childcare,30,dyrektor.klubmalucha@deszczno.pl,Zespół Klubów Dziecięcych Bajkowa Przystań - Klub Dziecięcy Bajkowa Przystań 1,"Zespół Klubów Dziecięcych ""Bajkowa Przystań"" - Klub Dziecięcy ""Bajkowa Przystań 1""",Mo-Fr 6:30-16:30,Gmina Deszczno,public,www.deszczno.pl,+48 957 287 672,https://przedszkolewdeszcznie.edupage.org/,yes
kindergarten,60,biuro@maluszkowo.com.pl,Żłobek MALUSZKOWO,"Żłobek ""MALUSZKOWO""",Mo-Fr 06:30-17:30,W2 Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa,,www.maluszkowo.com.pl,+48 533 324 705,https://www.maluszkowo.com.pl,yes
kindergarten,20,przedszkolekolorowe@gmail.com,Niepubliczny Żłobek Kwiatuszki w Siemianicach,"Niepubliczny Żłobek ""Kwiatuszki"" w Siemianicach",,Niepubliczny Żłobek Kwiatuszki/Małgorzata Jażdzewska,private,www.kwiatuszkizlobek.pl,+48 603 111 574,https://,no
childcare,22,piaskowysmok@wp.pl,Niepubliczny Klub Dziecięcy Piaskowy Smok,"Niepubliczny Klub Dziecięcy ""Piaskowy Smok""",Mo-Fr 6:30-16:30,Julia Sochacka,private,,+48 534 707 608,https://,no
childcare,15,bajkowy.dworek@o2.pl,Akademia Rozwoju Dziecka Bajkowy Dworek,"Akademia Rozwoju Dziecka ""Bajkowy Dworek""",Mo-Fr 07:00-17:00,Katarzyna Żarnowska,,,+48 695 040 631,https://www.facebook.com/bajkowydworek.k.zarnowska/,no
kindergarten,30,zlobek.smyki.alwernia@gmail.com,Niepubliczny Żłobek Smyki w Alwerni,Niepubliczny Żłobek Smyki w Alwerni,Mo-Fr 6:30-16:30,Niepubliczny Żłobek Smyki Monika Bakalarz,private,www.smyki-zlobek.pl,+48 510 694 781,https://www.smyki-zlobek.pl,no
kindergarten,43,maciej_jakubek@wp.pl,Żłobek Rainbow,Żłobek Rainbow,Mo-Fr 6:30-17:00,Maciej Jakubek EKOMA,,,+48 509 442 333,https://,no
kindergarten,15,bosestopki.warszawa@gmail.com,Żłobek Artystyczny - Bose Stópki S.C. Aneta Abram Justyna Klityńska,"Żłobek Artystyczny - ""Bose Stópki"" S.C. Aneta Abram Justyna Klityńska",Mo-Fr 7:00-17:30,"Bose stópki - żłobek artystyczny spółka cywilna aneta abram, justyna klityńska",private,,+48 698 715 748,https://,no
kindergarten,15,wiosnawsercu@gmil.com,Niepubliczny Żłobek Tygrysek,"Niepubliczny Żłobek ""Tygrysek""",Mo-Sa 07:00-16:00,Fundacja Wiosna w Sercu,private,www.wiosnawsercu.pl,,https://www.wiosnawsercu.pl,no
kindergarten,78,re-re-kum-kum@wp.pl,Żłobek Re-Re-Kum-Kum,Żłobek Re-Re-Kum-Kum,Mo-Fr 6:00-17:00,Klub Malucha Re-Re-Kum-Kum s.c.,,www.re-re-kum-kum.pl,+48 510 094 775,https://www.re-re-kum-kum.pl,yes
childcare,15,kochaneurwisy@op.pl,Kochane Urwisy,Kochane Urwisy,Mo-Fr 07:30-17:30,Łukasz Błaszczykowski,,www.kochaneurwisy.pl,+48 607 866 401,https://www.kochaneurwisy.pl,yes
kindergarten,100,zlobek_nr2@wp.pl,Żłobek Miejski nr 2,Żłobek Miejski nr 2,Mo-Fr 6:00-16:30,Gmina Miasto Świdnica,public,www.um.swidnica.pl,+48 746 379 082,http://www.zlobek2.swidnica.pl,yes
kindergarten,45,zlobek@gluszyca.pl,Żłobek Gminny w Głuszycy,Żłobek Gminny w Głuszycy,Mo-Fr 06:00-16:00,Gmina Głuszyca,public,,+48 605 616 005,https://www.zlobekgluszyca.pl,no
