official_name,short_name,addr:postcode,addr:city,addr:street,addr:housenumber,opening_hours,operator,__id
Zakład Ubezpieczeń Społecznych - Oddział w Białymstoku,Oddział ZUS w Białymstoku,15-404,Białystok,Młynowa,29,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-61663625
Zakład Ubezpieczeń Społecznych - Inspektorat w Augustowie,Inspektorat ZUS w Augustowie,16-300,Augustów,Hoża,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-78615749
Zakład Ubezpieczeń Społecznych - Inspektorat w Bielsku Podlaskim,Inspektorat ZUS w Bielsku Podlaskim,17-100,Bielsk Podlaski,Widowska,10A,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-1005322093
Zakład Ubezpieczeń Społecznych - Inspektorat w Hajnówce,Inspektorat ZUS w Hajnówce,17-200,Hajnówka,Armii Krajowej,16,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-40903725
Zakład Ubezpieczeń Społecznych - Inspektorat w Łomży,Inspektorat ZUS w Łomży,18-400,Łomża,Szosa Zambrowska,29,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-701536760
Zakład Ubezpieczeń Społecznych - Inspektorat w Siemiatyczach,Inspektorat ZUS w Siemiatyczach,17-300,Siemiatycze,Ogrodowa,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-265105848
Zakład Ubezpieczeń Społecznych - Inspektorat w Sokółce,Inspektorat ZUS w Sokółce,16-100,Sokółka,Gen. Wł. Sikorskiego,38c,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-777833995
Zakład Ubezpieczeń Społecznych - Inspektorat w Suwałkach,Inspektorat ZUS w Suwałkach,16-400,Suwałki,1 Maja,33,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-87557685
Zakład Ubezpieczeń Społecznych - Inspektorat w Wysokiem Mazowieckiem,Inspektorat ZUS w Wysokiem Mazowieckiem,18-200,Wysokie Mazowieckie,Mystkowska,43,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-959219700
Zakład Ubezpieczeń Społecznych - Inspektorat w Zambrowie,Inspektorat ZUS w Zambrowie,18-300,Zambrów,Fabryczna,3a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-1036005885
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Kolnie,Biuro Terenowe ZUS w Kolnie,18-500,Kolno,Wojska Polskiego,67,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Białymstoku,-504662776
Zakład Ubezpieczeń Społecznych - Oddział w Bielsku-Białej,Oddział ZUS w Bielsku-Białej,43-350,Bielsko-Biała,Krasińskiego,34-36,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-581643812
Zakład Ubezpieczeń Społecznych - Inspektorat w Cieszynie,Inspektorat ZUS w Cieszynie,43-400,Cieszyn,Bielska,29,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Bielsku-Białej,-66284936
Zakład Ubezpieczeń Społecznych - Inspektorat w Żywcu,Inspektorat ZUS w Żywcu,34-300,Żywiec,Piernikarska,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Bielsku-Białej,-426411743
Zakład Ubezpieczeń Społecznych - Oddział w Biłgoraju,Oddział ZUS w Biłgoraju,23-400,Biłgoraj,Kościuszki,103,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-616710693
Zakład Ubezpieczeń Społecznych - Inspektorat w Chełmie,Inspektorat ZUS w Chełmie,22-100,Chełm,Aleja Żołnierzy I Armii Wojska Polskiego,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Biłgoraju,-463002713
Zakład Ubezpieczeń Społecznych - Inspektorat w Hrubieszowie,Inspektorat ZUS w Hrubieszowie,22-500,Hrubieszów,3-go Maja,8a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Biłgoraju,-335848080
Zakład Ubezpieczeń Społecznych - Inspektorat w Tomaszowie Lubelskim,Inspektorat ZUS w Tomaszowie Lubelskim,22-600,Tomaszów Lubelski,Jana Pawła II,6,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Biłgoraju,-454825970
Zakład Ubezpieczeń Społecznych - Inspektorat w Zamościu,Inspektorat ZUS w Zamościu,22-400,Zamość,Kiepury,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Biłgoraju,-252811055
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Janowie Lubelskim,Biuro Terenowe ZUS w Janowie Lubelskim,23-300,Janów Lubelski,Zamoyskiego,52,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Biłgoraju,-786692133
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Krasnymstawie,Biuro Terenowe ZUS w Krasnymstawie,22-300,Krasnystaw,PCK,13,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Biłgoraju,-447411773
Zakład Ubezpieczeń Społecznych - Biuro Terenowe we Włodawie,Biuro Terenowe ZUS we Włodawie,22-200,Włodawa,Reymonta,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Biłgoraju,-275127032
Zakład Ubezpieczeń Społecznych - Oddział w Bydgoszczy,Oddział ZUS w Bydgoszczy,08.-22,Bydgoszcz,Świętej Trójcy,33,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-439121600
Zakład Ubezpieczeń Społecznych - Inspektorat w Inowrocławiu,Inspektorat ZUS w Inowrocławiu,08.-10,Inowrocław,Solankowa,15,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Bydgoszczy,-453551983
Zakład Ubezpieczeń Społecznych - Inspektorat w Nakle nad Notecią,Inspektorat ZUS w Nakle nad Notecią,08.-10,Nakło nad Notecią,Bohaterów,12a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Bydgoszczy,-365736789
Zakład Ubezpieczeń Społecznych - Inspektorat w Świeciu,Inspektorat ZUS w Świeciu,08.-10,Świecie,Wojska Polskiego,87A,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Bydgoszczy,-789941944
Zakład Ubezpieczeń Społecznych - Inspektorat w Tucholi,Inspektorat ZUS w Tucholi,08.-50,Tuchola,Dworcowa,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Bydgoszczy,-543782351
Zakład Ubezpieczeń Społecznych - Inspektorat w Żninie,Inspektorat ZUS w Żninie,08.-40,Żnin,700-lecia,37,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Bydgoszczy,-793169046
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Sępólnie Krajeńskim,Biuro Terenowe ZUS w Sępólnie Krajeńskim,08.-40,Sępólno Krajeńskie,Kościuszki,16,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Bydgoszczy,-864031900
Zakład Ubezpieczeń Społecznych - Oddział w Chorzowie,Oddział ZUS w Chorzowie,41-500,Chorzów,Dąbrowskiego,45,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-749981675
Zakład Ubezpieczeń Społecznych - Inspektorat w Katowicach,Inspektorat ZUS w Katowicach,40-018,Katowice,Gen. J. L. Sowińskiego,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Chorzowie,-77907875
