@type|@id|@lat|@lon|addr:city|addr:housenumber|addr:postcode|addr:street|addr:place|name|brand
node|310804007|53.4203043|18.0913222||||||Delikatesy Centrum|
node|319208527|54.5421718|18.4613119||||||Delikatesy Centrum|Delikatesy Centrum
node|371631397|50.4815997|23.0511907|Józefów|||Tadeusza Kościuszki||Delikatesy Centrum|Delikatesy Centrum
node|417917075|50.3446683|21.4511844||563|39-331||Chorzelów|Delikatesy Centrum|Delikatesy Centrum
node|431462798|52.6501678|16.8129763||||||Delikatesy Centrum|
node|499855525|52.5332332|19.7484570|Płock|4|09-410|Czwartaków||Delikatesy Centrum|Delikatesy Centrum
node|499910120|52.6321500|20.3735200|Płońsk|||||Delikatesy Centrum|Delikatesy Centrum
node|506370465|49.9251950|18.3179768|Chałupki|1|47-460|Bogumińska||Delikatesy Centrum|Delikatesy Centrum
node|562767168|49.6579538|21.8338622||||||Delikatesy Centrum|
node|562816456|49.6837789|22.1775582|Dydnia|||||Delikatesy Centrum|
node|615935876|50.5961745|17.6521939||||||Delikatesy Centrum|Delikatesy Centrum
node|639320612|49.7064399|20.9397038|Bobowa|||||Delikatesy Centrum|Delikatesy Centrum
node|685098398|51.1964034|23.1611075|Siedliszcze|18|22-130|Szpitalna||Delikatesy Centrum|
node|688028006|49.7381300|20.3870500|Limanowa|||||Delikatesy Centrum|
node|790017319|51.7815909|14.9792258|Lubsko|61|68-300|Wrocławska||Delikatesy Centrum|Delikatesy Centrum
node|817184985|50.6355893|18.8408477|Koszęcin|9|42-286|Powstańców Śląskich||Delikatesy Centrum|Delikatesy Centrum
node|828504510|49.6048535|20.2963468||282|34-607||Szczawa|Delikatesy Centrum|
node|836253315|53.8881016|15.7165866||||||Delikatesy Centrum|
node|880392025|52.3796341|16.9540940||||||Delikatesy Centrum|
node|944217627|53.7049948|20.9589194|Dźwierzuty|6|12-120|Pasymska||Delikatesy Centrum|
node|955956495|52.4753011|17.2819044||||||Delikatesy Centrum|
node|974380146|50.0035810|22.0288887|Rzeszów|88|35-604|Ignacego Łukasiewicza||Delikatesy Centrum|
node|993787413|49.7599166|19.1030641||||||Delikatesy Centrum|Delikatesy Centrum
node|1036620184|49.5776987|20.7861688||714|||Kamionka Wielka|Delikatesy Centrum|Delikatesy Centrum
node|1037606709|49.4010635|20.9503019|Krynica-Zdrój|||Czarny Potok||Delikatesy Centrum|
node|1058461894|49.8453030|20.3725368||||||Delikatesy Centrum|
node|1094885403|49.9676833|18.9449090||||||Delikatesy Centrum|Delikatesy Centrum
node|1121883570|49.9828465|20.0629926||||||Delikatesy Centrum|
node|1236392838|49.4397788|21.1727962||||||Delikatesy Centrum|
node|1264134500|53.8281752|20.3100022||||||Delikatesy Centrum|Delikatesy Centrum
node|1272011064|50.9429995|20.9441214||||||Delikatesy Centrum|Delikatesy Centrum
node|1275817300|51.1462189|16.8668415||||||Delikatesy Centrum|
node|1334471123|50.1599631|18.3107992||||||Delikatesy Centrum|
node|1347126357|50.2137619|19.8672302|Cianowice|||||Delikatesy Centrum|
node|1368902954|54.7007051|18.6760275||||||Delikatesy Centrum|Delikatesy Centrum
node|1388953130|53.8051680|20.0843064||||||Delikatesy Centrum|Delikatesy Centrum
node|1408485725|49.3242804|22.6697931||||||Delikatesy Centrum|Delikatesy Centrum
node|1419975868|51.0933028|16.9864349|Wrocław|27f|53-231|Aleja Pracy||Delikatesy Centrum|Delikatesy Centrum
node|1430592016|50.5319818|18.7205647||||||Delikatesy Centrum|Delikatesy Centrum
node|1504366095|53.3396130|15.0184088||||||Delikatesy Centrum|Delikatesy Centrum
node|1540970044|51.2735321|15.9372198|Chojnów|25A|59-225|Legnicka||Delikatesy Centrum|
node|1540970046|51.2708333|15.9388290|Chojnów|6|59-225|Grodzka||Delikatesy Centrum|
node|1543381060|52.0002294|20.9172225|Złotokłos|5|05-504|3 Maja||Delikatesy Centrum|Delikatesy Centrum
node|1570033386|49.9255235|20.4536506||||||Delikatesy Centrum|Delikatesy Centrum
node|1600145740|51.9602371|19.7117633||||||Delikatesy Centrum|
node|1617658306|51.9589792|16.1628959|Kaszczor|13|64-234|Powstańców Wielkopolskich||Delikatesy Centrum|
node|1618303637|50.0518353|19.2723227|Bobrek|152||Nadwiślańska||Delikatesy Centrum|Delikatesy Centrum
node|1623430751|50.2150715|19.3516459|Jaworzno|46|43-600|Księdza Andrzeja Mroczka||Delikatesy Centrum|Delikatesy Centrum
node|1645799284|51.1114809|17.0374607|Wrocław||50-142|PL. Nowy Targ||Delikatesy Centrum|Delikatesy Centrum
node|1650910646|49.9658674|19.6316748|Brzeźnica|1|34-114|Kalwaryjska||Delikatesy Centrum|Delikatesy Centrum
node|1660686628|50.5773034|22.1214083||2||Podborek||Delikatesy Centrum|
node|1670551757|49.9904481|20.5155943|||32-765|Kościelna||Delikatesy Centrum|
node|1693765567|49.6100169|20.6850416|Nowy Sącz|14|33-300|Bogusławy Agaty Konstanty||Delikatesy Centrum|Delikatesy Centrum
node|1718033700|52.0766994|20.1639892||||||Delikatesy Centrum|Delikatesy Centrum
node|1719555201|51.1445464|17.8474148||||||Delikatesy Centrum|
node|1721643265|50.0708058|21.7016779||||||Delikatesy Centrum|Delikatesy Centrum
node|1738257876|49.6816871|21.0229035||||||Delikatesy Centrum|
node|1794226555|52.5894411|14.6542114|Kostrzyn nad Odrą|3-5|66-470|Mikołaja Kopernika||Delikatesy Centrum|Delikatesy Centrum
node|1796774919|51.6148612|15.3196827|Żagań|2|68-100|Rynek||Delikatesy Centrum|Delikatesy Centrum
node|1802628002|49.8778831|19.1403134||||||Delikatesy Centrum|
node|1802866066|51.1229882|22.5159944|Strzyżewice||23-107|Żabia Wola||Delikatesy Centrum|
node|1805428745|50.0063110|18.4694481|Wodzisław Śląski|9A|44-300|Plac Zwycięstwa||Delikatesy Centrum|Delikatesy Centrum
node|1807101313|50.0499421|18.4740518||||||Delikatesy Centrum|Delikatesy Centrum
node|1809764642|49.4610338|20.2657315|Maniowy|4|34-436|Gorczańska||Delikatesy Centrum|Delikatesy Centrum
node|1811557633|50.0021340|20.6181192||||||Delikatesy Centrum|
node|1814756949|50.1063391|20.2907346||||||Delikatesy Centrum|
node|1821381448|49.9544003|20.8315262||||||Delikatesy Centrum|
node|1838538871|49.6971505|21.7618248||||||Delikatesy Centrum|
node|1853489648|54.0880383|21.9202508||||||Delikatesy Centrum|Delikatesy Centrum
node|1854455980|50.9454722|17.3042193|Oława|56c|55-200|Bolesława Chrobrego||Delikatesy Centrum|Delikatesy Centrum
node|1879454933|50.2006887|18.3111686||||||Delikatesy Centrum|
node|1879842313|54.3077189|22.3126526|Gołdap|26||Ignacego Paderewskiego||Delikatesy Centrum|
node|1885069358|50.6138453|22.9671044||||||Delikatesy Centrum|Delikatesy Centrum
node|1889017889|50.9622891|16.3439553|Strzegom|8|58-150|Tadeusza Kościuszki||Delikatesy Centrum|
node|1898347008|50.3608307|21.9077717||||||Delikatesy Centrum|Delikatesy Centrum
node|1903219313|49.7076897|20.6474304||||||Delikatesy Centrum|Delikatesy Centrum
node|1903219322|49.6002712|20.6400573||||||Delikatesy Centrum|Delikatesy Centrum
node|1910176526|50.0113624|20.0093499|Kraków|38|30-836|Erazma Jerzmanowskiego||Delikatesy Centrum|Delikatesy Centrum
node|1916266787|53.7584621|17.1079634||||||Delikatesy Centrum|Delikatesy Centrum
node|1917879131|51.9689022|19.7185318||||||Delikatesy Centrum|
node|1941568096|50.9115199|16.4306600|Jaworzyna Śląska|14|58-140|Tadeusza Kościuszki||Delikatesy Centrum|
node|1941568108|50.9114094|16.4283070||||||Delikatesy Centrum|Delikatesy Centrum
node|1953347101|49.4265533|20.4797908||||||Delikatesy Centrum|
node|1993764843|49.3372154|22.2861496|Baligród|31|38-606|Plac Wolności||Delikatesy Centrum|Delikatesy Centrum
node|2008122903|50.0083385|20.9790724|Tarnów|||||Delikatesy Centrum|
node|2011458661|50.0155527|18.4501552||||||Delikatesy Centrum|Delikatesy Centrum
node|2019591152|53.8017426|21.5759548||||||Delikatesy Centrum|
node|2029604997|50.4341628|21.2823633||||||Delikatesy Centrum|Delikatesy Centrum
node|2047646442|51.7307492|15.8260317|Bytom Odrzański|1|67-115|Kożuchowska||Delikatesy Centrum|Delikatesy Centrum
node|2080252120|50.2394010|23.1325647||||||Delikatesy Centrum|Delikatesy Centrum
node|2083472103|51.3546355|22.3346076||||||Delikatesy Centrum|Delikatesy Centrum
node|2085559424|51.0497124|17.0008188|Wysoka|2|52-200|Brzozowa||Delikatesy Centrum|
node|2099932728|51.0754350|17.7198628|Namysłów|2|46-100|Wały Jana III||Delikatesy Centrum|Delikatesy Centrum
node|2143615138|52.2525800|21.3035300|Sulejówek|88|05-071|Armii Krajowej||Delikatesy Centrum|Delikatesy Centrum
node|2167309365|50.0422640|19.1893442|Brzezinka|5|32-600|Czernichowska||Delikatesy Centrum|Delikatesy Centrum
