NAZWA,WOJEWÓDZTWO,POWIAT,MIEJSCOWOŚĆ,ULICA,NRDOMU,KOD POCZTOWY,NRTEL,NR TELEFONU 2 wraz z nr kierunkowym,NRFAX,NR FAXU 2 wraz z nr kierunkowym,EMAIL,ADRES 2 E-MAIL URZĘDU,WWW,SZEROKOŚĆ GEOGRAFICZNA,DŁUGOŚĆ GEOGRAFICZNA
Powiatowy Inspektor Nadzoru Budowlanego dla miasta Gorzowa Wlkp.,lubuskie,gorzowski (powiat grodzki),Gorzów Wlkp.,Teatralna,49,66-400,957205105,,957226105,,sekretariat@miastogorzow.pinb.gov.pl ,,www.pinbgorzow.pl,52.7321,15.2455
Powiatowy Inspektor Nadzoru Budowlanego dla Miasta Zielona Góra,lubuskie,zielonogórski (powiat grodzki),Zielona Góra,Zjednoczenia ,110b,65-120,683218340,,683218340,,sekretariat@miastozielonagora.pinb.gov.pl,,www.pinb.bipzielonagora.pl,51.9527,15.4832
Powiatowy Inspektor Nadzoru Budowlanego w Drezdenku,lubuskie,strzelecko-drezdenecki,Drezdenko,Kościuszki,31,66-530,957622042,,957622042,,sekretariat@drezdenko.pinb.gov.pl,,http://bip.wrota.lubuskie.pl/pinb-drezdenko/,52.8394,15.8314
Powiatowy Inspektor Nadzoru Budowlanego w Gorzowie Wlkp.,lubuskie,gorzowski (powiat ziemski),Gorzów Wlkp.,Pankiewicza,05-07,66-400,957330451,,957330452,,sekretariat@gorzow.pinb.gov.pl,,www.pinbwgorzowie.pl,52.7378,15.205
Powiatowy Inspektor Nadzoru Budowlanego w Krośnie Odrzańskim,lubuskie,krosnieński,Krosno Odrz.,Piastów,10B,66-600,683830251,,683835209,,sekretariat@krosnoodrzanskie.pinb.gov.pl,,www.bip.pinbko.lo.pl,52.056,15.1056
Powiatowy Inspektor Nadzoru Budowlanego w Międzyrzeczu,lubuskie,międzyrzecki,Międzyrzecz,Przemysłowa,2,66-300,957411219,504270702,957411219,,sekretariat@miedzyrzecz.pinb.gov.pl ,,www.bip.miedzyrzecz.lo.pl,52.4528,15.5834
Powiatowy Inspektor Nadzoru Budowlanego w Nowej Soli,lubuskie,nowosolski,Nowa Sól,Kossaka,24,67-100,684583855,,684583857,,sekretariat@nowasol.pinb.gov.pl,,www.pinb.powiat-nowosolski.pl,51.8017,15.7006
Powiatowy Inspektor Nadzoru Budowlanego w Słubicach,lubuskie,słubicki,Słubice,Piłsudskiego ,19,69-100,957582273,,957582273,,sekretariat@slubice.pinb.gov.pl,,www.pinb.bip.powiatslubicki.pl,52.3544,14.5668
Powiatowy Inspektor Nadzoru Budowlanego w Sulęcinie,lubuskie,sulęciński,Sulęcin,Lipowa,27,69-200,957552370,,957552370,,sekretariat@sulecin.pinb.gov.pl,,http://pinb.pl/prezentacje/lubuskie/sulecin/,52.4528,15.1171
Powiatowy Inspektor Nadzoru Budowlanego w Świebodzinie,lubuskie,świebodziński,Świebodzin,Wałowa,3,66-200,684754691,684754690,,,sekretariat@swiebodzin.pinb.gov.pl,,www.bip.wrota.lubuskie.pl/pinbswiebodzin,52.2489,15.531
