@type|@id|@lat|@lon|addr:city|addr:housenumber|addr:postcode|addr:street|email|fax|name|official_name|phone|short_name|website
node|2261925805|50.8765509|18.4305703|Olesno|5|46-300|Juliusza Kossaka|||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|2434287107|50.0410761|22.0092240|||||pinb@pinb.erzeszow.pl|+48 17 748 43 50|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Rzeszów|+48 17 748 43 50|PINB dla miasta Rzeszów|https://bip.erzeszow.pl/pl/309-powiatowy-inspektorat-nadzoru-budowlanego.html
node|3928563584|50.7815460|16.0352943|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|4437789153|52.6003030|16.5881876|Szamotuły||64-500|Bolesława Chrobrego|||Powiatowy inspektorat nadzoru budowlanego w Szamotułach||||
node|4560918664|51.6468696|17.8198130|Ostrów Wielkopolski|16|63-400|Aleja Powstańców Wielkopolskich|||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|4587724996|52.4264460|20.7219397|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|4737624094|51.9602693|20.1446655|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|5429088138|50.2960800|21.4439601|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|6140156956|54.1802232|15.5705111|||||pinb@kolobrzeg.powiat.pl||Powiatowy Inspektorat Nadzoru Budowlanego||+48 94 352 78 89||https://www.pinbkolobrzeg.finn.pl/
node|6168908822|50.4601181|20.7220894|Busko-Zdrój|13|28-100|1 Maja|pinb@pinb.busko.pl|+48 41 370 16 27|Powiatowy Inspektorat Nadzoru Budowlanego||+48 41 370 16 27|PINB w Busku-Zdroju|pinb.busko.pl
node|6564426968|52.0715412|21.0249669|Piaseczno|2/4|05-500|Ludwika Czajewicza|sekretariat@pinbpiaseczno.pl||Powiatowy Inspektorat Nadzoru Budowlanego||+48 22 777 40 07||http://www.pinb.nbip.pl/
node|6610749194|54.2509657|20.8154300|Bartoszyce|1/323|11-200|Generała Stefana Grota-Roweckiego|pinb@pinb-bartoszyce.gov.pl||Powiatowy Inspektorat Nadzoru Budowlanego w Bartoszycach||+48 89 762 93 90||https://pinb-bartoszyce.gov.pl/
node|6942361510|51.3762184|20.2878071|||||||Powiatowy Inspektorat Nadzoru Budowlanego w Opocznie||||
node|6950359300|51.0552207|16.1939850|||||||Powiatowy Inspektorat Nadzoru Budowlanego w Jaworze||||
