__lat,__lon,addr:postcode,addr:city,addr:place,addr:street,addr:housenumber,email,fax,name,official_name,phone,website
17.028,51.105,50-040,Wrocław,,Podwale ,31-33,kontaktkwp@wr.policja.gov.pl ,+48 71  34 04 77,Komenda Wojewódzka Policji we Wrocławiu,Komenda Wojewódzka Policji we Wrocławiu,+48 47 871 34 00,http://www.dolnoslaska.policja.gov.pl/
15.7542,50.8962,58-500 ,Jelenia Góra,,Nowowiejska ,43,komendant@jelenia-gora.wr.policja.gov.pl,+48 47 873 11 08,Komenda Miejska Policji,Komenda Miejska Policji w Jeleniej Górze,+48 47 873 12 40,http://www.jelenia-gora.policja.gov.pl/
16.1447,51.2004,59-220 ,Legnica,,Asnyka,III-V,komendant@legnica.wr.policja.pl,+48 47 844 15 25,Komenda Miejska Policji,Komenda Miejska Policji w Legnicy,+48 47 874 15 20,http://www.legnica.policja.gov.pl/
16.2736,50.7753,58-300 ,Wałbrzych,,Mazowiecka,2,komendant@walbrzych.wr.policja.gov.pl,+48 47 875 14 38,Komenda Miejska Policji,Komenda Miejska Policji w Wałbrzychu,+48 47 875 12 34,http://www.walbrzych.policja.gov.pl
17.0711,51.1408,51-168,Wrocław,,Sołtysowicka,21,komendant@wroclaw.wr.policja.gov.pl ,+48 47 871 43 65,Komenda Miejska Policji we Wrocławiu,Komenda Miejska Policji we Wrocławiu,+48 47 871 44 90,https://wroclaw.policja.gov.pl/
15.5735,51.2568,59-700 ,Bolesławiec,,Zygmunta Augusta,20,komendant@boleslawiec.wr.policja.gov.pl,+48 47 873 32 21,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Bolesławcu,+48 47 873 32 00,http://www.boleslawiec.policja.gov.pl/
16.6585,50.727,58-200 ,Dzierżoniów,,Ząbkowicka,57,komendant@dzierzoniow.wr.policja.gov.pl ,+48 47 875 42 10,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Dzierżoniowie,+48 47 875 42 00,http://www.dzierzoniow.policja.gov.pl/
16.0832,51.6535,67-200 ,Głogów,,Obrońców Pokoju,17,komendant@glogow.wr.policja.pl,+48 47 874 22 35,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Głogowie,+48 47 874 22 00,http://www.glogow.policja.gov.pl/
16.5406,51.6695,56-200 ,Góra,,Podwale ,26,komendant@gora.wr.policja.pl,+48 47 872 24 2,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Górze,+48 47 872 82 00,http://www.gora.policja.gov.pl/
16.1991,51.0491,59-400 ,Jawor,,Armii Krajowej ,2,kpp@jawor.wr.policja.gov.pl ,+48 87 452 35 ,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Jaworze,+48 47 874 52 00,http://www.jawor.policja.gov.pl/
16.028,50.7792,58-400 ,Kamienna Góra,,Lubawska ,6,komendant@kamienna-gora.wr.policja.gov.pl,+48 47 873 62 50,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Kamiennej Górze,+48 47 873 62 00,http://www.kamienna-gora.policja.gov.pl/
16.6509,50.4317,57-300 ,Kłodzko,,ul. Chopina ,2,komendant@klodzko.wr.policja.pll,+48 47 875 22 30,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Kłodzku,+48 47 875 22 00,http://www.klodzko.policja.gov.pl/
15.2857,51.117,59-800 ,Lubań,,Gen.W.Sikorskiego ,4,kpp@luban.wr.policja.gov.pl,+48 47 873 42 42,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Lubaniu,+48 47 873 42 00,http://www.luban.policja.gov.pl/
16.1998,51.3973,59-300 ,Lubin,,Traugutta ,3,komendant@lubin.wr.policja.gov.pl ,+48 47 874 32 35,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Lubinie,+48 47 874 32 00,http://www.lubin.policja.gov.pl/
15.5785,51.1129,59-600 ,Lwówek Śląski,,Przyjaciół Żołnierza,22,komendant@lwowek-slaski.wr.policja.gov.pl ,+48 47 873 52 40,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Lwówku Śląskim,+48 47 873 52 00,http://www.lwowek-slaski.policja.gov.pl/
17.2776,51.5272,56-300 ,Milicz,, T. Kościuszki ,4,komendant@milicz.wr.policja.gov.pl ,+48 47 872 12 42,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Miliczu,+48 47 872 12 00,http://www.milicz.policja.gov.pl/
17.3837,51.2071,56-400 ,Oleśnica,,Gen. Hallera ,3,komendant@olesnica.wr.policja.gov.pl ,+48 47 872 62 42,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Oleśnicy,+48 47 872 62 00,http://bip.olesnica.policja.gov.pl/
17.2976,50.9429,55-200 ,Oława,,Kopernika,1,komendant@olawa.wr.policja.pl,+48 47 872 72 42,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Oławie,+48 47 872 72 00,https://olawa.policja.gov.pl/
16.0702,51.4983,59-100 ,Polkowice,,Legnicka ,15,kpp@polkowice.wr.policja.gov.pl ,+48 47 877 42 05,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Polkowicach,+48 47 874 72 00,http://www.polkowice.policja.gov.pl/
17.0663,50.7839,57-100 ,Strzelin,,Wolności ,15,komendant@strzelin.wr.policja.gov.pl,+48 47 872 32 42,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Strzelinie,+48 47 872 32 00,http://www.strzelin.policja.gov.pl/
16.5917,51.165,55-300 ,Środa Śląska,,Św. Andrzeja ,2,kpp@sroda-slaska.wr.policja.gov.pl,+48 47 872 22 42,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Środzie Śląskiej,+48 47 878 88 00,http://www.sroda-slaska.policja.gov.pl/
16.4837,50.8473,58-100 ,Świdnica,,Jagiellońska ,23,oficer.prasowy@swidnica.wr.policja.gov.pl,+48 47 875 52 30,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Świdnicy,+48 47 875 52 00,http://www.swidnica.policja.gov.pl/
17.067,51.3066,55-100 ,Trzebnica,,ul. Ks. Bochenka,8,komendant@trzebnica.wr.policja.gov.pl,+48 47 872 42 42,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Trzebnicy,+48 47 872 42 00,http://www.trzebnica.policja.gov.pl/
16.6428,51.3375,56-100 ,Wołów,,Piłsudskiego ,23,kpp@wolow.wr.policja.gov.pl,+48 47 872 52 42,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Wołowie,+48 47 872 52 00,http://www.wolow.policja.gov.pl/
16.8126,50.5958,57-200 ,Ząbkowice Śląskie,,Aleja Niepodległości ,10,komendant@zabkowice-slaskie.wr.pl,+48 87 562 30 ,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Ząbkowicach Śląskich,+48 47 875 62 00,http://www.zabkowice-slaskie.policja.gov.pl/
15.0135,51.1472,59-900 ,Zgorzelec,,ul. Boh. II Armii Woj. Polskiego,12 G,kpp@zgorzelec.wr.policja.gov.pl ,+48 47 873 22 21,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Zgorzelcu,+48 47 873 22 00,http://www.zgorzelec.policja.gov.pl/
15.9112,51.123,59-500 ,Złotoryja,,Kościuszki,5,oficer.prasowy@zlotoryja.wr.policja.gov.pl,+48 47 874 42 35,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Złotoryi,+48 47 874 42 00,http://www.zlotoryja.policja.gov.pl/
18.02406624,53.12952596,85-090,Bydgoszcz,,Powstańców Wielkopolskich,7,sekretariat-komendanta@bg.policja.gov.pl,+48 52 525 50 17,Komenda Wojewódzka Policji,Komenda Wojewódzka Policji w Bydgoszczy,+48 52 525 50 10,http://www.kujawsko-pomorska.policja.gov.pl/
18.0147,53.1139,85-667,Bydgoszcz,,Jana Karola Chodkiewicza,32,komendant-bydgoszcz@bg.policja.gov.pl,+48 47 751 12 77,Komenda Powiatowa/Miejska Policji,Komenda Powiatowa/Miejska Policji w Bydgoszczy,+48 47 751 12 49,http://www.bydgoszcz.kujawsko-pomorska.policja.gov.pl/
22.5526,51.2410,20-019,Lublin,,Narutowicza,73,kancelaria.kwplublin@lu.policja.gov.pl,+48 47 811 59 00,Komenda Wojewódzka Policji,Komenda Wojewódzka Policji w Lublinie,+48 47 811 42 24,www.lubelska.policja.gov.pl
23.1253,52.0371,21-500 ,Biała Podlaska,,Plac Wojska Polskiego ,23,kmpbialapodlaska@lu.policja.gov.pl,+48 47 814 12 71,Komenda Miejska Policji,Komenda Miejska Policji w Białej Podlaskiej,+48 47 814 11 12,biala-podlaska.lubelska.policja.gov.pl
23.4852,51.1305,22-100,Chełm,,Żwirki i Wigury,20,komendant.kmpchelm@lu.policja.gov.pl,+48 47 811 15 77,Komenda Miejska Policji,Komenda Miejska Policji w Chełmie,+48 47 813 14 02,www.chelm.policja.gov.pl
22.5608,51.2560,20-064 ,Lublin,,Północna ,3,komendant.kmplublin@lu.policja.gov.pl,+48 47 811 16 22,Komenda Miejska Policji,Komenda Miejska Policji w Lublinie,+48 47 811 43 05,www.lublin.policja.gov.pl
23.2652,50.7175,22-400,Zamość,,Prymasa Stefana Wyszyńskiego,2,kmp.zamosc@lu.policja.gov.pl,+48 47 811 16 49,Komenda Miejska Policji,Komenda Miejska Policji w Zamościu,+48 47 815 13 56,www.zamosc.policja.gov.pl
22.7038,50.5323,23 - 400,Biłgoraj,,Polna,1,komendant.kppbilgoraj@lu.policja.gov.pl ,+48 47 811 16 68,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Biłgoraju,+48 47 815 22 16,www.bilgoraj.policja.gov.pl
23.8855,50.8065,22- 500 ,Hrubieszów,,Narutowicza ,20,policja.kpphrubieszow@lu.policja.gov.pl,+48 47 811 16 85,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Hrubieszowie,+48 47 815 32 16,www.hrubieszow.policja.gov.pl
22.4242,50.7010,23-300,Janów Lubelski,,Jana Zamoyskiego,92,sekretariat.kppjanowlubelski@lu.policja.gov.pl,+48 47 811 16 91,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Janowie Lubelskim,+48 47 815 52 16,www.janow-lubelski.policja.gov.pl
22.2354,50.9284,23-200,Kraśnik,, Lubelska,83,komendant.kppkrasnik@lu.policja.gov.pl,+48 47 811 17 03,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Kraśniku,+48 47 812 42 15,www.krasnik.policja.gov.pl
23.1662,50.9832,22-300,Krasnystaw,,Okrzei,11,komendant.kppkrasnystaw@lu.policja.gov.pl,+48 47 811 16 98,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Krasnymstawie,+48 47 813 32 10,www.krasnystaw.policja.gov.pl
22.6104,51.4565,21-100,Lubartów,,Lubelska,57 a ,komendant.kpplubartow@lu.policja.gov.pl,+48 47 811 17 09,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Lubartowie,+48 47 812 52 16,www.lubartow.policja.gov.pl
22.8824,51.2985,21-010,Łęczna,,Księży Wrześniewskich,10,komendant.kppleczna@lu.policja.gov.pl,+48 47  81 11 71,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Łęcznej,+48 47 812 72 16,www.leczna.policja.gov.pl
22.3833,51.9301,21-400,Łuków,,Międzyrzecka,9,kpp.lukow@lu.policja.gov.pl,+48 47 811 17 20,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Łukowie,+48 47 814 72 16,www.lukow.policja.gov.pl
21.9691,51.1497,24-300,Opole Lubelskie,,Morwowa,4,komendant.kppopolelubelskie@lu.policja.gov.pl,+48 47 811 17 31,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Opolu Lubelskim,+48 47 812 22 16,www.opole-lubelskie.policja.gov.pl
22.8970,51.6387,21-200,Parczew,,Wojska Polskiego,4,kpp.parczew@lu.policja.gov.pl,+48 47 811 17 43,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Parczewie,+48 47 814 32 16,www.parczew.policja.gov.pl
21.9744,51.4175,24-100,Puławy,,Wojska Polskiego,6,komendanci.kpppulawy@lu.policja.gov.pl,+48 47 811 17 39,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Puławach,+48 47 812 33 12,www.pulawy.policja.gov.pl
22.6027,51.7830,21-300,Radzyń Podlaski,,Warszawska,100 a,komendant.kppradzynpodlaski@lu.policja.gov.pl,+48 47 811 17 45,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Radzyniu Podlaskim,+48 47 814 22 16,www.radzyn-podlaski.policja.gov.pl
21.9308,51.6290,08-500,Ryki,,Dolna,2,komendant.kppryki@lu.policja.gov.pl,+48 47 811 17 52,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Rykach,+48 47 812 82 16,www.ryki.policja.gov.pl
22.6997,51.2272,21-045,Świdnik,,Al. Lotników Polskich,1,sekretariat.kppswidnik@lu.policja.gov.pl,+48 47 811 17 57,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Świdniku,+48 47 812 12 16,www.swidnik.policja.gov.pl
23.4213,50.4458,22-600,Tomaszów Lubelski,,Stefana Żeromskiego,4,komendant.kpptomaszowlubelski@lu.policja.gov.pl,+48 47 811 17 66,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Tomaszowie Lubelskim,+48 47 815 42 16,www.tomaszow-lubelski.policja.gov.pl
23.5546,51.5491,22-200,Włodawa,,Al.. Pilsudskiego,51,kppwlodawa@lu.policja.gov.pl,+48 47 811 17 83,Komenda Powiatowa Policji we Włodawie,Komenda Powiatowa Policji we Włodawie,+48 47 813 22 16,www.wlodawa.policja.gov.pl
15.2312,52.7208,66-400,Gorzów Wlkp.,,Kwiatowa,10,kwpgorzow@go.policja.gov.pl,+48 47 791 12 05,Komenda Wojewódzka Policji,Komenda Wojewódzka Policji w Gorzowie Wlkp.,+48 47 791 19 00,www.lubuska.policja.gov.pl
15.2372,52.7481,66-400,Gorzów Wlkp.,,Kard. Stefana Wyszyńskiego ,122,komendant.kmp_gorzow@go.policja.gov.pl,+48 47 791 20 15,Komenda Miejska Policji,Komenda Miejska Policji w Gorzowie Wlkp.,+48 47 791 20 01,www.gorzow-lubuska.policja.gov.pl
15.5203,51.9318,65-332,Zielona Góra,,Partyzantów ,40,sekretariat.kmp_zgora@go.policja.gov.pl,+48 47 795 24 15,Komenda Miejska Policji,Komenda Miejska Policji w Zielonej Górze,+48 47 795 24 11,https://zielona-gora.policja.gov.pl/
15.0916,52.0612,66-600,Krosno Odrz.,,Sienkiewicza ,22,sekretariat.kpp_krosno@go.policja.gov.pl,+48 47 794 52 05,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Krośnie Odrzańskim,+48 47 794 52 00,www.krosno-odrzanskie.policja.gov.pl
15.5634,52.4429,66-300,Międzyrzecz,,Pięciu Świętych Braci Międzyrzeckich ,1,dyzurny.kpp_miedzyrzecz@go.policja.gov.pl,+48 47 792 12 05,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Międzyrzeczu,+48 47 792 12 11,https://miedzyrzecz.policja.gov.pl/
15.6859,51.8017,67-100,Nowa Sól,,Północna ,2,komendant.kpp_nowasol@go.policja.gov.pl,+48 47 793 32 15,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Nowej Soli,+48 47 793 32 11,https://nowa-sol.policja.gov.pl/
14.5688,52.3557,69-100,Słubice,,Kazimierza Wielkiego ,1,kpp_slubice@go.policja.gov.pl,+48 47 792 32 15,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Słubicach,+48 47 792 32 11,www.slubice.policja.gov.pl
15.5355,52.8744,66-500,Strzelce Kraj.,,Brzozowa ,1,komendant.kpp_strzelce@go.policja.gov.pl,+48 47 792 52 05,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Strzelcach Kraj.,+48 47 792 52 00,https://strzelce-krajenskie.policja.gov.pl/
15.1141,52.4368,69-200,Sulęcin,,Szpitalna ,4,sekretariat.kpp_sulecin@go.policja.gov.pl,+48 47 793 12 05,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Sulęcinie,+48 47 793 12 00,https://sulecin.policja.gov.pl/
15.5298,52.2453,66-200,Świebodzin,,Zielona ,2,komendant.kpp_swiebodzin@go.policja.gov.pl,+48 47 793 52 05,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Świebodzinie,+48 47 793 52 00,https://swiebodzin.policja.gov.pl/
16.3151,51.7978,67-400,Wschowa,,Kazimierza Wielkiego ,12,komendant.kpp_wschowa@go.policja.gov.pl ,+48 47 794 32 15,Komenda Powiatowa Policji we Wschowie,Komenda Powiatowa Policji we Wschowie,+48 47 794 32 00,https://wschowa.policja.gov.pl/
15.3269,51.6203,68-100,Żagań,,Nowogródzka ,1,rzecznik.kpp_zagan@go.policja.gov.pl ,+48 47 793 72 05,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Żaganiu,+48 47 793 72 00,www.zagan.policja.gov.pl
15.1356,51.6378,68-200,Żary,,Legionistów ,3,sekretariat.kpp_zary@go.policja.gov.pl,+48 47 794 12 05,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Żarach,+48 47 794 12 00,www.zary.lubuska.policja.gov.pl
19.4395,51.7843,91-048,Łódź,,Lutomierska,108/112,dyzurny@ld.policja.gov.pl,+48 47 841 17 33,Komenda Wojewódzka Policji,Komenda Wojewódzka Policji w Łodzi,+48 47 841 22 56,"www.lodzka.policja.gov.pl,"
19.4622,51.7676,90-114,Łódź,,Sienkiewicza,28/30,dyzurny@lodz.ld.policja.gov.pl,+48 47 841 17 55,Komenda Miejska Policji,Komenda Miejska Policji w Łodzi,+48 47 841 22 50,www.lodz.policja.gov.pl
20.1612,51.9666,96-100,Skierniewice,,Jana III Sobieskiego,69,dyzurny@skierniewice.ld.policja.gov.pl,+48 47 843 11 60,Komenda Miejska Policji,Komenda Miejska Policji w Skierniewicach,+48 47 843 11 88,www.skierniewice.policja.gov.pl
19.6778,51.4113,97-300,Piotrków Trybunalski,,Szkolna,30/38,"dyzurny@piotrkow-trybunalski.ld.policja.gov.pl ,",+48 47 846 12 09,Komenda Miejska Policji,Komenda Miejska Policji w Piotrkowie Trybunalskim,+48 47 846 14 62,www.piotrkow-trybunalski.policja.gov.pl
19.9802,50.0680,31-571,Kraków,,ul. Mogilska,109,poczta@malopolska.policja.gov.pl,+48 47 835 40 12,Komenda Wojewódzka Policji,Komenda Wojewódzka Policji w Krakowie,+48 47 835 44 44,http://malopolska.policja.gov.pl
19.929,50.0691,31-137,Kraków,,ul. H.Siemiradzkiego,24,sekretariatkmp@krakow.policja.gov.pl ,+48 47 835 26 07,Komenda Miejska Policji,Komenda Miejska Policji w Krakowie,+48 47 835 12 54,krakow.policja.gov.pl
20.6983,49.5961,33-300,Nowy Sącz,,ul. Grottgera,50,komendant@nowy-sacz.policja.gov.pl,+48 47 833 41 40,Komenda Miejska Policji,Komenda Miejska Policji w Nowym Sączu,+48 47 833 46 30,nowy-sacz.policja.gov.pl
20.9257,50.0103,33-101,Tarnów,,ul. Traugutta,4,kmp@tarnow.policja.gov.pl,+48  4 783 11 24,Komenda Miejska Policji,Komenda Miejska Policji w Tarnowie,+48 47 831 29 00,tarnow.policja.gov.pl
20.4204,49.9656,32-700,Bochnia,,ul. Krakowska,39,komendant@bochnia.policja.gov.pl,+48 47 832 32 44,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Bochni,+48 47 832 32 22,bochnia.policja.gov.pl
20.6231,49.982,32-800,Brzesko,,ul. Szczepanowska ,53,sekretariat@brzesko.policja.gov.pl ,+48 47 832 12 44,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Brzesko,+48 47 832 12 22,brzesko.policja.gov.pl
19.3963,50.1438,32-500,Chrzanów,,ul.Jordana ,7,prezydialny@chrzanow.policja.gov.pl,+48 47 832 42 44,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Chrzanowie,+48 47 832 42 66,chrzanow.policja.gov.pl
20.9871,50.1755,33-200,Dąbrowa Tarnowska,,ul. Berka Joselewicza,4,komendant@dabrowa-tarnowska.policja.gov.pl,+48 47 832 22 42,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Dąbrowie Tarnowskiej,+48 47 832 23 33,www.dabrowa-tarnowska.policja.gov.pl
21.165,49.6705,38-300,Gorlice,,ul. 11 Listopada ,56,komendant@gorlice.policja.gov.pl,+48 47 834 43 35,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Gorlicach,+48 47 834 42 01,www.gorlice.policja.gov.pl
19.9076,50.1045,31-263,Kraków,,ul. Władysława Łokietka,205,kpp@kpp-krakow.policja.gov.pl ,+48 47 835 76 02,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Krakowie,+48 47 835 76 00,www.kpp-krakow.policja.gov.pl
20.4171,49.6988,34-600,Limanowa,,ul. Żwirki i Wigury,7,kpp@limanowa.policja.gov.pl,+48 47 834 54 25,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Limanowej,+48 47 834 54 00,limanowa.policja.gov.pl
20.0459,50.3617,32-200,Miechów,,ul. B.Prusa,3,kpp@miechow.policja.gov.pl,+48 47 834 62 03,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Miechowie,+48 47 834 62 00,www.miechow.policja.gov.pl
19.9414,49.8304,32-400,Myślenice,,ul. Jagiellońska,1,komendant@myslenice.policja.gov.pl,+48 47 832 92 51,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Myślenicach,+48 47 832 92 00,www.myslenice.policja.gov.pl
20.0435,49.482,34-400,Nowy Targ,,ul. Konfederacji Tatrzańskiej,1A,sekretariat@nowy-targ.policja.gov.pl ,+48 47 834 64 25,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Nowym Targu,+48 47 834 64 01, www.nowy-targ.policja.gov.pl
19.5677,50.2677,32-300,Olkusz,,ul. Jana Pawła II,32,sekretariat.komendanta@olkusz.policja.gov.pl,+48 47 832 52 41,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Olkuszu,+48 47 832 52 00,www.olkusz.policja.gov.pl
19.9249,50.0723,32-600,Oświęcim,,ul. Wyspiańskiego,2,komendant@oswiecim.policja.gov.pl,+48 47 832 62 08,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Oświęcimiu,+48 47 832 62 80,oswiecim.policja.gov.pl
20.293,50.1904,32-100,Proszowice,,ul. Wolności ,2,kpp@proszowice.policja.gov.pl,+48 47 834 23 41,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Proszowicach,+48 47 834 22 00,proszowice.policja.gov.pl/
