@type|@id|@lat|@lon|addr:city|addr:housenumber|addr:postcode|addr:street|email|contact:email|fax|name|full_name|short_name|alt_name|phone|contact:phone|website
node|1588863641|50.2546524|19.0011822|Katowice|39|40-074|Raciborska|wsse.katowice@pis.gov.pl|||Wojewódzka Stacja Sanitarno-Epidemiologiczna||||||http://www.wsse.katowice.pl/
node|1754825666|53.8288601|22.3520011|Ełk|6A|19-300|Toruńska|sanepid.elk@wp.pl|||Sanepid Ełk|Powiatowa Stacja Sanitarno - Epidemiologiczna w Ełku|||+48876217750||
node|2289996533|53.2575901|19.4065077|Brodnica|1|87-300|Franciszka Żwirki i Stanisława Wigury|psse.brodnica@pis.gov.pl|||Powiatowa Stacja Sanitarno–Epidemiologiczna w Brodnicy||||+48 22 25 00 115||
node|2779676801|53.1187300|18.0054598|Bydgoszcz|4|85-031|Kujawska||||Wojewódzka Stacja Sanitarno - Epidemiologiczna w Bydgoszczy||Sanepid Bydgoszcz WSEE||||
node|2863413351|52.0142900|18.5044800|Turek|1a|62-700|Uniejowska||||Sanepid||||||
node|2898809727|53.1089744|19.0699953||||||||Sanepid||||||
node|3029757321|50.2681696|19.5707082|||||psse.olkusz@pis.gov.pl||+48 32 754 57 50|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Olkuszu|PSSE w Olkuszu|Sanepid w Olkuszu|+48 32 754 57 20||https://www.gov.pl/web/psse-olkusz
node|3063712740|53.4927230|18.7540748|||||psse.grudziadz@pis.gov.pl||+48 56 451 78 11|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Grudziądzu|PSSE w Grudziądzu|Sanepid w Grudziądzu|+48 56 451 78 10||http://www.ppis.grudziadz.com/
node|3134432737|52.5994540|16.5886200|Szamotuły|8|64-500|Bolesława Chrobrego||||Powiatowa Stacja Sanitarno-epidemiologiczna w Szamotułach||||||
node|3208352974|52.8786053|20.6017600|Ciechanów|27|06-400|Henryka Sienkiewicza|ciechanow@psse.waw.pl|||Powiatowa Stacja Sanitarno-Epidemiologiczna w Ciechanowie||||(23) 672-33-13||http://www.ciechanow.psse.waw.pl/
node|3225006028|51.6457000|22.9085500|Parczew|54|21-200|Piwonia|psse.parczew@pis.gov.pl||+48 83 354 13 10|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Parczewie|PSSE w Parczewie|Sanepid w Parczewie|+48 83 354 23 29||https://www.gov.pl/web/psse-parczew
node|3445365648|50.6663057|17.9385892|||||wsse.opole@pis.gov.pl||+48 77 442 69 04|Wojewódzka stacja sanitarno-epidemiologiczna w Opolu|||||+48 77 442 69 01|
node|3978131640|52.2094212|18.2509551|Konin|16|62-500|Stanisława Staszica||||Powiatowa Stacja Sanitarno-Epidemiologiczna w Koninie||||||
node|4375210241|51.5030266|16.0686650|Polkowice|22|59-100|Rynek|psse.polkowice@pis.gov.pl||+48 76 746 22 47|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Polkowicach|PSSE w Polkowicach|Sanepid w Polkowicach|+48 76 746 22 46||https://www.gov.pl/web/psse-polkowice
node|4506965689|52.0362213|23.1035486|||21-500|||||Sanepid- laboratorium||||||
node|4733985100|51.9566667|20.1336557||||||||Powiatowa Stacja Sanitarno-Epidemiologiczna||Sanepid||||
node|4945927567|53.9098647|14.2474966||||||||Powiatowa Stacja Sanitarno-Epidemiologiczna|||||+48 604571667|
node|5090007626|51.8830836|17.0063387||||||||Powiatowa Stacja Sanitarno – Epidemiologiczna w Gostyniu||Sanepid||||http://www.psse-gostyn.pl/
node|5429088140|50.2960336|21.4438355|||||psse.mielec@pis.gov.pl||+48 17 586 30 21|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Mielcu|PSSE w Mielcu|Sanepid|+48 17 586 30 21||https://www.gov.pl/web/psse-mielec
node|5518083676|53.5449487|14.5438719||||||||Powiatowa Stacja Sanitarno – Epidemiologiczna w Policach||||||https://pssepolice.pis.gov.pl/
node|6368652201|53.4507133|14.5148684|||||psse.szczecin@pis.gov.pl||+48 91 4861 141; +48 91 4849 358|Powiatowa Stacja Sanitarno-Epidemiologiczna w Szczecinie||PSSE Szczecin||+48 91 4870 313; +48 91 4849 351||https://psseszczecin.pis.gov.pl/
node|6501407544|53.5580607|20.9874015||||||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||+48 89 624 87 31||https://www.sanepid.szczytno.pl/
node|6522150709|51.8028238|15.7149668|Nowa Sól|11|67-100|Wojska Polskiego||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||
node|6522150710|51.6123782|15.3306796|Żagań|45A|68-100|Szprotawska||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||
node|6522150743|51.9298182|15.5028537|Zielona Góra|10|65-470|Jasna|pssezielonagora@wsse.gorzow.pl||+48 68 325 50 70|Powiatowa Stacja Sanitarno-Epidemiologiczna||||+48 68 325 46 71||http://www.wsse.gorzow.pl/pssezielonagora/
node|6522150744|52.2491996|15.5319430|Świebodzin|5|66-200|30 Stycznia||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||
node|6564424736|52.0776980|21.0675674|Konstancin-Jeziorna|7|05-510|Dworska|piaseczno@psse.waw.pl|||Powiatowa Stacja Sanitarno-Epidemiologiczna||||+48 22 756 46 20||http://piaseczno.psse.waw.pl/
