"L.p.","Nr pow","Powiat","Organizator","Nazwa wtz","Ulica","Miejscowość","Kod","Poczta","Data utworzenia wtz"
"1","1","bolesławiecki","Stowarzyszenie Rodziców Dzieci i Młodzieży Specjalnej Troski w Bolesławcu","Warsztat Terapii Zajęciowej ","Al. Tysiąclecia 32d/3","Bolesławiec","59700","Bolesławiec","12-23-08"
"2","2","dzierżoniowski","Specjalny Ośrodek Szkolno - Wychowawczy","Warsztat Terapii Zajęciowej ","Szkolna 6","Piława Górna","58240","Piława Górna","12-22-05"
"3","2","dzierżoniowski","Polskie Stowarzyszenie na  Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej ","Świdnicka 26","Dzierżoniów","58200","Dzierżoniów","12-23-04"
"4","3","głogowski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Głogowie","WarsztatyTerapii Zajęciowej ""Arka""","Perseusza 9","Głogów","67200","Głogów","02-02-99"
"5","3","głogowski","Cisi Pracownicy Krzyża","Warsztat Terapii Zajęciowej ""Przystań"" Cichych Pracowników Krzyża","bł. Luigiego Novarese 6","Głogów","67200","Głogów","04-02-22"
"6","5","jaworski","Towarzystwo Przyjaciół Dzieci","Warsztat Terapii Zajęciowej ","Paderewskiego 6","Jawor","59400","Jawor","10-01-09"
"7","6","jeleniogórski","Polskie Towarzystwo Walki z Kalectwem Oddział Terenowy  Jelenia Góra","Warsztat Terapii Zajęciowej ","1 Maja 1","Kowary","58530","Kowary","12-13-17"
"8","8","kłodzki","Caritas Diecezji Świdnickiej","Warsztat Terapii Zajęciowej","Stary Wielisław 83a","Stary Wielisław","57300","Kłodzko","12-16-11"
"9","9","legnicki","Gmina Legnickie Pole","Warsztat Terapii Zajęciowej ","Świętej Jadwigi 2A","Legnickie Pole","59241","Legnickie Pole","03-27-19"
"10","9","legnicki","Miasto Chojnów","Warsztat Terapii Zajęciowej ","Kolejowa 9","Chojnów","59225","Chojnów","12-20-07"
"11","10","lubański","Towarzystwo Przyjaciół Dzieci Oddział Miejski w Lubaniu","Warsztat Terapii Zajęciowej przy OM TPD w Lubaniu","Zawidowska 4b","Lubań","59800","Lubań","07-03-05"
"12","11","lubiński","Fundacja im. Brata Alberta Zarząd Krajowy Radwanowice","Warsztat Terapii Zajęciowej ""Przytulisko""","Odrodzenia 8","Lubin","59300","Lubin","04-02-97"
"13","11","lubiński","Stowarzyszenie ""DAĆ NADZIEJĘ"" w Lubinie","Warsztat Terapii Zajęciowej  ""Kameleon""","Odrodzenia 30","Lubin","59300","Lubin","12-02-07"
"14","11","lubiński","Stowarzyszenie ""DAĆ NADZIEJĘ"" w Lubinie","Warsztat Terapii Zajęciowej  ""Akademia Życia""","Odrodzenia 30","Lubin","59300","Lubin","12-02-09"
"15","11","lubiński","Stowarzyszenie Przyjaciół i Rodziców Osób Niepełnosprawnych ""RÓWNE SZANSE"" w Lubinie","Warsztat Terapii Zajęciowej  ""Promyk""","Jerzego Kukuczki 39","Lubin","59300","Lubin","12-30-15"
"16","11","lubiński","Stowarzyszenie Przyjaciół i Rodziców Osób Niepełnosprawnych ""RÓWNE SZANSE"" w Lubinie","Warsztat Terapii Zajęciowej  ""Słoneczko""","Jerzego Kukuczki 39","Lubin","59300","Lubin","12-28-16"
"17","11","lubiński","Fundacja Przystań w Ścinawie","Warsztat Terapii Zajęciowej ""Uśmiech""","Królowej Jadwigi 5","Ścinawa","59330","Ścinawa","12-31-18"
"18","12","lwówecki","Caritas Diecezji Legnickiej ","Warsztat Terapii Zajęciowej ","Szpitalna 2","Lwówek Śląski","59600","Lwówek Śląski","01-01-12"
"19","13","milicki","Milickie Stowarzyszenie Przyjaciół Dzieci i Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej ","Osadnicza 1C","Milicz","56300","Milicz","12-23-04"
"20","14","oleśnicki","Caritas Archidiecezji Wrocławskiej","Warsztat Terapii Zajęciowej ","Stawowa 23","Dobroszyce","56-40","Dobroszyce","11-19-07"
