name|brand|brand:wikidata|addr:postcode|addr:city|addr:place|addr:street|addr:housenumber|addr:door|@lat|@lon|@id
Delikatesy Centrum|||86-182|Świekatowo||Tucholska|||53.4203043|18.0913222|node/310804007
Delikatesy Centrum|Delikatesy Centrum||81-047|Gdynia||Gniewska|21||54.5421718|18.4613119|node/319208527
Delikatesy Centrum|Delikatesy Centrum||23-460|Józefów||Tadeusza Kościuszki|47||50.4815997|23.0511907|node/371631397
Delikatesy Centrum|Delikatesy Centrum||39-331||Chorzelów||563||50.3446683|21.4511844|node/417917075
Delikatesy Centrum|||64-600|Oborniki||Marszałka Józefa Piłsudskiego|41||52.6501678|16.8129763|node/431462798
Delikatesy Centrum|Delikatesy Centrum||09-410|Płock||Czwartaków|4||52.5332332|19.7484570|node/499855525
Delikatesy Centrum|Delikatesy Centrum||09-100|Płońsk||Zygmunta Padlewskiego|||52.6321500|20.3735200|node/499910120
Delikatesy Centrum|Delikatesy Centrum||47-460|Chałupki||Bogumińska|1||49.9251950|18.3179768|node/506370465
Delikatesy Centrum|||38-423|||Centralna|2||49.6579538|21.8338622|node/562767168
Delikatesy Centrum|||36-204|Dydnia||835|||49.6837789|22.1775582|node/562816456
Delikatesy Centrum|Delikatesy Centrum||49-130|Tułowice||Porcelanowa|||50.5961745|17.6521939|node/615935876
Delikatesy Centrum|Delikatesy Centrum||38-350|Bobowa||Węgierska|25||49.7064399|20.9397038|node/639320612
Delikatesy Centrum|||22-130|Siedliszcze||Szpitalna|18||51.1964034|23.1611075|node/685098398
Delikatesy Centrum|||34-651|Limanowa||Koszarska|||49.7381300|20.3870500|node/688028006
Delikatesy Centrum|Delikatesy Centrum||68-300|Lubsko||Wrocławska|61||51.7815909|14.9792258|node/790017319
Delikatesy Centrum|Delikatesy Centrum||42-286|Koszęcin||Powstańców Śląskich|9||50.6355893|18.8408477|node/817184985
Delikatesy Centrum|||34-607||Szczawa||282||49.6048535|20.2963468|node/828504510
Delikatesy Centrum|||78-314|Sławoborze||Świdwińska|||53.8881016|15.7165866|node/836253315
Delikatesy Centrum|||61-381||Poznań||125||52.3796341|16.9540940|node/880392025
Delikatesy Centrum|||12-120|Dźwierzuty||Pasymska|6||53.7049948|20.9589194|node/944217627
Delikatesy Centrum|||62-010|Pobiedziska||Królowej Jadwigi|4||52.4753011|17.2819044|node/955956495
Delikatesy Centrum|||35-604|Rzeszów||Ignacego Łukasiewicza|88||50.0035810|22.0288887|node/974380146
Delikatesy Centrum|Delikatesy Centrum||43-365|Wilkowice||Wyzwolenia|138||49.7599166|19.1030641|node/993787413
Delikatesy Centrum|Delikatesy Centrum||||Kamionka Wielka||714||49.5776987|20.7861688|node/1036620184
Delikatesy Centrum|||33-381|Krynica-Zdrój||Czarny Potok|||49.4010635|20.9503019|node/1037606709
Delikatesy Centrum|||32-733||Trzciana||359||49.8453030|20.3725368|node/1058461894
Delikatesy Centrum|Delikatesy Centrum||43-200|Pszczyna||Kazimierza Wielkiego|1||49.9676833|18.9449090|node/1094885403
Delikatesy Centrum|||32-020|Wieliczka||Bolesława Limanowskiego|||49.9828465|20.0629926|node/1121883570
Delikatesy Centrum|||38-316||Wysowa-Zdrój||108||49.4397788|21.1727962|node/1236392838
Delikatesy Centrum|Delikatesy Centrum||11-042|Jonkowo||Plac 650-lecia Jonkowa|1||53.8281752|20.3100022|node/1264134500
Delikatesy Centrum|Delikatesy Centrum||26-010|Bodzentyn||Suchedniowska|19c||50.9429995|20.9441214|node/1272011064
Delikatesy Centrum|||54-014|Wrocław||Średzka|||51.1462189|16.8668415|node/1275817300
Delikatesy Centrum|||47-440|Nędza||Jana Pawła II|||50.1599631|18.3107992|node/1334471123
Delikatesy Centrum|||32-043|Cianowice||Do Cegielni|4||50.2137619|19.8672302|node/1347126357
Delikatesy Centrum|Delikatesy Centrum||84-140|Jastarnia||Księdza Bernarda Sychty|95||54.7007051|18.6760275|node/1368902954
Delikatesy Centrum|Delikatesy Centrum||14-105|Łukta||Mazurska|1||53.8051680|20.0843064|node/1388953130
Delikatesy Centrum|Delikatesy Centrum||38-710||Czarna Górna||75B||49.3242804|22.6697931|node/1408485725
Delikatesy Centrum|Delikatesy Centrum||53-231|Wrocław||Aleja Pracy|27f||51.0933028|16.9864349|node/1419975868
Delikatesy Centrum|Delikatesy Centrum||42-690|Tworóg||Zamkowa|18||50.5319818|18.7205647|node/1430592016
Delikatesy Centrum|Delikatesy Centrum||73-110|Stargard||Szczecińska|45||53.3396130|15.0184088|node/1504366095
Delikatesy Centrum|||59-225|Chojnów||Legnicka|25A||51.2735321|15.9372198|node/1540970044
Delikatesy Centrum|||59-225|Chojnów||Grodzka|6||51.2708333|15.9388290|node/1540970046
Delikatesy Centrum|Delikatesy Centrum||05-504|Złotokłos||3 Maja|5||52.0002294|20.9172225|node/1543381060
