name|phone|email|fax|website|official_name|addr:postcode|addr:city|addr:place|addr:street|addr:housenumber|addr:door|@lat|@lon|@id
Powiatowy Inspektorat Nadzoru Budowlanego||||||46-300|Olesno||Juliusza Kossaka|5||50.8765509|18.4305703|node/2261925805
Powiatowy Inspektorat Nadzoru Budowlanego|+48 17 748 43 50|pinb@pinb.erzeszow.pl|+48 17 748 43 50|https://bip.erzeszow.pl/pl/309-powiatowy-inspektorat-nadzoru-budowlanego.html|Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Rzeszów|35-005|Rzeszów||Piotra Bardowskiego|2||50.0410761|22.0092240|node/2434287107
Powiatowy Inspektorat Nadzoru Budowlanego||||||58-400|Kamienna Góra||Słoneczna|||50.7815460|16.0352943|node/3928563584
Powiatowy inspektorat nadzoru budowlanego w Szamotułach||||||64-500|Szamotuły||Bolesława Chrobrego|6||52.6003030|16.5881876|node/4437789153
Powiatowy Inspektorat Nadzoru Budowlanego||||||63-400|Ostrów Wielkopolski||Aleja Powstańców Wielkopolskich|16||51.6468696|17.8198130|node/4560918664
Powiatowy Inspektorat Nadzoru Budowlanego||||||05-100|Nowy Dwór Mazowiecki||Sportowa|||52.4264460|20.7219397|node/4587724996
Powiatowy Inspektorat Nadzoru Budowlanego||||||96-100|Skierniewice||Konstytucji 3 Maja|6||51.9602693|20.1446655|node/4737624094
Powiatowy Inspektorat Nadzoru Budowlanego||||||39-300|Mielec||Marii Skłodowskiej-Curie|8||50.2960800|21.4439601|node/5429088138
Powiatowy Inspektorat Nadzoru Budowlanego|+48 94 352 78 89|pinb@kolobrzeg.powiat.pl||https://www.pinbkolobrzeg.finn.pl/||78-100|Kołobrzeg||Piastowska|9c||54.1802232|15.5705111|node/6140156956
Powiatowy Inspektorat Nadzoru Budowlanego|+48 41 370 16 27|pinb@pinb.busko.pl|+48 41 370 16 27|pinb.busko.pl||28-100|Busko-Zdrój||1 Maja|13||50.4601181|20.7220894|node/6168908822
Powiatowy Inspektorat Nadzoru Budowlanego|+48 22 777 40 07|sekretariat@pinbpiaseczno.pl||http://www.pinb.nbip.pl/||05-500|Piaseczno||Ludwika Czajewicza|2/4||52.0715412|21.0249669|node/6564426968
Powiatowy Inspektorat Nadzoru Budowlanego w Bartoszycach|+48 89 762 93 90|pinb@pinb-bartoszyce.gov.pl||https://pinb-bartoszyce.gov.pl/||11-200|Bartoszyce||Generała Stefana Grota-Roweckiego|1/323||54.2509657|20.8154300|node/6610749194
Powiatowy Inspektorat Nadzoru Budowlanego w Opocznie||||||26-300|Opoczno||Generała Kazimierza Bończy-Załęskiego|1a||51.3762184|20.2878071|node/6942361510
Powiatowy Inspektorat Nadzoru Budowlanego w Jaworze||||||59-400|Jawor||Księcia Józefa Poniatowskiego|||51.0552207|16.1939850|node/6950359300
Powiatowy Inspektorat Nadzoru Budowlanego|+48 18 354 00 65|biuro@gorlice.pinb.gov.pl|+48 18 353 02 34|http://bip.malopolska.pl/pinbgorlice/||38-300|Gorlice||Józefa Michalusa|18||49.6686926|21.1720455|node/7313019071
Powiatowy Inspektorat Nadzoru Budowlanego|+48 81 825 31 07|biuro@pinbkrasnik.pl|+48 81 825 31 07|https://pinbkrasnik.bip.gov.pl/||23-204|Kraśnik||Aleja Niepodległości|10a||50.9649332|22.1722290|node/7594296302
Powiatowy Inspektorat Nadzoru Budowlanego w Gryfinie|+48 91 415 02 13; +48 91 415 03 13|nadzor.bud@gryfino.powiat.pl|+48 91 415 02 13|http://www.pinbgryfino.pl/||74-100|Gryfino||Flisacza|6||53.2601859|14.4898652|node/7653046048
Powiatowy Inspektorat Nadzoru Budowlanego w Czarnkowie||||||64-700|Czarnków||Tadeusza Kościuszki|88||52.8988352|16.5589314|node/7998118034
Powiatowy Inspektorat Nadzoru Budowlanego||||||26-600|Radom||Tadeusza Mazowieckiego|7||51.3912208|21.1614497|node/8315014956
Powiatowy Inspektorat Nadzoru Budowlanego|+48326702074|||http://pinb-zawiercie.pl/||42-400|Zawiercie||Krzywa|3||50.5003692|19.4259629|node/8442457307
Powiatowy Inspektorat Nadzoru Budowlanego||||||99-100|Łęczyca||Adama Mickiewicza|18||52.0485337|19.2150616|node/8789278922
Powiatowy Inspektorat Nadzoru Budowlanego|+48 22 490 99 07|kancelaria@pinbpruszkow.pl||https://pinbpruszkow.pl/||05-800|Pruszków||Stanisława Staszica|4||52.1642705|20.7903676|node/8826112992
Powiatowy Inspektorat Nadzoru Budowlanego||||||44-200|Rybnik||Jankowicka|1||50.0896159|18.5421244|node/9557548184
Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Koszalin|+48 94 342 85 00|pinb-koszalin@szczecin.uw.gov.pl||http://www.pinb.koszalin.pl/index.html|Powiatowy Inspektorat Nadzoru Budowlanego dla miasta na prawach powiatu w Koszalinie|75-626|Koszalin||Władysława Andersa|34||54.1890927|16.1932113|node/10075403602
Powiatowy Inspektorat Nadzoru Budowlanego|+48 82 572 58 98|pinb_w@op.pl|+48 82 545 10 19|pinbwlodawa.pl||22-200|Włodawa||Aleja Marszałka Józefa Piłsudskiego|64||51.5574384|23.5535198|node/10172575057
Powiatowy Inspektorat Nadzoru Budowlanego|+48 71 387 95 70|pinb@powiat.trzebnica.pl||http://www.pinb.trzebnica.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Trzebnicy|55-100|Trzebnica||Leśna|1||51.3029682|17.0695128|node/10313998251
Powiatowy Inspektorat Nadzoru Budowlanego|+48 41 252 31 65|pinb.skarzysko@neostrada.pl|+48 41 252 31 65|www.powiat.skarzyski.lo.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Skarżysku-Kamiennej|26-110|Skarżysko-Kamienna||Generała Władysława Sikorskiego|20||51.1135093|20.8582898|node/10314036598
Powiatowy Inspektorat Nadzoru Budowlanego|+48 81 752 32 33|pinb.leczna@neostrada.pl|+48 81 752 32 33|https://pinbleczna.bip.gov.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Łęcznej|21-010|Łęczna||Aleja Jana Pawła II|95||51.2984388|22.8867542|node/10314062291
Powiatowy Inspektorat Nadzoru Budowlanego|+48 81 468 70 78|pinb10@o2.pl|+48 81 468 70 78|www.swidnik.pinb.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Świdniku|21-045|Świdnik||Aleja Lotników Polskich|1||51.2272143|22.6990191|node/10314071491
Powiatowy Inspektorat Nadzoru Budowlanego|+48 84 664 31 90|pinb.tomaszow@wp.pl|+48 84 664 31 90|www.pinb-tomaszow-lubelski.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Tomaszowie Lubelskim|22-600|Tomaszów Lubelski||Lwowska|68||50.4471390|23.4151439|node/10314072108
Powiatowy Inspektorat Nadzoru Budowlanego|+48 84 686 70 93|pinbbilgoraj@op.pl|+48 84 686 70 93|http://pinbbilgoraj.nbip.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Biłgoraju|23-400|Biłgoraj||Bohaterów Monte Cassino|38||50.5284150|22.7164484|node/10314073466
Powiatowy Inspektorat Nadzoru Budowlanego|+48 81 534 47 72|sekretariat@pinb.lublin.pl|+48 81 534 47 73|www.pinb.lublin.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Lublinie (powiat grodzki)|20-026|Lublin||Fryderyka Chopina|5||51.2469304|22.5538954|node/10314073946
Powiatowy Inspektorat Nadzoru Budowlanego|+48 84 639 28 22|pinb@pinb.zamosc.pl|+48 84 639 28 22|https://bip.pinb.zamosc.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Zamościu (powiat grodzki)|22-400|Zamość||Kolegiacka|14||50.7168817|23.2512312|node/10314074302
Powiatowy Inspektorat Nadzoru Budowlanego|+48 81 532 29 49|biuro@pinbpowiat.lublin.pl||http://www.pinbpowiat.lublin.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Lublinie (powiat ziemski)|20-027|Lublin||Hipoteczna|3||51.2470929|22.5535534|node/10314081095
Powiatowy Inspektorat Nadzoru Budowlanego|+48 82 576 66 43|pinbkrasnystaw@onet.pl|||Powiatowy Inspektorat Nadzoru Budowlanego w Krasnymstawie|22-300|Krasnystaw||Marka Sobieskiego|3||50.9823741|23.1617723|node/10314081965
Powiatowy Inspektorat Nadzoru Budowlanego|+48 25 798 97 41|pinblukow@wp.pl|+48 25 798 97 41|www.pinb.lukow.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Łukowie|21-400|Łuków||Józefa Piłsudskiego|14||51.9305959|22.3787096|node/10314082194
Powiatowy Inspektorat Nadzoru Budowlanego|+48 25 633 93 16|pinb@powiatsiedlecki.pl||https://pinbsiedlce.bip.gov.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Siedlcach|08-110|Siedlce||Józefa Piłsudskiego|40||52.1685982|22.2763056|node/10314082196
Powiatowy Inspektorat Nadzoru Budowlanego|+48 83 351 13 39|pinb_bp@poczta.onet.pl|+48 83 351 13 29|https://pinbbialapodlaska.bip.lubelskie.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Białej Podlaskiej (powiat ziemski)|21-500|Biała Podlaska||Brzeska|41||52.0352165|23.1272356|node/10314084534
Powiatowy Inspektorat Nadzoru Budowlanego|+48 15 872 34 80|pinb_janow@wp.pl|+48 15 872 34 80|www.pinb.powiatjanowski.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Janowie Lubelskim|23-300|Janów Lubelski||Jana Zamoyskiego|59||50.7026546|22.4187216|node/10314087172
Powiatowy Inspektorat Nadzoru Budowlanego|+48 81 865 32 11|pinbryki@wp.pl|+48 81 865 32 11|pinbryki.wordpress.com|Powiatowy Inspektorat Nadzoru Budowlanego w Rykach|08-500|Ryki||Leona Wyczółkowskiego|10A||51.6245517|21.9273157|node/10314088219
Powiatowy Inspektorat Nadzoru Budowlanego|+48 58 673 42 12|pinb.puck@gda.winb.gov.pl|+48 58 673 42 12|http://bip.puck.gda.winb.gov.pl/||84-100|Puck||Sambora|16||54.7198840|18.4143698|node/10314091827
Powiatowy Inspektorat Nadzoru Budowlanego|+48 81 886 11 10|pinbpulawy@interia.eu|+48 81 886 11 10|www.pulawy.powiat.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Puławach|24-100|Puławy||Aleja Królewska|19||51.4138017|21.9631597|node/10314097084
Powiatowy Inspektorat Nadzoru Budowlanego|+48 84 627 28 41|pinbwzamosciu@op.pl|+48 84 627 28 41||Powiatowy Inspektorat Nadzoru Budowlanego w Zamościu (powiat ziemski)|22-400|Zamość||Partyzantów|3||50.7155295|23.2604898|node/10314098686
Powiatowy Inspektorat Nadzoru Budowlanego|+48 82 562 75 78|pinb@powiatchelmski.pl|+48 82 562 75 78|www.powiat.chelm.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Chełmie (powiat ziemski)|22-103|Chełm||Plac Niepodległości|1||51.1330322|23.4938844|node/10314100212
Powiatowy Inspektorat Nadzoru Budowlanego|+48 58 672 21 70|pinb@wejherowo.gda.winb.gov.pl|+48 58 672 95 68|http://wejherowo.gda.winb.gov.pl||84-215||Wejherowo||6||54.6006517|18.2216962|node/10314105814
