latitude|longitude|altitude|geometry|isced:level|ref:rspo|official_name|name|addr:postcode|addr:place|addr:housenumber|addr:city:simc|phone|email|website|ref:regon|ref:vatin|operator|operator:type|amenity|addr:city|addr:street|addr:street:sym_ul|landuse|fixme|note|community_centre:for|healthcare|counselling_type|@lat|@lon|@id
51.1624399|22.0903199||Point|1;2|13178|Społeczna Szkoła Podstawowa w Dąbrowie Wronowskiej|Społeczna Szkoła Podstawowa w Dąbrowie Wronowskiej|24-320|Dąbrowa wronowska|41|389498|+48 81 820 42 87|sspdabrowawron@wp.pl|http://spdabrowawronowska.lap.pl|061458214|PL7171830143|"Obywatelskie Stowarzyszenie Edukacyjne ""Żaczek"""|ngo|school||||||||||51.16236|22.09036|
51.1624099|22.0903199||Point||119194|Społeczne Przedszkole w Dąbrowie Wronowskiej|Społeczne Przedszkole w Dąbrowie Wronowskiej|24-320|Dąbrowa wronowska|41|389498|+48 81 820 42 87|sspdabrowawron@wp.pl||061595750|PL7171830166|"Obywatelskie Stowarzyszenie Edukacyjne ""Żaczek"""|ngo|kindergarten||||||||||51.16236|22.09036|
51.1763|22.0714599||Point||16009|Zespół Szkół w Poniatowej|Zespół Szkół w Poniatowej|24-320||16c|956744|+48 818205624|zsponiatowa@wp.pl|http://www.zs.poniatowa.pl|000034430|PL7171254314|Powiat Opolski|government||Poniatowa|Fabryczna|4863|education|amenity=school, amenity=college albo landuse=education w zależności od tego, jakie placówki wchodzą w skład zespołu. Sprawdź, kiedy stosować amenity=* a kiedy landuse=education.|Children RSPO: 106706;106722;133123;133124;133125;277157||||51.1762043|22.0712060|node/6194555133
51.176269999999995|22.0714599||Point|3|106706|Technikum im. Eugeniusza Kwiatkowskiego w Poniatowej|Technikum|24-320||16c|956744|+48 81 820 56 24|zsponiatowa@wp.pl||431256680||Powiat Opolski|government|school|Poniatowa|Fabryczna|4863|||Parent RSPO: 16009||||51.1762043|22.071206|
51.17624|22.0714599||Point|3|106722|Liceum Ogólnokształcące im. Marszałka Józefa Piłsudskiego w Poniatowej|Liceum Ogólnokształcące|24-320||16c|956744|+48 81 820 56 24|zsponiatowa@wp.pl||000899414||Powiat Opolski|government|school|Poniatowa|Fabryczna|4863|||Parent RSPO: 16009||||51.1762043|22.071206|
51.17621|22.0714599||Point|3|133123|Branżowa Szkoła I Stopnia w Poniatowej|Branżowa Szkoła I Stopnia w Poniatowej|24-320||16c|956744|+48 81 820 56 24|zsponiatowa@wp.pl||431256668||Powiat Opolski|government|school|Poniatowa|Fabryczna|4863|||Parent RSPO: 16009||||51.1762043|22.071206|
51.176179999999995|22.0714599||Point|4|133124|Szkoła Policealna w Poniatowej|Szkoła Policealna w Poniatowej|24-320||16c|956744|+48 81 820 56 24|zsponiatowa@wp.pl||060054265||Powiat Opolski|government|college|Poniatowa|Fabryczna|4863|||Parent RSPO: 16009||||51.1762043|22.071206|
51.17615|22.0714599||Point|4|133125|Szkoła Policealna dla Dorosłych w Poniatowej|Szkoła Policealna dla Dorosłych w Poniatowej|24-320||16c|956744|+48 81 820 56 24|zsponiatowa@wp.pl||060673650||Powiat Opolski|government|college|Poniatowa|Fabryczna|4863|||Parent RSPO: 16009||||51.1762043|22.071206|
51.17612|22.0714599||Point|3|277157|Liceum Ogólnokształcące dla Dorosłych|Liceum Ogólnokształcące dla Dorosłych|24-320||16c|956744|+48 81 820 56 24|zsponiatowa@wp.pl|http://www.zs.poniatowa.pl|388213270||Powiat Opolski|government|school|Poniatowa|Fabryczna|4863|||Parent RSPO: 16009||||51.1762043|22.071206|
51.18075|22.14385||Point|1;2|13175|Szkoła Podstawowa im. Jana Kochanowskiego w Poniatowej Kolonii|Szkoła Podstawowa|24-320|Poniatowa-kolonia|13|389618|+48 81 820 36 86|pkolonia@wp.pl|http://sppkolonia.szkolnastrona.pl|001159270|PL7171618093|Gmina Poniatowa|government|school||||||||||51.18076|22.14371|
51.18834|22.07226||Point||28733|Ognisko Pracy Pozaszkolnej w Poniatowej|Ognisko Pracy Pozaszkolnej w Poniatowej|24-320||5|956744|+48 81 820 47 86|szczygielek@gmail.com||430772385|PL7171597066|Powiat Opolski|government|community_centre|Poniatowa|11 Listopada|11205||||child;juvenile|||51.1883358|22.0722562|
51.18875|22.0625399||Point|1;2|12048|Szkoła Podstawowa im. Stefana Żeromskiego w Poniatowej|Szkoła Podstawowa|24-320||9|956744|+48 818204679|sp@sp.poniatowa.pl|http://sp.poniatowa.pl|000262823|PL7171309564|Gmina Poniatowa|government|school|Poniatowa|Szkolna|21970|||||||51.1883404|22.0621675|way/597478322
