Powiatowa Stacja Sanitarno-Epidemiologiczna w Lubinie|dolnośląskie|lubiński|Lubin|1-go Maja|15|59-300|76 846 67 00|77 846 67 00|76 846 67 01|76 846 67 02|psse.lubin@pis.gov.pl||http://www.gov.pl/web/psse-lubin|51.3964|16.1887
Powiatowa Stacja Sanitarno-Epidemiologiczna w Oleśnicy|dolnośląskie|oleśnicki|Oleśnica|3-go Maja|20|56-400|71 314 20 34||71 314 20 35||psse.olesnica@pis.gov.pl||https://www.gov.pl/web/psse-olesnica|51.2065|17.3788
Powiatowa Stacja Sanitarno-Epidemiologiczna w Golubiu-Dobrzyniu|kujawsko-pomorskie|golubsko-dobrzyński|Golub-Dobrzyń|Dr J.G. Koppa|1a|87-400|56 683-24-85||56 683 24 42||psse.golubdobrzyn@pis.gov.pl||https://www.gov.pl/web/psse-golub-dobrzyn|53.1091|19.0701
Powiatowa Stacja Sanitarno-Epidemiologiczna w Biłgoraju|lubelskie|biłgorajski|Biłgoraj|Gen. H. Dąbrowskiego|15|23-400|84 686 15 22|84 686 01 20|84 686 01 20||psse.bilgoraj@pis.gov.pl||www.gov.pl/web/psse-bilgoraj|50.53439|22.71697
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lublinie|lubelskie|lubelski|Lublin|Uniwrsytecka|12|20-029|81 532 97 05||81 532 47 23||psse.lublin@pis.gov.pl||www.gov.pl/web/psse-lublin|51.24541|22.54667
Powiatowa Stacja Sanitarno-Epidemiologiczna w Krośnie Odrzańskim|lubuskie|krosnieński|Krosno Odrz.|Nadodrzańska|24|66-600|683835370||683835370||pssekrosno@wsse.gorzow.pl||https://www.gov.pl/web/psse-krosno-odrzanskie|52.0518|15.0885
Powiatowa Stacja Sanitarno-Epidemiologiczna w Piotrkowie Trybunalskim|łódzkie|piotrkowski|Piotrków Trybunalski|Al. 3-go Maja|8|97-300|44 649-50-63|44 647-64-98|44 647-76-26||psse.piotrkowtryb@pis.gov.pl||www.gov.pl/web/psse-piotrkow-trybunalski|51.4052|19.6929
Powiatowa Stacja Sanitarno-Epidemiologiczna w Zgierzu|łódzkie|zgierski|Zgierz|A. Struga|23|95-100|42 291-96-17|42 291-96-14|||zgierz@pis.lodz.pl||www.gov.pl/web/psse-zgierz|51.8491|19.3984
Powiatowa Stacja Sanitarno-Epidemiologiczna w Bochni|małopolskie|bocheński|Bochnia|ul. Konstytucji 3 Maja|5|32-700|14 612 32 34|14 612 39 47|14 612 39 47|14 612 32 34|bochnia@psse.malopolska.pl||https://www.gov.pl/web/psse-bochnia|49.973|20.4278
Powiatowa Stacja Sanitarno-Epidemiologiczna w Brzesku|małopolskie|brzeski|Brzesko|ul. Okocimska|44|32-800|14 663 07 43||14 686 33 10||brzesko@psse.malopolska.pl||https://www.gov.pl/web/psse-brzesko|49.9572|20.604
Powiatowa Stacja Sanitarno-Epidemiologiczna w Chrzanowie|małopolskie|chrzanowski|Chrzanów|ul. Mjr. Grzybowskiego|7|32-500|32 623 24 07||32 623 24 07 w 10||chrzanow@psse.malopolska.pl|ppis_chrzanow@psse.malopolska.pl|https://www.gov.pl/web/psse-chrzanow|50.1369|19.3973
Powiatowa Stacja Sanitarno-Epidemiologiczna w Dąbrowie Tarnowskiej|małopolskie|dąbrowski|Dąbrowa Tarnowska|ul. Piłsudskiego|14|33-200|14 642 25 71|14 642 23 96|14 642 25 71||dabrowatarnowska@psse.malopolska.pl||https://www.gov.pl/web/psse-dabrowa-tarnowska|50.1736|20.9838
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gorlicach|małopolskie|gorlicki|Gorlice|ul. Michalusa|1|38-320|18 353 73 43||18 353 65 51||gorlice@psse.malopolska.pl||https://www.gov.pl/web/psse-gorlice|49.6711|21.1731
Powiatowa Stacja Sanitarno-Epidemiologiczna w Krakowie|małopolskie|Kraków|Kraków|ul. Makuszyńskiego|9|31-752|12 644 99-64|12 644 39 99|12 684 39 99||psse@pssekrakow.pl||https://www.gov.pl/web/psse-krakow|50.0883|20.0467
Powiatowa Stacja Sanitarno-Epidemiologiczna w Limanowej|małopolskie|limanowski|Limanowa|ul. Matki Boskiej Bolesnej|16B|34-600|18 337 21 01||18 337 24 38||limanowa@psse.malopolska.pl||https://www.gov.pl/web/psse-limanowa|49.7059|20.4245
Powiatowa Stacja Sanitarno-Epidemiologiczna w Myślenicach|małopolskie|myślenicki|Myślenice|ul. Słowackiego|106|32-400|12 272 06 06||12 272 08 85||myslenice@psse.malopolska.pl|psse.myslenice@pis.gov.pl|https://www.gov.pl/web/psse-myslenice|49.8371|19.9601
Powiatowa Stacja Sanitarno-Epidemiologiczna w Nowym Targu|małopolskie|nowotarski|Nowy Targ|ul. Jana Kazimierza|6|34-400|18 266 29 14|18 266 31 65|18 266 97 77||nowytarg@psse.malopolska.pl||https://www.gov.pl/web/psse-nowy-targ|49.4833|20.0327
Powiatowa Stacja Sanitarno-Epidemiologiczna w Nowym Sączu|małoposklie|Miasto Nowy Sącz/ nowosądecki|Nowy Sącz|ul. Stefana Czarnieckiego|19|33-300|18 443 54 64||18 443 57 32||nowysacz@psse.malopolska.pl||https://www.gov.pl/web/psse-nowy-sacz|49.6226|20.6902
Powiatowa Stacja Sanitarno-Epidemiologiczna w Oświęcimiu|małopolskie|oświęcimski|Oświęcim|ul. Więźniów Oświęcimia|10|32-600|33 843 09 28||33 843 28 29||oswiecim@psse.malopolska.pl||https://www.gov.pl/web/psse-oswiecim|50.0347|19.2007
Powiatowa Stacja Sanitarno-Epidemiologiczna w Proszowicach|małopolskie|proszowicki|Proszowice|ul. Adama Grzymały-Siedleckiego|2|32-100|12 386 34 11||12 386 00 15||proszowice@psse.malopolska.pl||https://www.gov.pl/web/psse-proszowice|50.1940|20.2907
Powiatowa Stacja Sanitarno-Epidemiologiczna w Suchej Beskidzkiej|małopolskie|suski|Sucha Beskidzka|ul. Marii Konopnickiej|7|34-200|33 874 22 34||33 877 05 71||suchabeskidzka@psse.malopolska.pl||https://www.gov.pl/web/psse-sucha-beskidzka|49.7414|19.5991
Powiatowa Stacja Sanitarno-Epidemiologiczna w Tarnowie|małopolskie|tarnowski/Miasto Tarnów|Tarnów|ul. Mościckiego|10|33-100|14 621 70 97|14 621 70 98|14 621 75 43||tarnow@psse.malopolska.pl||https://www.gov.pl/web/psse-tarnow|50.0114|20.9811
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wieliczce|małopolskie|wielicki|Wieliczka|ul. Henryka Sienkiewiicza|13|32-020|12 288 01 38|12 288 01 39|12 289 05 00||wieliczka@psse.malopolska.pl||https://www.gov.pl/web/psse-wieliczka|49.9793|20.0501
Powiatowa Stacja Sanitarno-Epidemiologiczna Kolbuszowa|podkarpackie|kolbuszowski|Kolbuszowa|11-go Listopada|10|36-100|17 227 11 50||17 227 11 50||psse.kolbuszowa@pis.gov.pl||https://www.gov.pl/web/psse-kolbuszowa|50.2463|21.7826
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sokółce|podlaskie|sokólski|Sokółka|1-go Maja|13 A|16-100|85 711 36 25||85 711 36 25||psse.sokolka@gmail.com||https://www.gov.pl/web/psse-sokolka|53.4045|23.4981
Powiatowa Stacja Sanitarno-Epidemiologiczna w Pucku|pomorskie|pucki|Puck|1 Armii Wojska Polskiego|16|84-100|58 673 03 41|22 250 01 15|58 673 03 41||psse.puck@pis.gov.pl||http://pssepuck.pis.gov.pl/|54.7164|18.4106
Powiatowa Stacja Sanitarno-Epidemiologiczna w Bielsku-Białej|śląskie|bielski|Bielsko-Biała|ul. Broniewskiego|21|43-300|33 499 29 22|33 816 00 12|33 812 57 63||psse.bielskobiala@pis.gov.pl|ppis@psse.bielsko.pl|www.gov.pl/psse-bielsko-biala|49.8183|19.0526
Powiatowa Stacja Sanitarno-Epidemiologiczna w Bytomiu|śląskie|m. Bytom|Bytom|ul. Moniuszki|25|41-902|32 397 66 60|323976665|32 397 66 00||ppis@psse.bytom.pl||www.gov.pl/psse-bytom|50.3437|18.9214
Powiatowa Stacja Sanitarno-Epidemiologiczna w Chorzowie|śląskie|m. Chorzów|Chorzów|ul. Kazimierza Wielkiego|6|41-500|32 241 27 42|32 241 24 94|32 249 08 30||psse.chorzow@pis.gov.pl||www.gov.pl/psse-chorzow|50.2976|18.9503
Powiatowa Stacja Sanitarno-Epidemiologiczna w Cieszynie|śląskie|cieszyński|Cieszyn|ul. Liburnia|2a|43-400|33 479 70 10|33 479 40 80|33 479 71 73||psse.cieszyn@pis.gov.pl||www.gov.pl/psse-cieszyn|49.7524|18.6316
Powiatowa Stacja Sanitarno-Epidemiologiczna w Częstochowie|śląskie||Częstochowa|ul. Jasnogórska|15A|42-200|34 344 99 00|34 362 72 10|||psse.czestochowa@pis.gov.pl||www.gov.pl/psse-czestochowa|50.8155|19.1177
Powiatowa Stacja Sanitarno-Epidemiologiczna w Dąbrowie Górniczej|śląskie|m. Dąbrowa Górnicza|Dąbrowa Górnicza|ul. Dąbrowskiego|9a|41-300|32 267 34 25|32 360 27 48|322673657||psse.dabrowagornicza@pis.gov.pl|sekretariat@pssedg.pl|www.gov.pl/psse-dabrowa-gornicza|50.3135|19.1362
