NAZWA|WOJEWÓDZTWO|POWIAT|MIEJSCOWOŚĆ|ULICA|NRDOMU|KOD POCZTOWY|NRTEL||NRFAX|NR FAXU 2    wraz z nr kierunkowym|EMAIL|ADRES 2 E-MAIL URZĘDU|WWW|SZEROKOŚĆ GEOGRAFICZNA|DŁUGOŚĆ GEOGRAFICZNA|@lat|@lon|@id
Wojewódzka Stacja Sanitarno-Epidemiologiczna we Wrocławiu|dolnośląskie||Wrocław|Marii Curie-Skłodowskiej|73/77|50-950|71 328 30 41|71 328 30 49|71 328 35 92||wsse.wroclaw@pis.gov.pl||https://www.gov.pl/web/wsse-wroclaw|51.1092|17.0663|51.1090227|17.0662841|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Bolesławcu|dolnośląskie|bolesławiecki|Bolesławiec|Górników|8|59-700|75 732 32 46||75 732 35 68||psse.boleslawiec@pis.gov.pl||https://www.gov.pl/web/psse-boleslawiec|51.2577|15.5673|51.257595|15.567228401|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Dzierżoniowie|dolnośląskie|dzierżoniowski|Dzierżoniów|Krasickiego|36|58-200|74 832 33 33||74 832 33 34||psse.dzierzoniow@pis.gov.pl||https://www.gov.pl/web/psse-dzierzoniow|50.7264|16.6474|50.72641725|16.647345131|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Głogowie|dolnośląskie|głogowski|Głogów|Piotra Skargi|4|67-200|76 727 25 94||76 72 72 595||psse.glogow@pis.gov.pl||www.gov.pl/web/psse-glogow|51.6613|16.0958|51.6612825|16.095787419|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Górze|dolnośląskie|górowski|Góra|Hirszfelda|6|56-200|65 543 23 54|698086959|65 543 26 41||psse.gora@pis.gov.pl|psse.gora@post.pl|https://www.gov.pl/web/psse-gora|51.6656|16.5408|51.6655089|16.540387141|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Jaworze|dolnośląskie|jaworski|Jawor|Piwna|1|59-400|76 870 28 74||76 870 28 74||psse.jawor@pis.gov.pl||https://www.gov.pl/web/psse-jawor|51.0511|16.1964|51.05106355|16.196446034|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Jeleniej Górze|dolnośląskie|jeleniogórski|Jelenia Góra|Kasprowicza |17|58-500|75 643 55 60||75 643 55 61||psse.jeleniagora@pis.gov.pl||https://www.gov.pl/web/psse-jelenia-gora|50.9018|15.7302|50.89993645|15.729124785|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kamiennej Górze|dolnośląskie|kamiennogórski|Kamienna Góra|Sienkiewicza|5|58-400|75 645 01 40|75 875 10 75|75 645 01 41||psse.kamiennagora@pis.gov.pl|pssekg@data.pl|https://www.gov.pl/web/psse-kamienna-gora|50.7813|16.0280|54.515358|18.546508688|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kłodzku|dolnośląskie|kłodzki|Kłodzko|Okrzei|16|57-300|74 867 35 26|74 867 33 23|74 867 69 66||psse.klodzko@pis.gov.pl||https://www.gov.pl/web/psse-klodzko|50.4333|16.6507|50.4333377|16.65069703|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Legnicy|dolnośląskie|legnicki|Legnica|Mickiewicza|24|59-220|76 724 53 10||76 724 53 11||psse.legnica@pis.gov.pl||https://www.gov.pl/web/psse-legnica|51.2031|16.1643|51.20289085|16.164481878|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lubaniu|dolnośląskie|lubański|Lubań|Bankowa|9b|59-800|75 646 40 43||75 646 40 43||psse.luban@pis.gov.pl||www.gov.pl/web/psse-luban|51.1188|15.2863|51.11886|15.28653|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lwówku Śląskim|dolnośląskie|lwówecki|Lwówek Śląski|Partyzantów|6|59-600|75 782 43 59|75 782 39 89|75 782 43 59||psse.lwowekslaski@pis.gov.pl||https://www.gov.pl/web/psse-lwowek-slaski|51.1117|15.5795|51.11177985|15.579089304|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Miliczu|dolnośląskie|milicki|Milicz|Armii Krajowej|5|56-300|71 384 02 00||71 384 09 57||psse.milicz@pis.gov.pl|pssemilicz@pro.onet.pl|https://www.gov.pl/web/psse-milicz|51.5274|17.2754|51.5273538|17.275302613|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Oławie|dolnośląskie|oławski|Oława|Warszawska|5|55-200|71 313 21 64|71 313 38 21|71 313 21 64||psse.olawa@pis.gov.pl||https://www.gov.pl/web/psse-olawa|50.9494|17.2859|50.9494541|17.286007328|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Polkowicach|dolnośląskie|polkowicki|Polkowice|Rynek|22|59-100|76 746 22 46|76 746 22 47|76 746 22 47||psse.polkowice@pis.gov.pl||https://www.gov.pl/web/psse-polkowice|51.5039|16.0687|51.5030266|16.068665|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Strzelinie|dolnośląskie|strzeliński|Strzelin|Mickiewicza|18|57-100|71 329 03 21|71 329 10 44|71 329 03 21||psse.strzelin@pis.gov.pl||https://www.gov.pl/web/psse-strzelin|50.7838|17.0642|50.783897|17.06402425|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Środzie Śląskiej|dolnośląskie|średzki|Środa Śląska|Ogrody Zamkowe|5|55-300|71 317 27 60||71 317 27 60||psse.srodaslaska@pis.gov.pl||https:www.gov.pl/web/psse-srodaslaska.pl|51.1657|16.5899|51.16570125|16.589874675|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Świdnicy|dolnośląskie|świdnicki|Świdnica|Wałbrzyska|15|58-100|74 852 20 91|74 852 20 92|74 852 05 35||psse.swidnica@pis.gov.pl|psseswidnica@psseswidnica.pl|https://www.gov.pl/web/psse-swidnica/|50.0410|21.9991|50.8381794|16.4802558|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Trzebnicy|dolnośląskie|trzebnicki|Trzebnica|Kościuszki|10|55-100|71 312 09 16|783903906|||psse.trzebnica@pis.gov.pl||https://www.gov.pl/web/psse-trzebnica|51.3108|17.0604|51.3107739|17.0603507|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wałbrzychu|dolnośląskie|wałbrzyski|Wałbrzych|Armii Krajowej|35c|58-302|74 84 775 68|74 84 775 69|74 84 766 39||psse.walbrzych@pis.gov.pl||https://gov.pl/web/psse-walbrzych|50.7859|16.2858|50.7858355|16.2858374|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wołowie|dolnośląskie|wołowski|Wołów|Józefa Piłsudskiego|36|56-100|71 389 28 56|71 389 26 72|71 389 28 56||psse.wolow@pis.gov.pl||https://www.gov.pl/web/psse-wolow|51.3361|16.6442|51.3361704|16.64351894|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Ząbkowicach Śląskich|dolnośląskie|ząbkowicki|Ząbkowice Śląskie|Kłodzka|2|57-200|74 816 67 50||74 816 67 51||psse.zabkowice@pis.gov.pl||http://www.gov.pl/web/psse-zabkowice-slaskie|50.5861|16.8096|50.5860657|16.809768785|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Zgorzelcu|dolnośląskie|zgorzelecki|Zgorzelec|Warszawska|11|59-900|75 649 45 26|691770919|75 649 45 29||psse.zgorzelec@pis.gov.pl||www.gov.pl/web/psse-zgorzelec|51.1484|15.0078|51.14846495|15.00786717|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Złotoryi|dolnośląskie|złotoryjski|Złotoryja|Staszica|22|59-500|76 878 37 21|76 878 78 31|76 878 34 33||psse.zlotoryja@pis.gov.pl|pssez@home.pl|www.gov.pl/web/psse-zlotoryja/|51.1239|15.9201|51.12398005|15.92014239|
Powiatowa Stacja Sanitarno-Epidemiologiczna we Wrocławiu|dolnośląskie|wrocławski|Wrocław|Kleczkowska|20|50-227|71 329 58 43||71 329 18 51||psse.wroclaw@pis.gov.pl||https://www.gov.pl/web/psse-wroclaw/|51.1267|17.0314|51.1267099|17.031282964|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Aleksandrowie Kujawskim|kujawsko-pomorskie|aleksandrowski|Aleksandrów Kujawski|Słowackiego|8a|87-700|54 282 42 06||54 282-23-34||psse.aleksandrowkujawski@pis.gov.pl||https://www.gov.pl/web/psse-aleksandrow-kujawski|52.8755|18.6953|52.8746|18.69643|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Brodnicy|kujawsko-pomorskie|brodnicki|Brodnica|Żwirki i Wigury|1|87-300|56 69 749 74||56 69 748 74||psse.brodnica@pis.gov.pl||https://www.gov.pl/web/psse-brodnica|53.2576|19.4064|53.2575901|19.4065077|node/2289996533
Powiatowa Stacja Sanitarno-Epidemiologiczna w Bydgoszczy|kujawsko-pomorskie|bydgoski|Bydgoszcz|Kościuszki|27|85-079|52 515 40 20|728874383|52 584 11 44||psse.bydgoszcz@pis.gov.pl||www.ppis.bydgoszcz.pl|53.1349|18.0102|53.13472|18.009304996|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Chełmnie|kujawsko-pomorskie|chemiński|Chełmno|Łunawska|2a|86-200|56 676 17 00||56 676 15 13||psse.chelmno@pis.gov.pl||https://www.gov.pl/web/psse-chelmno/kontakt2|53.3485|18.4454|53.3485524|18.445426024|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Grudziądzu|kujawsko-pomorskie|grudziądzki|Grudziądz|Kosynierów Gdyńskich|31|86-300|56 45 178 10||56 45 178 11||psse.grudziadz@pis.gov.pl||http://www.ppis.grudziadz.com/|53.4927|18.754|53.492723|18.7540748|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Inowrocławiu|kujawsko-pomorskie|inowrocławski|Inowrocław|Plac Klasztorny|1b|88-100|52-357-44-35||52 357 47 10||psse.inowroclaw@pis.gov.pl||https://www.gov.pl/web/psse-inowroclaw|52.7975|18.2587|52.79721665|18.258584846|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lipnie|kujawsko-pomorskie|lipnowski|Lipno|Kościuszki|18/20|87-600|54 287 32 24||54 287 32 24||psse.lipno@pis.gov.pl||http://www.psselipno.pl/|52.8433|19.1823|52.8432893|19.1821725|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Mogilnie|kujawsko-pomorskie|mogileński|Mogilno|Kościuszki|4|88-300|52 318 87 60|52 315 23 77|52 318 87 61||psse.mogilno@pis.gov.pl|pssem@data.pl |http://www.psse-mogilno.bip.net.pl/|52.6588|17.9495|52.65878255|17.94946972|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Nakle|kujawsko-pomorskie|nakielski|Nakło n.Notecią|Mickiewicza|11|89-100|52 386 00 03||52 386 00 04||psse.naklo@pis.gov.pl||http://www.psse.naklo.pl/|53.1268|17.5937|53.14026605|17.595667057|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Radziejowie|kujawsko-pomorskie|radziejowski|Radziejów|Kościuszki|20/22|88-200|54 285 36 14|54 285 55 95|54 285 36 14||psse.radziejow@pis.gov.pl||http://www.psseradziejow.pl/|52.6227|18.5267|52.62279025|18.526745356|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Rypinie|kujawsko-pomorskie|rypiński|Rypin|Warszawska|38a|87-500|54 280 29 88||54 280 29 89||sekretariat@psserypin.pl|sekretariat@psserypin.pl|http://www.psserypin.pl/|53.0626|19.4108|53.06262|19.41096|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sępólnie Krajeńskim|kujawsko-pomorskie|sępoleński|Sępólno Krajeńskie|Kościuszki|28|89-400|52 388 12 30||52 388 12 31||psse.sepolnokrajenskie@pis.gov.pl||http://pssesepolnokrajenskie.pl/|53.4588|17.5465|53.4588441|17.5463676|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Świeciu|kujawsko-pomorskie|świecki|Świecie|Sądowa|5|86-100|52 33 11 253||52 331 12 94||sekretariat@psse-swiecie.pl||http://www.psse-swiecie.pl/|53.4067|18.453|53.40642975|18.452655099|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Toruniu|kujawsko-pomorskie|toruński|Toruń|Szosa Bydgoska|1|87-100|56 622 50 29||56 622 22 47||psse.torun@pis.gov.pl||www.torun.psse.gov.pl|53.01|18.5712|53.0092445|18.5712356|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Tucholi|kujawsko-pomorskie|tucholski|Tuchola|Plac Wolności|23|89-500|52 334 20 21||52 334 20 21||psse.tuchola@pis.gov.pl||https://www.gov.pl/web/psse-tuchola|53.5877|17.8598|53.58761535|17.859982511|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wąbrzeźnie|kujawsko-pomorskie|wąbrzeski|Wąbrzeźno|1 Maja|46|87-200|56 688 17 90||56 688 17 55||psse.wabrzezno@pis.gov.pl||https://www.gov.pl/web/psse-wabrzezno|53.2797|18.9539|53.2796729|18.9540536|
Powiatowa Stacja Sanitarno-Epidemiologiczna we Włocławku|kujawsko-pomorskie|włocławski|Włocławek|Kilińskiego|16|87-800|54 411 68 33||54 411 68 40||psse.wloclawek@pis.gov.pl||https://www.gov.pl/web/psse-wloclawek|52.6569|19.0621|52.6569878|19.0618667|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Żninie|kujawsko-pomorskie|żniński|Żnin|Mickiewicza|24|88-400|52 303 11 35||52 303 11 32||psse.znin@pis.gov.pl||http://www.psseznin.pl/|52.8526|17.719|52.85259|17.71904|
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Lublinie|lubelskie||Lublin|Pielęgniarek|6|20-708|81 743 42 72|81 743 42 73|81 743 46 86||wsse.lublin@pis.gov.pl|sekretariat@wsse.lublin.pl|www.gov.pl/web/wsse-lublin|51.24008|22.50832|51.23977905|22.507842486|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Białej Podlaskiej|lubelskie|bialski|Biała Podlaska|Warszawska|18|21-500|83 344 41 60|83 344 41 62|83 343 76 39|-|psse.bialapodlaska@pis.gov.pl||www.gov.pl/web/psse-biala-podlaska|52.03156|23.10969|52.0314008|23.109718932|
