name|phone|email|fax|website|official_name|addr:postcode|addr:city|addr:place|addr:street|addr:housenumber|addr:door|@lat|@lon|@id
Wojewódzka Stacja Sanitarno-Epidemiologiczna||wsse.katowice@pis.gov.pl||http://www.wsse.katowice.pl/||40-074|Katowice||Raciborska|39||50.2546524|19.0011822|node/1588863641
Sanepid Ełk|+48876217750|sanepid.elk@wp.pl||||19-300|Ełk||Toruńska|6A||53.8288601|22.3520011|node/1754825666
Powiatowa Stacja Sanitarno–Epidemiologiczna w Brodnicy|+48 22 25 00 115|psse.brodnica@pis.gov.pl||||87-300|Brodnica||Franciszka Żwirki i Stanisława Wigury|1||53.2575901|19.4065077|node/2289996533
Wojewódzka Stacja Sanitarno - Epidemiologiczna w Bydgoszczy||||||85-031|Bydgoszcz||Kujawska|4||53.1187300|18.0054598|node/2779676801
Sanepid||||||62-700|Turek||Uniejowska|1a||52.0142900|18.5044800|node/2863413351
Sanepid||||||87-400|Golub-Dobrzyń||Doktora Jerzego Gerarda Koppa|1A||53.1089744|19.0699953|node/2898809727
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 32 754 57 20|psse.olkusz@pis.gov.pl|+48 32 754 57 50|https://www.gov.pl/web/psse-olkusz|Powiatowa Stacja Sanitarno-Epidemiologiczna w Olkuszu|32-305|Olkusz||Lucjana Rydla|||50.2681696|19.5707082|node/3029757321
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 56 451 78 10|psse.grudziadz@pis.gov.pl|+48 56 451 78 11|http://www.ppis.grudziadz.com/|Powiatowa Stacja Sanitarno-Epidemiologiczna w Grudziądzu|86-300|Grudziądz||Kosynierów Gdyńskich|31||53.4927230|18.7540748|node/3063712740
Powiatowa Stacja Sanitarno-epidemiologiczna w Szamotułach||||||64-500|Szamotuły||Bolesława Chrobrego|8||52.5994540|16.5886200|node/3134432737
Powiatowa Stacja Sanitarno-Epidemiologiczna w Ciechanowie|(23) 672-33-13|ciechanow@psse.waw.pl||http://www.ciechanow.psse.waw.pl/||06-400|Ciechanów||Henryka Sienkiewicza|27||52.8786053|20.6017600|node/3208352974
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 83 354 23 29|psse.parczew@pis.gov.pl|+48 83 354 13 10|https://www.gov.pl/web/psse-parczew|Powiatowa Stacja Sanitarno-Epidemiologiczna w Parczewie|21-200|Parczew||Piwonia|54||51.6457000|22.9085500|node/3225006028
Wojewódzka stacja sanitarno-epidemiologiczna w Opolu||wsse.opole@pis.gov.pl|+48 77 442 69 04|||45-367|Opole||Karola Miarki|||50.6663057|17.9385892|node/3445365648
Powiatowa Stacja Sanitarno-Epidemiologiczna w Koninie||||||62-500|Konin||Stanisława Staszica|16||52.2094212|18.2509551|node/3978131640
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 76 746 22 46|psse.polkowice@pis.gov.pl|+48 76 746 22 47|https://www.gov.pl/web/psse-polkowice|Powiatowa Stacja Sanitarno-Epidemiologiczna w Polkowicach|59-100|Polkowice||Rynek|22||51.5030266|16.0686650|node/4375210241
Sanepid- laboratorium||||||21-500|Biała Podlaska||Mikołaja Kopernika|||52.0362213|23.1035486|node/4506965689
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||96-100|Skierniewice||Józefa Piłsudskiego|33||51.9566667|20.1336557|node/4733985100
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||72-600|Świnoujście||Józefa Bema|||53.9098647|14.2474966|node/4945927567
Powiatowa Stacja Sanitarno – Epidemiologiczna w Gostyniu||||http://www.psse-gostyn.pl/||63-800|Gostyń||Przy Dworcu|4||51.8830836|17.0063387|node/5090007626
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 17 586 30 21|psse.mielec@pis.gov.pl|+48 17 586 30 21|https://www.gov.pl/web/psse-mielec|Powiatowa Stacja Sanitarno-Epidemiologiczna w Mielcu|39-300|Mielec||Marii Skłodowskiej-Curie|8||50.2960336|21.4438355|node/5429088140
Powiatowa Stacja Sanitarno – Epidemiologiczna w Policach||||https://pssepolice.pis.gov.pl/||72-009|Police||Kresowa|14||53.5449487|14.5438719|node/5518083676
Powiatowa Stacja Sanitarno-Epidemiologiczna w Szczecinie|+48 91 4870 313; +48 91 4849 351|psse.szczecin@pis.gov.pl|+48 91 4861 141; +48 91 4849 358|https://psseszczecin.pis.gov.pl/||71-342|Szczecin||Wincentego Pola|6||53.4507133|14.5148684|node/6368652201
